Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE"
People,"Residence 1 Year Ago","Same state",25533,"(+/- 4747 )",33063,"(+/- 4051 )",19945,"(+/- 4083 )",22187,"(+/- 3902 )",24411,"(+/- 2931 )",28922,"(+/- 4986 )",20737,"(+/- 3702 )",21632,"(+/- 4602 )",13394,"(+/- 2977 )",27333,"(+/- 5536 )"
People,"Residence 1 Year Ago","Different state",18897,"(+/- 4053 )",18225,"(+/- 3268 )",30013,"(+/- 5354 )",11148,"(+/- 3273 )",23859,"(+/- 3800 )",24421,"(+/- 4201 )",36637,"(+/- 4764 )",16425,"(+/- 3616 )",19472,"(+/- 4114 )",26209,"(+/- 4904 )"
People,"Residence 1 Year Ago",Abroad,4901,"(+/- 1507 )",4289,"(+/- 2032 )",966,"(+/- 551 )",2632,"(+/- 1739 )",2288,"(+/- 622 )",4173,"(+/- 1913 )",10311,"(+/- 3205 )",3715,"(+/- 2050 )",8858,"(+/- 4112 )",5606,"(+/- 2202 )"
Workers,"Employment Status","Population 16 years and over",633489,"(+/- 10008 )",635093,"(+/- 7625 )",626521,"(+/- 3375 )",567104,"(+/- 3182 )",619164,"(+/- 3276 )",613128,"(+/- 6788 )",695422,"(+/- 9330 )",614990,"(+/- 11743 )",617957,"(+/- 8786 )",628000,"(+/- 9063 )"
Workers,"Employment Status","In labor force",408587,"(+/- 8930 )",405046,"(+/- 8403 )",374829,"(+/- 6166 )",346344,"(+/- 6773 )",369473,"(+/- 5876 )",353769,"(+/- 7927 )",503865,"(+/- 10519 )",408037,"(+/- 10828 )",414044,"(+/- 8730 )",409083,"(+/- 8219 )"
Workers,"Employment Status","Civilian labor force",407533,"(+/- 8894 )",393580,"(+/- 8805 )",373892,"(+/- 6194 )",346011,"(+/- 6858 )",365414,"(+/- 5877 )",338622,"(+/- 7972 )",502693,"(+/- 10445 )",407460,"(+/- 10808 )",412349,"(+/- 8762 )",381104,"(+/- 8634 )"
Workers,"Employment Status",Employed,386659,"(+/- 9278 )",371187,"(+/- 8428 )",351349,"(+/- 6652 )",325012,"(+/- 6255 )",341420,"(+/- 5847 )",317724,"(+/- 8199 )",474620,"(+/- 9454 )",387945,"(+/- 10601 )",383187,"(+/- 8355 )",357461,"(+/- 8914 )"
Workers,"Employment Status",Unemployed,20874,"(+/- 2357 )",22393,"(+/- 2975 )",22543,"(+/- 2585 )",20999,"(+/- 3079 )",23994,"(+/- 2954 )",20898,"(+/- 2644 )",28073,"(+/- 3617 )",19515,"(+/- 2872 )",29162,"(+/- 3644 )",23643,"(+/- 3060 )"
Workers,"Employment Status","Armed Forces",1054,"(+/- 523 )",11466,"(+/- 2905 )",937,"(+/- 503 )",333,"(+/- 266 )",4059,"(+/- 1190 )",15147,"(+/- 1954 )",1172,"(+/- 804 )",577,"(+/- 354 )",1695,"(+/- 885 )",27979,"(+/- 3663 )"
Workers,"Employment Status","Not in labor force",224902,"(+/- 6890 )",230047,"(+/- 5660 )",251692,"(+/- 5981 )",220760,"(+/- 6727 )",249691,"(+/- 5868 )",259359,"(+/- 7385 )",191557,"(+/- 6810 )",206953,"(+/- 7729 )",203913,"(+/- 6515 )",218917,"(+/- 6801 )"
Workers,"Employment Status","Civilian labor force",407533,"(+/- 8894 )",393580,"(+/- 8805 )",373892,"(+/- 6194 )",346011,"(+/- 6858 )",365414,"(+/- 5877 )",338622,"(+/- 7972 )",502693,"(+/- 10445 )",407460,"(+/- 10808 )",412349,"(+/- 8762 )",381104,"(+/- 8634 )"
Workers,"Employment Status","Unemployment Rate",5.1,"(+/- 0.6 )",5.7,"(+/- 0.7 )",6.0,"(+/- 0.7 )",6.1,"(+/- 0.8 )",6.6,"(+/- 0.8 )",6.2,"(+/- 0.8 )",5.6,"(+/- 0.7 )",4.8,"(+/- 0.7 )",7.1,"(+/- 0.8 )",6.2,"(+/- 0.8 )"
Workers,"Commuting to Work","Workers 16 years and over",378026,"(+/- 9217 )",373641,"(+/- 8539 )",340995,"(+/- 6215 )",318380,"(+/- 6617 )",338014,"(+/- 5970 )",324198,"(+/- 8210 )",467002,"(+/- 9632 )",378712,"(+/- 10291 )",375124,"(+/- 8126 )",374065,"(+/- 8506 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",215190,"(+/- 8157 )",252978,"(+/- 8868 )",240626,"(+/- 7398 )",244793,"(+/- 6527 )",235555,"(+/- 6460 )",210253,"(+/- 8317 )",172172,"(+/- 8518 )",244474,"(+/- 9041 )",198520,"(+/- 6591 )",258855,"(+/- 8439 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",15098,"(+/- 2599 )",29372,"(+/- 3010 )",23668,"(+/- 3234 )",33461,"(+/- 3842 )",24787,"(+/- 2931 )",24887,"(+/- 3550 )",20544,"(+/- 3260 )",27687,"(+/- 3582 )",27259,"(+/- 3739 )",32462,"(+/- 4140 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",4531,"(+/- 1078 )",5992,"(+/- 1941 )",2043,"(+/- 824 )",603,"(+/- 381 )",4547,"(+/- 1235 )",7353,"(+/- 1593 )",24204,"(+/- 3337 )",4082,"(+/- 1312 )",17796,"(+/- 2684 )",6747,"(+/- 1856 )"
Workers,"Commuting to Work",Walked,4868,"(+/- 1242 )",7199,"(+/- 1545 )",5135,"(+/- 1184 )",4794,"(+/- 1127 )",13111,"(+/- 2199 )",12328,"(+/- 1902 )",28379,"(+/- 4249 )",6736,"(+/- 1488 )",10490,"(+/- 2026 )",9265,"(+/- 2028 )"
Workers,"Commuting to Work","Other means",5885,"(+/- 1509 )",5675,"(+/- 1132 )",5844,"(+/- 1609 )",4297,"(+/- 1216 )",5459,"(+/- 1337 )",6721,"(+/- 1395 )",14472,"(+/- 2307 )",6351,"(+/- 1919 )",6820,"(+/- 1682 )",6245,"(+/- 1916 )"
Workers,"Commuting to Work","Worked from home",132454,"(+/- 6261 )",72425,"(+/- 4714 )",63679,"(+/- 4305 )",30432,"(+/- 3214 )",54555,"(+/- 4131 )",62656,"(+/- 4704 )",207231,"(+/- 8351 )",89382,"(+/- 5651 )",114239,"(+/- 5686 )",60491,"(+/- 3904 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",27.2,"(+/- 0.8 )",25.4,"(+/- 0.7 )",25.6,"(+/- 0.8 )",21.0,"(+/- 0.6 )",21.0,"(+/- 0.6 )",26.8,"(+/- 0.7 )",25.7,"(+/- 0.7 )",30.9,"(+/- 0.8 )",27.6,"(+/- 0.8 )",28.3,"(+/- 0.9 )"
Workers,Occupation,"Civilian employed population 16 years and over",386659,"(+/- 9278 )",371187,"(+/- 8428 )",351349,"(+/- 6652 )",325012,"(+/- 6255 )",341420,"(+/- 5847 )",317724,"(+/- 8199 )",474620,"(+/- 9454 )",387945,"(+/- 10601 )",383187,"(+/- 8355 )",357461,"(+/- 8914 )"
Workers,Occupation,"Management, business, science, and arts occupations",218626,"(+/- 6803 )",153879,"(+/- 6750 )",132349,"(+/- 5674 )",106077,"(+/- 4854 )",132831,"(+/- 5610 )",133992,"(+/- 6139 )",306051,"(+/- 9007 )",172963,"(+/- 7442 )",188611,"(+/- 6247 )",133257,"(+/- 6132 )"
Workers,Occupation,"Service occupations",44668,"(+/- 3301 )",56570,"(+/- 4410 )",56391,"(+/- 4411 )",54715,"(+/- 4287 )",60652,"(+/- 4281 )",53860,"(+/- 3738 )",49138,"(+/- 4568 )",58341,"(+/- 4136 )",59330,"(+/- 5298 )",60432,"(+/- 5116 )"
Workers,Occupation,"Sales and office occupations",57082,"(+/- 4050 )",75606,"(+/- 4417 )",65896,"(+/- 4740 )",53865,"(+/- 3769 )",72361,"(+/- 4915 )",61332,"(+/- 4400 )",74275,"(+/- 5203 )",72053,"(+/- 4559 )",68970,"(+/- 3823 )",76318,"(+/- 5136 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",30913,"(+/- 3408 )",38712,"(+/- 3860 )",38527,"(+/- 3182 )",57826,"(+/- 4798 )",31493,"(+/- 3241 )",31878,"(+/- 3169 )",16408,"(+/- 2665 )",36580,"(+/- 3821 )",21694,"(+/- 2800 )",38434,"(+/- 3677 )"
Workers,Occupation,"Production, transportation, and material moving occupations",35370,"(+/- 3267 )",46420,"(+/- 4614 )",58186,"(+/- 4657 )",52529,"(+/- 3985 )",44083,"(+/- 3609 )",36662,"(+/- 3583 )",28748,"(+/- 2557 )",48008,"(+/- 4135 )",44582,"(+/- 3767 )",49020,"(+/- 3869 )"
Workers,Industry,"Civilian employed population 16 years and over",386659,"(+/- 9278 )",371187,"(+/- 8428 )",351349,"(+/- 6652 )",325012,"(+/- 6255 )",341420,"(+/- 5847 )",317724,"(+/- 8199 )",474620,"(+/- 9454 )",387945,"(+/- 10601 )",383187,"(+/- 8355 )",357461,"(+/- 8914 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",6119,"(+/- 1733 )",3778,"(+/- 961 )",8455,"(+/- 1551 )",42168,"(+/- 4017 )",8369,"(+/- 1547 )",5924,"(+/- 1393 )",2379,"(+/- 1088 )",8026,"(+/- 1549 )",1708,"(+/- 743 )",4394,"(+/- 1306 )"
Workers,Industry,Construction,28847,"(+/- 3155 )",30729,"(+/- 3898 )",30776,"(+/- 3408 )",22108,"(+/- 2926 )",22454,"(+/- 2848 )",21877,"(+/- 2401 )",21811,"(+/- 3077 )",34504,"(+/- 3905 )",23017,"(+/- 2915 )",31461,"(+/- 3459 )"
Workers,Industry,Manufacturing,43260,"(+/- 3260 )",47182,"(+/- 3311 )",40621,"(+/- 3631 )",29846,"(+/- 3040 )",25365,"(+/- 3281 )",31774,"(+/- 3241 )",30489,"(+/- 2931 )",37782,"(+/- 3606 )",35806,"(+/- 3310 )",25774,"(+/- 2791 )"
Workers,Industry,"Wholesale trade",6768,"(+/- 1517 )",6294,"(+/- 1173 )",9446,"(+/- 1364 )",10847,"(+/- 2182 )",9098,"(+/- 1808 )",4319,"(+/- 1203 )",8002,"(+/- 1940 )",10820,"(+/- 1572 )",8635,"(+/- 1580 )",8237,"(+/- 1722 )"
Workers,Industry,"Retail trade",40668,"(+/- 3641 )",49883,"(+/- 4394 )",38879,"(+/- 3360 )",33659,"(+/- 3172 )",39146,"(+/- 3709 )",41322,"(+/- 3920 )",57243,"(+/- 4444 )",47903,"(+/- 4186 )",45800,"(+/- 4763 )",44114,"(+/- 3832 )"
Workers,Industry,"Transportation and warehousing, and utilities",13462,"(+/- 2409 )",20123,"(+/- 2967 )",30718,"(+/- 3381 )",22558,"(+/- 3100 )",22197,"(+/- 2572 )",15566,"(+/- 2240 )",18414,"(+/- 2503 )",26310,"(+/- 2801 )",27080,"(+/- 3359 )",24052,"(+/- 3299 )"
Workers,Industry,Information,16941,"(+/- 2020 )",8892,"(+/- 2021 )",4921,"(+/- 1078 )",2873,"(+/- 897 )",7603,"(+/- 1799 )",3324,"(+/- 951 )",24713,"(+/- 2821 )",8514,"(+/- 1598 )",12948,"(+/- 1849 )",5102,"(+/- 1403 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",23082,"(+/- 2444 )",18905,"(+/- 2470 )",16919,"(+/- 2115 )",10481,"(+/- 2337 )",23464,"(+/- 2737 )",12459,"(+/- 1946 )",28311,"(+/- 3115 )",20579,"(+/- 2854 )",22844,"(+/- 2594 )",20549,"(+/- 2717 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",85900,"(+/- 5146 )",44936,"(+/- 3029 )",39361,"(+/- 3345 )",30170,"(+/- 2959 )",33110,"(+/- 2644 )",37115,"(+/- 3258 )",108342,"(+/- 5813 )",52686,"(+/- 3518 )",73453,"(+/- 4171 )",32753,"(+/- 3555 )"
Workers,Industry,"Educational services, and health care and social assistance",74224,"(+/- 4656 )",77816,"(+/- 3811 )",71836,"(+/- 4105 )",69446,"(+/- 4411 )",88436,"(+/- 5246 )",72790,"(+/- 4629 )",104616,"(+/- 6903 )",76703,"(+/- 5087 )",72284,"(+/- 4209 )",78314,"(+/- 6184 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",21389,"(+/- 2724 )",30552,"(+/- 3309 )",25362,"(+/- 3500 )",22899,"(+/- 2958 )",30709,"(+/- 3025 )",28156,"(+/- 2848 )",34309,"(+/- 3224 )",30588,"(+/- 3533 )",32907,"(+/- 3448 )",30464,"(+/- 3818 )"
Workers,Industry,"Other services, except public administration",11858,"(+/- 1789 )",16115,"(+/- 2030 )",15100,"(+/- 2002 )",11485,"(+/- 1904 )",14847,"(+/- 2040 )",13588,"(+/- 1917 )",21062,"(+/- 3014 )",16702,"(+/- 2415 )",15339,"(+/- 2259 )",14543,"(+/- 2126 )"
Workers,Industry,"Public administration",14141,"(+/- 1625 )",15982,"(+/- 2062 )",18955,"(+/- 2128 )",16472,"(+/- 2513 )",16622,"(+/- 2094 )",29510,"(+/- 3176 )",14929,"(+/- 2335 )",16828,"(+/- 2122 )",11366,"(+/- 1717 )",37704,"(+/- 3212 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",386659,"(+/- 9278 )",371187,"(+/- 8428 )",351349,"(+/- 6652 )",325012,"(+/- 6255 )",341420,"(+/- 5847 )",317724,"(+/- 8199 )",474620,"(+/- 9454 )",387945,"(+/- 10601 )",383187,"(+/- 8355 )",357461,"(+/- 8914 )"
Workers,"Class of Worker","Private wage and salary workers",315708,"(+/- 8339 )",297096,"(+/- 7920 )",279794,"(+/- 7542 )",250772,"(+/- 7657 )",261682,"(+/- 6266 )",219647,"(+/- 7705 )",384610,"(+/- 9012 )",310554,"(+/- 9591 )",313547,"(+/- 8452 )",259568,"(+/- 8318 )"
Workers,"Class of Worker","Government workers",47067,"(+/- 2952 )",51826,"(+/- 3492 )",51179,"(+/- 3171 )",57406,"(+/- 4282 )",60109,"(+/- 4093 )",77131,"(+/- 4740 )",62740,"(+/- 4786 )",55508,"(+/- 4068 )",43321,"(+/- 3924 )",82402,"(+/- 5449 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",23237,"(+/- 2787 )",22081,"(+/- 2392 )",19636,"(+/- 1982 )",15946,"(+/- 2381 )",18986,"(+/- 2332 )",20440,"(+/- 2061 )",26102,"(+/- 3704 )",21377,"(+/- 3320 )",25414,"(+/- 3131 )",15157,"(+/- 2029 )"
Workers,"Class of Worker","Unpaid family workers",647,"(+/- 293 )",184,"(+/- 145 )",740,"(+/- 472 )",888,"(+/- 802 )",643,"(+/- 448 )",506,"(+/- 421 )",1168,"(+/- 864 )",506,"(+/- 375 )",905,"(+/- 541 )",334,"(+/- 270 )"
Housing,"Housing Occupancy","Total housing units",319374,"(+/- 5276 )",332431,"(+/- 3937 )",322829,"(+/- 1799 )",282853,"(+/- 1457 )",325608,"(+/- 1719 )",334693,"(+/- 3424 )",407206,"(+/- 6193 )",303882,"(+/- 5160 )",313062,"(+/- 4843 )",315202,"(+/- 5022 )"
Housing,"Housing Occupancy","Occupied housing units",298959,"(+/- 5452 )",306067,"(+/- 4228 )",301455,"(+/- 3274 )",259928,"(+/- 2425 )",301159,"(+/- 2982 )",300949,"(+/- 5401 )",373393,"(+/- 5995 )",284410,"(+/- 5663 )",296031,"(+/- 5134 )",299904,"(+/- 5496 )"
Housing,"Housing Occupancy","Vacant housing units",20415,"(+/- 2626 )",26364,"(+/- 2773 )",21374,"(+/- 2714 )",22925,"(+/- 2335 )",24449,"(+/- 2777 )",33744,"(+/- 4166 )",33813,"(+/- 4645 )",19472,"(+/- 2530 )",17031,"(+/- 2791 )",15298,"(+/- 2515 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.6,"(+/- 0.4 )",0.9,"(+/- 0.5 )",0.4,"(+/- 0.3 )",0.6,"(+/- 0.4 )",0.6,"(+/- 0.3 )",0.9,"(+/- 0.4 )",0.9,"(+/- 0.6 )",0.2,"(+/- 0.2 )",0.5,"(+/- 0.4 )",0.7,"(+/- 0.4 )"
Housing,"Housing Occupancy","Rental vacancy rate",2.7,"(+/- 1.1 )",4.2,"(+/- 1.2 )",1.9,"(+/- 0.8 )",2.6,"(+/- 1.2 )",4.7,"(+/- 1.5 )",3.7,"(+/- 1.3 )",6.4,"(+/- 1.5 )",2.7,"(+/- 1.1 )",4.7,"(+/- 1.1 )",3.0,"(+/- 1.2 )"
Housing,"Housing Tenure","Occupied housing units",298959,"(+/- 5452 )",306067,"(+/- 4228 )",301455,"(+/- 3274 )",259928,"(+/- 2425 )",301159,"(+/- 2982 )",300949,"(+/- 5401 )",373393,"(+/- 5995 )",284410,"(+/- 5663 )",296031,"(+/- 5134 )",299904,"(+/- 5496 )"
Housing,"Housing Tenure",Owner-occupied,212796,"(+/- 5899 )",195437,"(+/- 4871 )",204886,"(+/- 4186 )",171998,"(+/- 4693 )",198501,"(+/- 4462 )",209733,"(+/- 4732 )",184654,"(+/- 5662 )",210490,"(+/- 5500 )",160536,"(+/- 5102 )",184870,"(+/- 5333 )"
Housing,"Housing Tenure",Renter-occupied,86163,"(+/- 3719 )",110630,"(+/- 4264 )",96569,"(+/- 4368 )",87930,"(+/- 4269 )",102658,"(+/- 4290 )",91216,"(+/- 4764 )",188739,"(+/- 6091 )",73920,"(+/- 4232 )",135495,"(+/- 4506 )",115034,"(+/- 4735 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.78,"(+/- 0.05 )",2.57,"(+/- 0.05 )",2.65,"(+/- 0.04 )",2.93,"(+/- 0.06 )",2.56,"(+/- 0.04 )",2.52,"(+/- 0.05 )",2.40,"(+/- 0.05 )",2.83,"(+/- 0.05 )",2.65,"(+/- 0.06 )",2.72,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.33,"(+/- 0.08 )",2.28,"(+/- 0.06 )",2.40,"(+/- 0.07 )",2.72,"(+/- 0.09 )",2.17,"(+/- 0.07 )",2.10,"(+/- 0.07 )",1.76,"(+/- 0.04 )",2.46,"(+/- 0.11 )",2.40,"(+/- 0.08 )",2.36,"(+/- 0.07 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",298959,"(+/- 5452 )",306067,"(+/- 4228 )",301455,"(+/- 3274 )",259928,"(+/- 2425 )",301159,"(+/- 2982 )",300949,"(+/- 5401 )",373393,"(+/- 5995 )",284410,"(+/- 5663 )",296031,"(+/- 5134 )",299904,"(+/- 5496 )"
Housing,"Year Householder Moved into Unit","Moved in 2019 or later",83558,"(+/- 4207 )",93377,"(+/- 4031 )",89521,"(+/- 4984 )",71986,"(+/- 4499 )",89366,"(+/- 3875 )",81127,"(+/- 4373 )",150720,"(+/- 5192 )",77472,"(+/- 3945 )",95906,"(+/- 4427 )",96666,"(+/- 5355 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2018",71217,"(+/- 4181 )",80899,"(+/- 4684 )",77345,"(+/- 4465 )",60338,"(+/- 3709 )",72862,"(+/- 4183 )",75482,"(+/- 4380 )",79506,"(+/- 4550 )",69587,"(+/- 4251 )",72561,"(+/- 4208 )",75709,"(+/- 4329 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",41256,"(+/- 3234 )",36598,"(+/- 3147 )",39875,"(+/- 3428 )",36426,"(+/- 3552 )",36634,"(+/- 3051 )",38327,"(+/- 3309 )",45178,"(+/- 3465 )",37724,"(+/- 3178 )",35274,"(+/- 2946 )",36568,"(+/- 3283 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",55444,"(+/- 3605 )",48769,"(+/- 3248 )",48101,"(+/- 3011 )",46615,"(+/- 3463 )",50123,"(+/- 2914 )",53417,"(+/- 3785 )",45300,"(+/- 2900 )",54760,"(+/- 3230 )",44687,"(+/- 3412 )",45019,"(+/- 2940 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",25904,"(+/- 2026 )",26313,"(+/- 2538 )",27533,"(+/- 2608 )",22481,"(+/- 2106 )",28413,"(+/- 2487 )",27633,"(+/- 2577 )",28398,"(+/- 2739 )",25344,"(+/- 2645 )",26859,"(+/- 2247 )",26830,"(+/- 2388 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",21580,"(+/- 2052 )",20111,"(+/- 2148 )",19080,"(+/- 1849 )",22082,"(+/- 2331 )",23761,"(+/- 1864 )",24963,"(+/- 1901 )",24291,"(+/- 1994 )",19523,"(+/- 2048 )",20744,"(+/- 2343 )",19112,"(+/- 1878 )"
Housing,Value,"Owner-occupied units",212796,"(+/- 5899 )",195437,"(+/- 4871 )",204886,"(+/- 4186 )",171998,"(+/- 4693 )",198501,"(+/- 4462 )",209733,"(+/- 4732 )",184654,"(+/- 5662 )",210490,"(+/- 5500 )",160536,"(+/- 5102 )",184870,"(+/- 5333 )"
Housing,Value,"Less than $50,000",5153,"(+/- 1229 )",4920,"(+/- 981 )",7604,"(+/- 1319 )",11141,"(+/- 1571 )",8692,"(+/- 1545 )",6759,"(+/- 1362 )",1635,"(+/- 703 )",7160,"(+/- 1345 )",2788,"(+/- 873 )",7451,"(+/- 1328 )"
Housing,Value,"$50,000 to $99,999",3374,"(+/- 845 )",3507,"(+/- 689 )",4545,"(+/- 1051 )",6719,"(+/- 1209 )",5805,"(+/- 1138 )",4554,"(+/- 1108 )",1001,"(+/- 424 )",2116,"(+/- 649 )",1529,"(+/- 622 )",3940,"(+/- 1075 )"
Housing,Value,"$100,000 to $149,999",1304,"(+/- 464 )",2210,"(+/- 654 )",4149,"(+/- 823 )",10227,"(+/- 1880 )",7780,"(+/- 1524 )",3623,"(+/- 826 )",979,"(+/- 716 )",3828,"(+/- 1108 )",1195,"(+/- 517 )",1783,"(+/- 550 )"
Housing,Value,"$150,000 to $199,999",2613,"(+/- 866 )",2600,"(+/- 847 )",7794,"(+/- 1520 )",13287,"(+/- 1716 )",13723,"(+/- 1591 )",9037,"(+/- 1391 )",311,"(+/- 233 )",3469,"(+/- 1162 )",1925,"(+/- 780 )",3890,"(+/- 971 )"
Housing,Value,"$200,000 to $299,999",6737,"(+/- 1445 )",10974,"(+/- 1859 )",23925,"(+/- 2621 )",45052,"(+/- 2800 )",43871,"(+/- 2943 )",26261,"(+/- 2220 )",3044,"(+/- 933 )",10552,"(+/- 1949 )",8287,"(+/- 1574 )",17998,"(+/- 2148 )"
Housing,Value,"$300,000 to $499,999",42523,"(+/- 3140 )",57856,"(+/- 3256 )",92699,"(+/- 4069 )",61090,"(+/- 4060 )",74410,"(+/- 3075 )",80309,"(+/- 3894 )",21532,"(+/- 2585 )",61045,"(+/- 3817 )",32929,"(+/- 2758 )",93643,"(+/- 4476 )"
Housing,Value,"$500,000 to $999,999",101731,"(+/- 4379 )",99309,"(+/- 3774 )",56260,"(+/- 3565 )",22399,"(+/- 2047 )",41524,"(+/- 3186 )",64799,"(+/- 3670 )",100325,"(+/- 4459 )",94206,"(+/- 4382 )",74686,"(+/- 3739 )",52850,"(+/- 3220 )"
Housing,Value,"$1,000,000 or more",49361,"(+/- 3145 )",14061,"(+/- 1501 )",7910,"(+/- 1263 )",2083,"(+/- 745 )",2696,"(+/- 837 )",14391,"(+/- 1558 )",55827,"(+/- 2977 )",28114,"(+/- 2120 )",37197,"(+/- 2208 )",3315,"(+/- 730 )"
Housing,Value,"Median (dollars)",691500,"(+/- 14148 )",554100,"(+/- 8514 )",411200,"(+/- 7735 )",299100,"(+/- 6757 )",342100,"(+/- 6797 )",437400,"(+/- 7956 )",819500,"(+/- 14325 )",566700,"(+/- 11182 )",660800,"(+/- 12035 )",428200,"(+/- 5002 )"
Housing,"Mortgage Status","Owner-occupied units",212796,"(+/- 5899 )",195437,"(+/- 4871 )",204886,"(+/- 4186 )",171998,"(+/- 4693 )",198501,"(+/- 4462 )",209733,"(+/- 4732 )",184654,"(+/- 5662 )",210490,"(+/- 5500 )",160536,"(+/- 5102 )",184870,"(+/- 5333 )"
Housing,"Mortgage Status","Housing units with a mortgage",153064,"(+/- 5136 )",130846,"(+/- 4633 )",130305,"(+/- 4317 )",104118,"(+/- 4835 )",121832,"(+/- 4671 )",135480,"(+/- 5009 )",130836,"(+/- 5753 )",148515,"(+/- 4970 )",107462,"(+/- 4467 )",128151,"(+/- 5136 )"
Housing,"Mortgage Status","Housing units without a mortgage",59732,"(+/- 3570 )",64591,"(+/- 3298 )",74581,"(+/- 3856 )",67880,"(+/- 3635 )",76669,"(+/- 3697 )",74253,"(+/- 3078 )",53818,"(+/- 3004 )",61975,"(+/- 3654 )",53074,"(+/- 3657 )",56719,"(+/- 3409 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",153064,"(+/- 5136 )",130846,"(+/- 4633 )",130305,"(+/- 4317 )",104118,"(+/- 4835 )",121832,"(+/- 4671 )",135480,"(+/- 5009 )",130836,"(+/- 5753 )",148515,"(+/- 4970 )",107462,"(+/- 4467 )",128151,"(+/- 5136 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1043,"(+/- 668 )",1392,"(+/- 615 )",2072,"(+/- 870 )",704,"(+/- 405 )",758,"(+/- 379 )",834,"(+/- 534 )",385,"(+/- 233 )",1029,"(+/- 557 )",164,"(+/- 196 )",1036,"(+/- 575 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",2616,"(+/- 746 )",4522,"(+/- 934 )",8264,"(+/- 1302 )",13625,"(+/- 1719 )",16373,"(+/- 1992 )",7961,"(+/- 1364 )",945,"(+/- 423 )",4957,"(+/- 1181 )",2049,"(+/- 613 )",5556,"(+/- 1183 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",13102,"(+/- 1906 )",15555,"(+/- 1664 )",26363,"(+/- 2618 )",33215,"(+/- 3013 )",39499,"(+/- 3289 )",27055,"(+/- 2693 )",6740,"(+/- 1480 )",13394,"(+/- 1849 )",10257,"(+/- 1571 )",22885,"(+/- 2620 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",25546,"(+/- 2731 )",33265,"(+/- 3386 )",41756,"(+/- 2947 )",30632,"(+/- 2876 )",34001,"(+/- 2623 )",36177,"(+/- 2528 )",13634,"(+/- 1941 )",31681,"(+/- 3130 )",18754,"(+/- 2052 )",39074,"(+/- 3187 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",30636,"(+/- 3206 )",31413,"(+/- 3098 )",25793,"(+/- 2495 )",14186,"(+/- 2316 )",15209,"(+/- 2324 )",30298,"(+/- 2619 )",23232,"(+/- 3019 )",31977,"(+/- 3058 )",23061,"(+/- 2370 )",31883,"(+/- 3247 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",26024,"(+/- 2468 )",20822,"(+/- 2323 )",15160,"(+/- 2261 )",7252,"(+/- 1676 )",10151,"(+/- 1591 )",15230,"(+/- 1739 )",25207,"(+/- 2678 )",23663,"(+/- 2436 )",16005,"(+/- 1558 )",16538,"(+/- 2144 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",54097,"(+/- 3776 )",23877,"(+/- 2509 )",10897,"(+/- 1840 )",4504,"(+/- 1141 )",5841,"(+/- 1197 )",17925,"(+/- 2145 )",60693,"(+/- 3832 )",41814,"(+/- 2957 )",37172,"(+/- 2984 )",11179,"(+/- 1656 )"
