Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
Housing,"Housing Occupancy","Vacant housing units",49558,"(+/- 3439 )",37357,"(+/- 3129 )",25924,"(+/- 3141 )",26145,"(+/- 3231 )",56444,"(+/- 4133 )",27117,"(+/- 2667 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.7,"(+/- 0.3 )",0.7,"(+/- 0.4 )",1.2,"(+/- 0.5 )",0.8,"(+/- 0.3 )",1.5,"(+/- 0.4 )",0.6,"(+/- 0.3 )"
Housing,"Housing Occupancy","Rental vacancy rate",5.1,"(+/- 1.6 )",3.9,"(+/- 1.2 )",6.3,"(+/- 1.2 )",5.2,"(+/- 1.4 )",3.6,"(+/- 1.4 )",4.4,"(+/- 1.2 )"
Housing,"Housing Tenure","Occupied housing units",281733,"(+/- 3478 )",300863,"(+/- 3622 )",321139,"(+/- 3447 )",298625,"(+/- 3788 )",261414,"(+/- 5032 )",321908,"(+/- 3661 )"
Housing,"Housing Tenure",Owner-occupied,201374,"(+/- 3958 )",209772,"(+/- 4391 )",198401,"(+/- 4642 )",226406,"(+/- 4230 )",189278,"(+/- 5454 )",200765,"(+/- 4510 )"
Housing,"Housing Tenure",Renter-occupied,80359,"(+/- 3527 )",91091,"(+/- 3838 )",122738,"(+/- 4119 )",72219,"(+/- 3333 )",72136,"(+/- 3891 )",121143,"(+/- 4389 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.51,"(+/- 0.04 )",2.64,"(+/- 0.04 )",2.39,"(+/- 0.05 )",2.67,"(+/- 0.04 )",2.62,"(+/- 0.06 )",2.49,"(+/- 0.04 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.26,"(+/- 0.08 )",2.31,"(+/- 0.07 )",2.12,"(+/- 0.07 )",2.27,"(+/- 0.08 )",2.38,"(+/- 0.09 )",2.15,"(+/- 0.05 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",281733,"(+/- 3478 )",300863,"(+/- 3622 )",321139,"(+/- 3447 )",298625,"(+/- 3788 )",261414,"(+/- 5032 )",321908,"(+/- 3661 )"
Housing,"Year Householder Moved into Unit","Moved in 2019 or later",68310,"(+/- 3855 )",75862,"(+/- 3640 )",95252,"(+/- 5027 )",71718,"(+/- 4379 )",49844,"(+/- 3522 )",103025,"(+/- 4238 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2018",55202,"(+/- 3346 )",67041,"(+/- 4540 )",68591,"(+/- 4239 )",65269,"(+/- 4262 )",51994,"(+/- 3836 )",75270,"(+/- 4118 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",37823,"(+/- 3058 )",40197,"(+/- 3555 )",39061,"(+/- 3245 )",37610,"(+/- 3106 )",31270,"(+/- 3245 )",35758,"(+/- 2788 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",52127,"(+/- 3102 )",52438,"(+/- 4076 )",52540,"(+/- 3876 )",60164,"(+/- 3199 )",50855,"(+/- 3617 )",49959,"(+/- 3220 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",33672,"(+/- 2073 )",35474,"(+/- 2945 )",31618,"(+/- 2909 )",31982,"(+/- 2670 )",34433,"(+/- 3369 )",31110,"(+/- 2094 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",34599,"(+/- 2390 )",29851,"(+/- 1943 )",34077,"(+/- 2407 )",31882,"(+/- 2150 )",43018,"(+/- 2685 )",26786,"(+/- 2381 )"
Housing,Value,"Owner-occupied units",201374,"(+/- 3958 )",209772,"(+/- 4391 )",198401,"(+/- 4642 )",226406,"(+/- 4230 )",189278,"(+/- 5454 )",200765,"(+/- 4510 )"
Housing,Value,"Less than $50,000",26568,"(+/- 2428 )",17782,"(+/- 2076 )",9167,"(+/- 1640 )",14407,"(+/- 1767 )",43736,"(+/- 3457 )",13370,"(+/- 1713 )"
Housing,Value,"$50,000 to $99,999",46550,"(+/- 3031 )",27554,"(+/- 2481 )",14466,"(+/- 1888 )",24318,"(+/- 2408 )",48652,"(+/- 3388 )",18475,"(+/- 2253 )"
Housing,Value,"$100,000 to $149,999",37081,"(+/- 3242 )",33123,"(+/- 2705 )",31828,"(+/- 3002 )",28684,"(+/- 2264 )",34911,"(+/- 3619 )",30860,"(+/- 2498 )"
Housing,Value,"$150,000 to $199,999",35404,"(+/- 2515 )",43166,"(+/- 3542 )",35079,"(+/- 3271 )",36172,"(+/- 2766 )",25511,"(+/- 2407 )",33870,"(+/- 2847 )"
Housing,Value,"$200,000 to $299,999",29454,"(+/- 2223 )",46921,"(+/- 3463 )",52694,"(+/- 3115 )",56186,"(+/- 3643 )",22508,"(+/- 2483 )",49161,"(+/- 3440 )"
Housing,Value,"$300,000 to $499,999",19920,"(+/- 1922 )",31402,"(+/- 3016 )",39622,"(+/- 2806 )",47398,"(+/- 3201 )",9800,"(+/- 1785 )",40285,"(+/- 2777 )"
Housing,Value,"$500,000 to $999,999",5310,"(+/- 1273 )",8888,"(+/- 1589 )",13261,"(+/- 1511 )",17571,"(+/- 2010 )",2839,"(+/- 1138 )",11982,"(+/- 1338 )"
Housing,Value,"$1,000,000 or more",1087,"(+/- 481 )",936,"(+/- 479 )",2284,"(+/- 811 )",1670,"(+/- 552 )",1321,"(+/- 747 )",2762,"(+/- 817 )"
Housing,Value,"Median (dollars)",134700,"(+/- 5395 )",176600,"(+/- 5297 )",215000,"(+/- 5519 )",216300,"(+/- 5986 )",102700,"(+/- 4457 )",206700,"(+/- 5294 )"
Housing,"Mortgage Status","Owner-occupied units",201374,"(+/- 3958 )",209772,"(+/- 4391 )",198401,"(+/- 4642 )",226406,"(+/- 4230 )",189278,"(+/- 5454 )",200765,"(+/- 4510 )"
Housing,"Mortgage Status","Housing units with a mortgage",99440,"(+/- 4066 )",123296,"(+/- 4664 )",129553,"(+/- 4892 )",143972,"(+/- 4824 )",73631,"(+/- 4542 )",129781,"(+/- 4606 )"
Housing,"Mortgage Status","Housing units without a mortgage",101934,"(+/- 3547 )",86476,"(+/- 4182 )",68848,"(+/- 3195 )",82434,"(+/- 4394 )",115647,"(+/- 5008 )",70984,"(+/- 3883 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",99440,"(+/- 4066 )",123296,"(+/- 4664 )",129553,"(+/- 4892 )",143972,"(+/- 4824 )",73631,"(+/- 4542 )",129781,"(+/- 4606 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",3411,"(+/- 925 )",3409,"(+/- 885 )",1753,"(+/- 582 )",1636,"(+/- 496 )",3529,"(+/- 982 )",1307,"(+/- 397 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",41224,"(+/- 3041 )",37922,"(+/- 2537 )",25169,"(+/- 2364 )",31310,"(+/- 3011 )",33560,"(+/- 3181 )",34555,"(+/- 3151 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",35741,"(+/- 2726 )",48125,"(+/- 3164 )",50093,"(+/- 3868 )",50621,"(+/- 3745 )",24555,"(+/- 2646 )",50414,"(+/- 3054 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",11057,"(+/- 1841 )",20571,"(+/- 2273 )",29469,"(+/- 2371 )",31725,"(+/- 2614 )",7719,"(+/- 1614 )",23594,"(+/- 2282 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",4127,"(+/- 1125 )",7521,"(+/- 1267 )",11287,"(+/- 1696 )",15403,"(+/- 2050 )",2367,"(+/- 983 )",11452,"(+/- 1502 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",2315,"(+/- 936 )",3536,"(+/- 893 )",6408,"(+/- 1165 )",6168,"(+/- 1263 )",678,"(+/- 365 )",3319,"(+/- 871 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",1565,"(+/- 643 )",2212,"(+/- 1066 )",5374,"(+/- 1031 )",7109,"(+/- 1193 )",1223,"(+/- 627 )",5140,"(+/- 1121 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1058,"(+/- 28 )",1176,"(+/- 22 )",1376,"(+/- 25 )",1385,"(+/- 30 )",996,"(+/- 38 )",1269,"(+/- 33 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",101934,"(+/- 3547 )",86476,"(+/- 4182 )",68848,"(+/- 3195 )",82434,"(+/- 4394 )",115647,"(+/- 5008 )",70984,"(+/- 3883 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",20501,"(+/- 1862 )",14201,"(+/- 1995 )",3757,"(+/- 980 )",7641,"(+/- 1230 )",30721,"(+/- 2847 )",9621,"(+/- 1401 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",37264,"(+/- 2752 )",30689,"(+/- 2536 )",13655,"(+/- 1510 )",21707,"(+/- 2076 )",46277,"(+/- 3535 )",22143,"(+/- 2135 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",29825,"(+/- 2591 )",25997,"(+/- 2458 )",26325,"(+/- 2215 )",32081,"(+/- 2851 )",28877,"(+/- 2714 )",22543,"(+/- 2078 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",9075,"(+/- 1463 )",9051,"(+/- 1444 )",13275,"(+/- 1530 )",11909,"(+/- 1485 )",6940,"(+/- 1683 )",10732,"(+/- 1589 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",2844,"(+/- 872 )",3437,"(+/- 752 )",6307,"(+/- 1110 )",4765,"(+/- 1024 )",1876,"(+/- 759 )",3148,"(+/- 736 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",2425,"(+/- 859 )",3101,"(+/- 934 )",5529,"(+/- 969 )",4331,"(+/- 1080 )",956,"(+/- 589 )",2797,"(+/- 654 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",371,"(+/- 11 )",392,"(+/- 9 )",526,"(+/- 14 )",466,"(+/- 10 )",336,"(+/- 9 )",427,"(+/- 13 )"
Housing,"Gross Rent","Occupied units paying rent",72611,"(+/- 3334 )",82298,"(+/- 3870 )",118800,"(+/- 4249 )",67197,"(+/- 3556 )",58013,"(+/- 3921 )",113756,"(+/- 4519 )"
Housing,"Gross Rent","Less than $500",16359,"(+/- 2031 )",12536,"(+/- 2042 )",10891,"(+/- 2040 )",8142,"(+/- 1514 )",16083,"(+/- 2157 )",11853,"(+/- 2025 )"
Housing,"Gross Rent","$500 to $999",43686,"(+/- 2961 )",53350,"(+/- 3131 )",51444,"(+/- 3389 )",34756,"(+/- 2953 )",36440,"(+/- 3883 )",59477,"(+/- 3705 )"
Housing,"Gross Rent","$1,000 to $1,499",11076,"(+/- 1812 )",13661,"(+/- 2050 )",44433,"(+/- 3597 )",18270,"(+/- 2205 )",4769,"(+/- 1469 )",33348,"(+/- 3277 )"
Housing,"Gross Rent","$1,500 to $1,999",1193,"(+/- 576 )",2176,"(+/- 737 )",8664,"(+/- 1730 )",4106,"(+/- 1164 )",663,"(+/- 498 )",7523,"(+/- 1540 )"
Housing,"Gross Rent","$2,000 to $2,499",153,"(+/- 205 )",538,"(+/- 413 )",2370,"(+/- 987 )",899,"(+/- 492 )",58,"(+/- 98 )",697,"(+/- 333 )"
Housing,"Gross Rent","$2,500 to $2,999",0,"(+/- 208 )",0,"(+/- 208 )",452,"(+/- 275 )",567,"(+/- 579 )",0,"(+/- 208 )",535,"(+/- 614 )"
Housing,"Gross Rent","$3,000 or more",144,"(+/- 163 )",37,"(+/- 71 )",546,"(+/- 462 )",457,"(+/- 351 )",0,"(+/- 208 )",323,"(+/- 254 )"
Housing,"Gross Rent","Median (dollars)",707,"(+/- 22 )",773,"(+/- 27 )",977,"(+/- 22 )",868,"(+/- 22 )",658,"(+/- 23 )",890,"(+/- 22 )"
Housing,"Gross Rent","No rent paid",7748,"(+/- 1496 )",8793,"(+/- 1513 )",3938,"(+/- 961 )",5022,"(+/- 1336 )",14123,"(+/- 1907 )",7387,"(+/- 1458 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Total households",281733,"(+/- 3478 )",300863,"(+/- 3622 )",321139,"(+/- 3447 )",298625,"(+/- 3788 )",261414,"(+/- 5032 )",321908,"(+/- 3661 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Less than $10,000",24565,"(+/- 2641 )",21761,"(+/- 2605 )",21653,"(+/- 2782 )",15880,"(+/- 1823 )",36419,"(+/- 3452 )",24314,"(+/- 2753 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$10,000 to $14,999",17256,"(+/- 2104 )",14759,"(+/- 2109 )",12317,"(+/- 1762 )",10273,"(+/- 1766 )",24293,"(+/- 2964 )",13328,"(+/- 1865 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$15,000 to $24,999",29003,"(+/- 2523 )",27125,"(+/- 2887 )",25891,"(+/- 2616 )",22572,"(+/- 2337 )",38710,"(+/- 3481 )",29450,"(+/- 2630 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$25,000 to $34,999",28775,"(+/- 2426 )",25163,"(+/- 2608 )",33980,"(+/- 2780 )",22977,"(+/- 2420 )",25733,"(+/- 2252 )",29613,"(+/- 2625 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$35,000 to $49,999",36827,"(+/- 3198 )",42811,"(+/- 3495 )",43825,"(+/- 3332 )",35620,"(+/- 3255 )",33293,"(+/- 3083 )",39969,"(+/- 2990 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$50,000 to $74,999",53824,"(+/- 3928 )",57533,"(+/- 3593 )",56722,"(+/- 3320 )",50972,"(+/- 3521 )",42697,"(+/- 3448 )",59137,"(+/- 3887 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$75,000 to $99,999",39773,"(+/- 2804 )",40211,"(+/- 2823 )",40774,"(+/- 3064 )",37944,"(+/- 3009 )",24169,"(+/- 2580 )",42032,"(+/- 2995 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$100,000 to $149,999",32990,"(+/- 3130 )",42002,"(+/- 2884 )",45682,"(+/- 3536 )",53868,"(+/- 3515 )",24662,"(+/- 2533 )",47543,"(+/- 2956 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$150,000 to $199,000",9841,"(+/- 1654 )",16975,"(+/- 2404 )",18063,"(+/- 1800 )",22421,"(+/- 2178 )",6142,"(+/- 1385 )",19300,"(+/- 2340 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$200,000 or more",8879,"(+/- 1782 )",12523,"(+/- 1942 )",22232,"(+/- 2074 )",26098,"(+/- 2402 )",5296,"(+/- 1349 )",17222,"(+/- 2063 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Median household income (dollars)",51424,"(+/- 1164 )",57110,"(+/- 1816 )",59174,"(+/- 1827 )",70697,"(+/- 1830 )",38048,"(+/- 2454 )",58719,"(+/- 2119 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Mean household income (dollars)",65507,"(+/- 2067 )",73712,"(+/- 2212 )",83568,"(+/- 2492 )",95392,"(+/- 2513 )",55005,"(+/- 3384 )",80132,"(+/- 2540 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",690782,"(+/- 4630 )",770864,"(+/- 5154 )",743079,"(+/- 3965 )",771952,"(+/- 5993 )",674719,"(+/- 4982 )",776996,"(+/- 5231 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",648279,"(+/- 6909 )",723837,"(+/- 7747 )",699288,"(+/- 6618 )",736973,"(+/- 6712 )",639988,"(+/- 6529 )",729240,"(+/- 7308 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",411251,"(+/- 10844 )",504128,"(+/- 11973 )",484646,"(+/- 10678 )",553619,"(+/- 10776 )",312070,"(+/- 11117 )",516312,"(+/- 10694 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",338771,"(+/- 9361 )",337164,"(+/- 10846 )",319426,"(+/- 10568 )",279534,"(+/- 9401 )",423785,"(+/- 10855 )",313448,"(+/- 10475 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",42503,"(+/- 5865 )",47027,"(+/- 5171 )",43791,"(+/- 5481 )",34979,"(+/- 4050 )",34731,"(+/- 4432 )",47756,"(+/- 5836 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",167498,"(+/- 2770 )",193610,"(+/- 3167 )",172160,"(+/- 2067 )",192470,"(+/- 3195 )",164538,"(+/- 3208 )",182686,"(+/- 3698 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",10206,"(+/- 2870 )",8097,"(+/- 2370 )",6459,"(+/- 2065 )",5727,"(+/- 1881 )",4401,"(+/- 1622 )",7800,"(+/- 2193 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",12.9,"(+/- 1.3 )",10.7,"(+/- 1.1 )",10.4,"(+/- 1.4 )",7.6,"(+/- 0.9 )",22.4,"(+/- 1.7 )",10.3,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",21.9,"(+/- 2.5 )",18.1,"(+/- 2.2 )",16.0,"(+/- 2.8 )",11.4,"(+/- 1.7 )",31.4,"(+/- 2.9 )",15.8,"(+/- 2.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",21.8,"(+/- 5.8 )",13.1,"(+/- 4.4 )",13.4,"(+/- 5.8 )",8.7,"(+/- 3.8 )",32.1,"(+/- 8.0 )",24.6,"(+/- 7.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",6.9,"(+/- 1.1 )",4.5,"(+/- 0.9 )",5.1,"(+/- 1.2 )",3.9,"(+/- 0.8 )",14.0,"(+/- 1.6 )",3.7,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",10.4,"(+/- 1.9 )",5.8,"(+/- 1.6 )",7.6,"(+/- 2.6 )",4.4,"(+/- 1.2 )",17.0,"(+/- 2.6 )",5.0,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",10.5,"(+/- 4.3 )",1.9,"(+/- 2.1 )",7.5,"(+/- 5.3 )",4.2,"(+/- 3.0 )",10.5,"(+/- 7.9 )",5.1,"(+/- 3.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",36.8,"(+/- 4.6 )",34.8,"(+/- 4.6 )",25.5,"(+/- 4.1 )",24.8,"(+/- 4.4 )",49.5,"(+/- 5.3 )",29.7,"(+/- 4.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",48.1,"(+/- 5.9 )",47.1,"(+/- 6.4 )",31.9,"(+/- 6.0 )",33.0,"(+/- 6.4 )",60.7,"(+/- 6.2 )",40.3,"(+/- 6.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",48.8,"(+/- 15.0 )",44.8,"(+/- 14.9 )",31.9,"(+/- 15.1 )",25.7,"(+/- 14.3 )",76.0,"(+/- 15.6 )",58.7,"(+/- 15.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",17.6,"(+/- 1.2 )",14.9,"(+/- 1.1 )",14.5,"(+/- 1.4 )",11.1,"(+/- 1.0 )",27.9,"(+/- 1.6 )",14.4,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",24.0,"(+/- 2.8 )",20.7,"(+/- 2.4 )",20.8,"(+/- 3.6 )",14.3,"(+/- 2.4 )",37.7,"(+/- 3.2 )",17.3,"(+/- 2.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",23.7,"(+/- 2.8 )",20.6,"(+/- 2.4 )",20.4,"(+/- 3.6 )",13.7,"(+/- 2.4 )",37.0,"(+/- 3.2 )",16.8,"(+/- 2.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",26.6,"(+/- 4.3 )",19.8,"(+/- 3.5 )",24.3,"(+/- 5.5 )",15.1,"(+/- 4.0 )",42.7,"(+/- 5.6 )",20.0,"(+/- 3.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",22.7,"(+/- 3.0 )",20.8,"(+/- 2.6 )",18.9,"(+/- 3.6 )",13.2,"(+/- 2.5 )",35.2,"(+/- 3.8 )",15.6,"(+/- 2.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",15.7,"(+/- 0.9 )",13.1,"(+/- 0.9 )",12.7,"(+/- 1.0 )",10.1,"(+/- 0.7 )",25.1,"(+/- 1.4 )",13.6,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",12.0,"(+/- 1.4 )",11.0,"(+/- 1.4 )",9.6,"(+/- 1.6 )",9.4,"(+/- 1.5 )",18.0,"(+/- 2.0 )",10.1,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",14.2,"(+/- 1.3 )",11.9,"(+/- 1.1 )",11.8,"(+/- 1.7 )",8.5,"(+/- 1.1 )",24.2,"(+/- 1.9 )",10.4,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",32.9,"(+/- 2.6 )",28.8,"(+/- 2.2 )",23.3,"(+/- 1.8 )",23.5,"(+/- 1.8 )",45.1,"(+/- 2.6 )",28.5,"(+/- 2.2 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",153268,"(+/- 3984 )",181142,"(+/- 4435 )",168491,"(+/- 5218 )",185779,"(+/- 4732 )",150118,"(+/- 5240 )",194225,"(+/- 5392 )"
Education,"School Enrollment","Nursery school, preschool",9594,"(+/- 1329 )",9337,"(+/- 1773 )",8636,"(+/- 1472 )",12141,"(+/- 1970 )",6596,"(+/- 1312 )",8203,"(+/- 1360 )"
Education,"School Enrollment",Kindergarten,8350,"(+/- 1355 )",10625,"(+/- 1724 )",10284,"(+/- 1695 )",8361,"(+/- 1531 )",8853,"(+/- 1736 )",9435,"(+/- 1567 )"
Education,"School Enrollment","Elementary school (grades 1-8)",72847,"(+/- 2599 )",79117,"(+/- 3083 )",67521,"(+/- 2870 )",84831,"(+/- 2756 )",68847,"(+/- 3035 )",72298,"(+/- 2520 )"
Education,"School Enrollment","High school (grades 9-12)",34149,"(+/- 2151 )",41847,"(+/- 2337 )",35899,"(+/- 2367 )",43332,"(+/- 2212 )",36792,"(+/- 2369 )",36917,"(+/- 2136 )"
Education,"School Enrollment","College or graduate school",28328,"(+/- 2829 )",40216,"(+/- 2969 )",46151,"(+/- 3666 )",37114,"(+/- 3437 )",29030,"(+/- 3827 )",67372,"(+/- 4196 )"
Education,"Educational Attainment","Population 25 years and over",485053,"(+/- 3475 )",527877,"(+/- 3366 )",521764,"(+/- 2449 )",538525,"(+/- 3976 )",480543,"(+/- 4606 )",524105,"(+/- 4417 )"
Education,"Educational Attainment","Less than 9th grade",23362,"(+/- 2481 )",19002,"(+/- 2455 )",15196,"(+/- 2114 )",19129,"(+/- 2546 )",44506,"(+/- 3803 )",22272,"(+/- 2977 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",39899,"(+/- 3710 )",38193,"(+/- 3321 )",30534,"(+/- 3391 )",33305,"(+/- 2934 )",55650,"(+/- 5036 )",28672,"(+/- 3244 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",180052,"(+/- 5554 )",189047,"(+/- 6565 )",147830,"(+/- 6001 )",154823,"(+/- 6513 )",185227,"(+/- 6444 )",150975,"(+/- 6341 )"
Education,"Educational Attainment","Some college, no degree",100183,"(+/- 4210 )",105472,"(+/- 6275 )",102055,"(+/- 4668 )",102919,"(+/- 5856 )",87559,"(+/- 5342 )",95883,"(+/- 5269 )"
Education,"Educational Attainment","Associate's degree",50028,"(+/- 3485 )",49620,"(+/- 3284 )",39837,"(+/- 3940 )",51348,"(+/- 3271 )",37936,"(+/- 4179 )",46939,"(+/- 3819 )"
Education,"Educational Attainment","Bachelor's degree",55258,"(+/- 3820 )",74731,"(+/- 4478 )",106929,"(+/- 5034 )",108041,"(+/- 5322 )",38216,"(+/- 3686 )",105371,"(+/- 5417 )"
Education,"Educational Attainment","Graduate or professional degree",36271,"(+/- 2780 )",51812,"(+/- 4094 )",79383,"(+/- 4301 )",68960,"(+/- 4190 )",31449,"(+/- 3146 )",73993,"(+/- 4042 )"
Education,"Educational Attainment","Percent high school graduate or higher",87.0,"(+/- 0.9 )",89.2,"(+/- 0.8 )",91.2,"(+/- 0.8 )",90.3,"(+/- 0.7 )",79.2,"(+/- 1.4 )",90.3,"(+/- 0.7 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",18.9,"(+/- 0.9 )",24.0,"(+/- 1.1 )",35.7,"(+/- 1.1 )",32.9,"(+/- 1.0 )",14.5,"(+/- 0.9 )",34.2,"(+/- 1.1 )"

"Source: 2021 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag","District 04 Estimate","District 04 Flag","District 05 Estimate","District 05 Flag","District 06 Estimate","District 06 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",213069,G,240935,G,454433,G,260795,G,157231,G,296403,G
