Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",100329,"(+/- 5744 )",102421,"(+/- 5738 )",94538,"(+/- 5606 )",84022,"(+/- 4845 )",64824,"(+/- 4711 )",76144,"(+/- 4925 )",59977,"(+/- 4359 )",77893,"(+/- 5101 )",73504,"(+/- 6180 )",87138,"(+/- 5169 )",63425,"(+/- 4968 )",73979,"(+/- 4545 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",164812,"(+/- 4119 )",154807,"(+/- 3557 )",147747,"(+/- 4962 )",203033,"(+/- 6880 )",160548,"(+/- 5998 )",160838,"(+/- 6249 )",163701,"(+/- 5721 )",168067,"(+/- 6979 )",170491,"(+/- 6455 )",187483,"(+/- 7737 )",163322,"(+/- 5468 )",172130,"(+/- 6452 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6667,"(+/- 1479 )",8478,"(+/- 1928 )",6885,"(+/- 1507 )",4896,"(+/- 1493 )",4704,"(+/- 1404 )",6441,"(+/- 1406 )",5076,"(+/- 1185 )",4539,"(+/- 1363 )",5248,"(+/- 1781 )",5815,"(+/- 1493 )",3562,"(+/- 1133 )",5275,"(+/- 1727 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",457734,"(+/- 4793 )",423932,"(+/- 7184 )",445327,"(+/- 5077 )",441057,"(+/- 9003 )",456540,"(+/- 8563 )",483626,"(+/- 7815 )",456903,"(+/- 8554 )",533970,"(+/- 9973 )",486933,"(+/- 9073 )",503876,"(+/- 9280 )",452330,"(+/- 8982 )",477222,"(+/- 6740 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",50921,"(+/- 4272 )",51405,"(+/- 4582 )",38206,"(+/- 4108 )",31432,"(+/- 3549 )",28267,"(+/- 2779 )",37055,"(+/- 3841 )",24501,"(+/- 2522 )",43636,"(+/- 3898 )",33173,"(+/- 3925 )",47428,"(+/- 4814 )",22113,"(+/- 2493 )",31906,"(+/- 3087 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",120274,"(+/- 2574 )",142920,"(+/- 2956 )",150858,"(+/- 3363 )",155183,"(+/- 6099 )",132562,"(+/- 4502 )",111210,"(+/- 3765 )",131865,"(+/- 4215 )",90989,"(+/- 4986 )",118970,"(+/- 5039 )",106582,"(+/- 4354 )",138801,"(+/- 4267 )",126997,"(+/- 4419 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",42741,"(+/- 2512 )",42538,"(+/- 2620 )",49447,"(+/- 3065 )",47694,"(+/- 3387 )",31853,"(+/- 3096 )",32648,"(+/- 2676 )",30400,"(+/- 2882 )",29718,"(+/- 3178 )",35083,"(+/- 3605 )",33895,"(+/- 2847 )",37750,"(+/- 3407 )",36798,"(+/- 3194 )"
People,"Residence 1 Year Ago","Population 1 year and over",742986,"(+/- 7770 )",734041,"(+/- 7093 )",754892,"(+/- 5778 )",793262,"(+/- 8715 )",749400,"(+/- 11319 )",755012,"(+/- 9084 )",755707,"(+/- 11871 )",788469,"(+/- 12851 )",770674,"(+/- 11799 )",800446,"(+/- 13787 )",752805,"(+/- 11535 )",776423,"(+/- 6541 )"
People,"Residence 1 Year Ago","Same house",655245,"(+/- 10198 )",666024,"(+/- 9770 )",677023,"(+/- 7968 )",729850,"(+/- 10619 )",685923,"(+/- 12053 )",652097,"(+/- 11871 )",686098,"(+/- 11340 )",692989,"(+/- 14041 )",695580,"(+/- 13507 )",702785,"(+/- 16393 )",675230,"(+/- 11886 )",680751,"(+/- 10796 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",87741,"(+/- 8412 )",68017,"(+/- 5922 )",77869,"(+/- 6725 )",63412,"(+/- 7417 )",63477,"(+/- 7191 )",102915,"(+/- 8364 )",69609,"(+/- 5842 )",95480,"(+/- 7270 )",75094,"(+/- 9007 )",97661,"(+/- 9791 )",77575,"(+/- 7175 )",95672,"(+/- 7487 )"
People,"Residence 1 Year Ago","Different house in the U.S.",84640,"(+/- 8081 )",66167,"(+/- 5771 )",76454,"(+/- 6853 )",61699,"(+/- 7567 )",60660,"(+/- 7314 )",91831,"(+/- 7600 )",66746,"(+/- 5718 )",85858,"(+/- 6991 )",69180,"(+/- 8829 )",90993,"(+/- 9366 )",74509,"(+/- 7153 )",91028,"(+/- 7466 )"
People,"Residence 1 Year Ago","Same county",44885,"(+/- 6871 )",33002,"(+/- 4612 )",34929,"(+/- 5191 )",34943,"(+/- 6355 )",33835,"(+/- 5481 )",38701,"(+/- 5254 )",28248,"(+/- 4485 )",48895,"(+/- 5947 )",35977,"(+/- 6186 )",48819,"(+/- 7469 )",31283,"(+/- 5055 )",40983,"(+/- 6411 )"
People,"Residence 1 Year Ago","Different county",39755,"(+/- 5627 )",33165,"(+/- 4234 )",41525,"(+/- 5278 )",26756,"(+/- 4349 )",26825,"(+/- 3783 )",53130,"(+/- 6509 )",38498,"(+/- 4968 )",36963,"(+/- 4420 )",33203,"(+/- 5808 )",42174,"(+/- 5981 )",43226,"(+/- 5999 )",50045,"(+/- 6033 )"
People,"Residence 1 Year Ago","Same state",23980,"(+/- 4802 )",19363,"(+/- 3450 )",24954,"(+/- 3196 )",16478,"(+/- 3872 )",14151,"(+/- 2630 )",25384,"(+/- 5245 )",27951,"(+/- 4290 )",16547,"(+/- 3383 )",20217,"(+/- 4558 )",21168,"(+/- 4503 )",30393,"(+/- 4493 )",28851,"(+/- 5377 )"
People,"Residence 1 Year Ago","Different state",15775,"(+/- 3779 )",13802,"(+/- 2739 )",16571,"(+/- 4384 )",10278,"(+/- 2139 )",12674,"(+/- 3092 )",27746,"(+/- 4166 )",10547,"(+/- 2395 )",20416,"(+/- 2799 )",12986,"(+/- 3592 )",21006,"(+/- 4222 )",12833,"(+/- 2928 )",21194,"(+/- 3791 )"
People,"Residence 1 Year Ago",Abroad,3101,"(+/- 1960 )",1850,"(+/- 807 )",1415,"(+/- 712 )",1713,"(+/- 760 )",2817,"(+/- 1397 )",11084,"(+/- 3519 )",2863,"(+/- 1200 )",9622,"(+/- 2330 )",5914,"(+/- 2224 )",6668,"(+/- 2553 )",3066,"(+/- 1918 )",4644,"(+/- 1433 )"
Workers,"Employment Status","Population 16 years and over",604250,"(+/- 5360 )",604162,"(+/- 6300 )",633665,"(+/- 5978 )",622093,"(+/- 9022 )",617104,"(+/- 8740 )",622331,"(+/- 7399 )",619971,"(+/- 9272 )",648071,"(+/- 11678 )",626185,"(+/- 9871 )",642615,"(+/- 10735 )",617805,"(+/- 10601 )",631037,"(+/- 6173 )"
Workers,"Employment Status","In labor force",394902,"(+/- 6174 )",361568,"(+/- 7621 )",406260,"(+/- 7216 )",392984,"(+/- 9979 )",412366,"(+/- 8155 )",419691,"(+/- 7530 )",418103,"(+/- 9242 )",448823,"(+/- 9918 )",422123,"(+/- 8700 )",410701,"(+/- 8298 )",415284,"(+/- 8964 )",412030,"(+/- 8358 )"
Workers,"Employment Status","Civilian labor force",394139,"(+/- 6107 )",360246,"(+/- 7768 )",399666,"(+/- 7082 )",392344,"(+/- 9973 )",412366,"(+/- 8155 )",419168,"(+/- 7552 )",417972,"(+/- 9255 )",448342,"(+/- 9902 )",422123,"(+/- 8700 )",410509,"(+/- 8328 )",414940,"(+/- 8982 )",411841,"(+/- 8400 )"
Workers,"Employment Status",Employed,361788,"(+/- 5963 )",331395,"(+/- 8092 )",372457,"(+/- 6574 )",364308,"(+/- 9184 )",381539,"(+/- 8132 )",384859,"(+/- 7359 )",390089,"(+/- 8980 )",411740,"(+/- 10203 )",379104,"(+/- 8891 )",362471,"(+/- 9458 )",386223,"(+/- 8525 )",382546,"(+/- 7817 )"
Workers,"Employment Status",Unemployed,32351,"(+/- 3895 )",28851,"(+/- 3527 )",27209,"(+/- 2865 )",28036,"(+/- 3279 )",30827,"(+/- 3205 )",34309,"(+/- 2985 )",27883,"(+/- 2838 )",36602,"(+/- 3710 )",43019,"(+/- 3831 )",48038,"(+/- 4350 )",28717,"(+/- 3097 )",29295,"(+/- 3369 )"
Workers,"Employment Status","Armed Forces",763,"(+/- 488 )",1322,"(+/- 571 )",6594,"(+/- 1236 )",640,"(+/- 466 )",0,"(+/- 222 )",523,"(+/- 491 )",131,"(+/- 206 )",481,"(+/- 392 )",0,"(+/- 222 )",192,"(+/- 227 )",344,"(+/- 355 )",189,"(+/- 223 )"
Workers,"Employment Status","Not in labor force",209348,"(+/- 6695 )",242594,"(+/- 6636 )",227405,"(+/- 6157 )",229109,"(+/- 7512 )",204738,"(+/- 6668 )",202640,"(+/- 6587 )",201868,"(+/- 6467 )",199248,"(+/- 8821 )",204062,"(+/- 6558 )",231914,"(+/- 8900 )",202521,"(+/- 6016 )",219007,"(+/- 7625 )"
Workers,"Employment Status","Civilian labor force",394139,"(+/- 6107 )",360246,"(+/- 7768 )",399666,"(+/- 7082 )",392344,"(+/- 9973 )",412366,"(+/- 8155 )",419168,"(+/- 7552 )",417972,"(+/- 9255 )",448342,"(+/- 9902 )",422123,"(+/- 8700 )",410509,"(+/- 8328 )",414940,"(+/- 8982 )",411841,"(+/- 8400 )"
Workers,"Employment Status","Unemployment Rate",8.2,"(+/- 1.0 )",8.0,"(+/- 1.0 )",6.8,"(+/- 0.7 )",7.1,"(+/- 0.8 )",7.5,"(+/- 0.8 )",8.2,"(+/- 0.7 )",6.7,"(+/- 0.7 )",8.2,"(+/- 0.8 )",10.2,"(+/- 0.9 )",11.7,"(+/- 1.1 )",6.9,"(+/- 0.7 )",7.1,"(+/- 0.8 )"
Workers,"Commuting to Work","Workers 16 years and over",352052,"(+/- 5901 )",324756,"(+/- 8090 )",370912,"(+/- 6728 )",357959,"(+/- 9407 )",371572,"(+/- 8203 )",374221,"(+/- 7289 )",383866,"(+/- 8762 )",402825,"(+/- 9799 )",372373,"(+/- 8664 )",353951,"(+/- 8998 )",378211,"(+/- 8582 )",371854,"(+/- 7801 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",240764,"(+/- 7784 )",237866,"(+/- 8388 )",272829,"(+/- 7815 )",230691,"(+/- 8175 )",231438,"(+/- 6877 )",222808,"(+/- 6608 )",230327,"(+/- 8088 )",151076,"(+/- 7635 )",218320,"(+/- 7444 )",180740,"(+/- 7973 )",221713,"(+/- 8708 )",203895,"(+/- 7762 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",25905,"(+/- 3234 )",25561,"(+/- 3216 )",25657,"(+/- 4041 )",24489,"(+/- 3666 )",22828,"(+/- 3143 )",29865,"(+/- 3520 )",17508,"(+/- 2236 )",40297,"(+/- 4763 )",35445,"(+/- 4364 )",24463,"(+/- 3384 )",14714,"(+/- 2648 )",28758,"(+/- 3959 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",8725,"(+/- 1870 )",6663,"(+/- 1529 )",3301,"(+/- 1052 )",8583,"(+/- 1784 )",15421,"(+/- 2386 )",18312,"(+/- 2803 )",10252,"(+/- 2221 )",73919,"(+/- 5576 )",29904,"(+/- 3035 )",55410,"(+/- 5401 )",13489,"(+/- 2118 )",15177,"(+/- 2345 )"
Workers,"Commuting to Work",Walked,5306,"(+/- 1630 )",6783,"(+/- 1615 )",3585,"(+/- 1224 )",6315,"(+/- 1777 )",6333,"(+/- 1746 )",10416,"(+/- 1868 )",4377,"(+/- 1176 )",23673,"(+/- 3285 )",14826,"(+/- 2647 )",11779,"(+/- 2424 )",5621,"(+/- 1284 )",6028,"(+/- 1531 )"
Workers,"Commuting to Work","Other means",5052,"(+/- 1328 )",5771,"(+/- 1460 )",4780,"(+/- 1344 )",6457,"(+/- 1816 )",7265,"(+/- 1693 )",14525,"(+/- 2854 )",7192,"(+/- 2236 )",19166,"(+/- 3017 )",9921,"(+/- 2128 )",16196,"(+/- 2677 )",6109,"(+/- 1445 )",12449,"(+/- 2546 )"
Workers,"Commuting to Work","Worked from home",66300,"(+/- 5102 )",42112,"(+/- 3403 )",60760,"(+/- 4363 )",81424,"(+/- 5581 )",88287,"(+/- 5238 )",78295,"(+/- 4661 )",114210,"(+/- 5281 )",94694,"(+/- 5338 )",63957,"(+/- 4906 )",65363,"(+/- 4519 )",116565,"(+/- 5703 )",105547,"(+/- 5490 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",25.5,"(+/- 0.7 )",25.6,"(+/- 0.6 )",27.8,"(+/- 0.8 )",27.6,"(+/- 0.8 )",30.7,"(+/- 0.8 )",29.5,"(+/- 0.8 )",30.0,"(+/- 1.0 )",31.1,"(+/- 0.8 )",27.1,"(+/- 0.8 )",31.7,"(+/- 0.8 )",28.6,"(+/- 0.7 )",28.1,"(+/- 0.9 )"
Workers,Occupation,"Civilian employed population 16 years and over",361788,"(+/- 5963 )",331395,"(+/- 8092 )",372457,"(+/- 6574 )",364308,"(+/- 9184 )",381539,"(+/- 8132 )",384859,"(+/- 7359 )",390089,"(+/- 8980 )",411740,"(+/- 10203 )",379104,"(+/- 8891 )",362471,"(+/- 9458 )",386223,"(+/- 8525 )",382546,"(+/- 7817 )"
Workers,Occupation,"Management, business, science, and arts occupations",157576,"(+/- 5507 )",134492,"(+/- 5547 )",171936,"(+/- 5425 )",186627,"(+/- 7554 )",205201,"(+/- 6584 )",181578,"(+/- 7593 )",222286,"(+/- 6696 )",173347,"(+/- 7145 )",157970,"(+/- 6905 )",142408,"(+/- 6620 )",227226,"(+/- 6616 )",198182,"(+/- 5954 )"
Workers,Occupation,"Service occupations",52767,"(+/- 4060 )",58583,"(+/- 5337 )",49331,"(+/- 3586 )",50810,"(+/- 4423 )",42538,"(+/- 3843 )",48387,"(+/- 4612 )",40139,"(+/- 4045 )",62091,"(+/- 5695 )",56526,"(+/- 5312 )",68190,"(+/- 5557 )",37858,"(+/- 3867 )",50699,"(+/- 4596 )"
Workers,Occupation,"Sales and office occupations",81746,"(+/- 5140 )",69351,"(+/- 4588 )",88645,"(+/- 4824 )",75302,"(+/- 5934 )",77657,"(+/- 4433 )",75058,"(+/- 5271 )",74720,"(+/- 4586 )",76826,"(+/- 5642 )",81610,"(+/- 5154 )",74435,"(+/- 4869 )",76906,"(+/- 4655 )",64633,"(+/- 5428 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",22766,"(+/- 2725 )",30604,"(+/- 3394 )",28286,"(+/- 3114 )",22834,"(+/- 2830 )",26219,"(+/- 3396 )",25040,"(+/- 3220 )",21576,"(+/- 2822 )",40272,"(+/- 4334 )",24318,"(+/- 3354 )",23362,"(+/- 3292 )",19928,"(+/- 2332 )",24140,"(+/- 3182 )"
Workers,Occupation,"Production, transportation, and material moving occupations",46933,"(+/- 3683 )",38365,"(+/- 4323 )",34259,"(+/- 2998 )",28735,"(+/- 3083 )",29924,"(+/- 3191 )",54796,"(+/- 3700 )",31368,"(+/- 3728 )",59204,"(+/- 4466 )",58680,"(+/- 4438 )",54076,"(+/- 5079 )",24305,"(+/- 3033 )",44892,"(+/- 4024 )"
Workers,Industry,"Civilian employed population 16 years and over",361788,"(+/- 5963 )",331395,"(+/- 8092 )",372457,"(+/- 6574 )",364308,"(+/- 9184 )",381539,"(+/- 8132 )",384859,"(+/- 7359 )",390089,"(+/- 8980 )",411740,"(+/- 10203 )",379104,"(+/- 8891 )",362471,"(+/- 9458 )",386223,"(+/- 8525 )",382546,"(+/- 7817 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",787,"(+/- 535 )",3529,"(+/- 1251 )",1493,"(+/- 676 )",1389,"(+/- 655 )",1479,"(+/- 658 )",1448,"(+/- 775 )",2266,"(+/- 968 )",594,"(+/- 530 )",582,"(+/- 465 )",542,"(+/- 379 )",787,"(+/- 386 )",782,"(+/- 391 )"
Workers,Industry,Construction,20852,"(+/- 2720 )",27223,"(+/- 3120 )",24866,"(+/- 2890 )",23566,"(+/- 3249 )",25850,"(+/- 3528 )",20311,"(+/- 2859 )",20965,"(+/- 2818 )",38057,"(+/- 4044 )",18841,"(+/- 2748 )",18222,"(+/- 2736 )",20384,"(+/- 2408 )",19899,"(+/- 3125 )"
Workers,Industry,Manufacturing,26671,"(+/- 2933 )",26059,"(+/- 3954 )",22405,"(+/- 2490 )",18674,"(+/- 2254 )",30382,"(+/- 2952 )",32367,"(+/- 3153 )",44859,"(+/- 3310 )",31900,"(+/- 3509 )",42050,"(+/- 3799 )",24248,"(+/- 3209 )",34956,"(+/- 2669 )",35390,"(+/- 3614 )"
Workers,Industry,"Wholesale trade",8459,"(+/- 1561 )",8401,"(+/- 1755 )",10107,"(+/- 2197 )",9024,"(+/- 1885 )",14233,"(+/- 1936 )",11952,"(+/- 1801 )",11111,"(+/- 1695 )",12257,"(+/- 2172 )",14121,"(+/- 2146 )",8843,"(+/- 1751 )",10238,"(+/- 1933 )",10471,"(+/- 2048 )"
Workers,Industry,"Retail trade",46931,"(+/- 4284 )",36677,"(+/- 3281 )",49139,"(+/- 4111 )",35855,"(+/- 3740 )",39139,"(+/- 3718 )",45516,"(+/- 4131 )",41287,"(+/- 3980 )",42616,"(+/- 4408 )",47210,"(+/- 4939 )",37447,"(+/- 3977 )",37126,"(+/- 2965 )",39530,"(+/- 4604 )"
Workers,Industry,"Transportation and warehousing, and utilities",24945,"(+/- 2526 )",19195,"(+/- 2497 )",20150,"(+/- 2305 )",18310,"(+/- 2375 )",15946,"(+/- 2302 )",29745,"(+/- 3518 )",20150,"(+/- 2717 )",35230,"(+/- 3921 )",30417,"(+/- 3511 )",39078,"(+/- 4888 )",15686,"(+/- 2105 )",22032,"(+/- 2967 )"
Workers,Industry,Information,6786,"(+/- 1196 )",5117,"(+/- 1695 )",8698,"(+/- 1778 )",8328,"(+/- 1614 )",11716,"(+/- 1854 )",12468,"(+/- 2193 )",14015,"(+/- 2292 )",12699,"(+/- 1946 )",9292,"(+/- 1615 )",10158,"(+/- 1871 )",11806,"(+/- 1443 )",10816,"(+/- 2012 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",29950,"(+/- 3055 )",21505,"(+/- 2631 )",27423,"(+/- 2863 )",34541,"(+/- 3660 )",35101,"(+/- 3352 )",35360,"(+/- 2953 )",42127,"(+/- 3371 )",40072,"(+/- 3776 )",27895,"(+/- 3217 )",27202,"(+/- 2675 )",44620,"(+/- 3541 )",35546,"(+/- 3800 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",45927,"(+/- 3245 )",30817,"(+/- 3511 )",46270,"(+/- 3959 )",54170,"(+/- 4269 )",57154,"(+/- 3930 )",57246,"(+/- 4455 )",60092,"(+/- 3341 )",66170,"(+/- 5144 )",51622,"(+/- 4126 )",43630,"(+/- 4198 )",64965,"(+/- 4376 )",62571,"(+/- 4214 )"
Workers,Industry,"Educational services, and health care and social assistance",90376,"(+/- 5123 )",89534,"(+/- 5535 )",99123,"(+/- 5162 )",101733,"(+/- 6147 )",95970,"(+/- 5042 )",89421,"(+/- 5058 )",83134,"(+/- 4884 )",75786,"(+/- 5476 )",78981,"(+/- 5285 )",91275,"(+/- 6118 )",97350,"(+/- 4970 )",92107,"(+/- 5259 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",24800,"(+/- 2599 )",34160,"(+/- 3135 )",26347,"(+/- 3107 )",24745,"(+/- 3053 )",20698,"(+/- 2494 )",18705,"(+/- 2346 )",21455,"(+/- 2545 )",28872,"(+/- 3865 )",29286,"(+/- 3370 )",23448,"(+/- 3128 )",20162,"(+/- 2897 )",21849,"(+/- 3446 )"
Workers,Industry,"Other services, except public administration",14762,"(+/- 1924 )",11074,"(+/- 1953 )",12770,"(+/- 1933 )",14009,"(+/- 2086 )",17559,"(+/- 2002 )",15346,"(+/- 2373 )",14126,"(+/- 1874 )",17498,"(+/- 2625 )",14858,"(+/- 2476 )",20522,"(+/- 2727 )",15619,"(+/- 2377 )",14596,"(+/- 2179 )"
Workers,Industry,"Public administration",20542,"(+/- 2430 )",18104,"(+/- 2370 )",23666,"(+/- 2740 )",19964,"(+/- 2367 )",16312,"(+/- 2306 )",14974,"(+/- 2231 )",14502,"(+/- 2115 )",9989,"(+/- 1947 )",13949,"(+/- 2246 )",17856,"(+/- 2271 )",12524,"(+/- 2018 )",16957,"(+/- 2560 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",361788,"(+/- 5963 )",331395,"(+/- 8092 )",372457,"(+/- 6574 )",364308,"(+/- 9184 )",381539,"(+/- 8132 )",384859,"(+/- 7359 )",390089,"(+/- 8980 )",411740,"(+/- 10203 )",379104,"(+/- 8891 )",362471,"(+/- 9458 )",386223,"(+/- 8525 )",382546,"(+/- 7817 )"
Workers,"Class of Worker","Private wage and salary workers",291104,"(+/- 6535 )",252875,"(+/- 8499 )",286452,"(+/- 7853 )",285883,"(+/- 8789 )",301675,"(+/- 7856 )",315356,"(+/- 7734 )",316287,"(+/- 8804 )",353468,"(+/- 8857 )",314895,"(+/- 8133 )",285074,"(+/- 9933 )",307231,"(+/- 8188 )",310485,"(+/- 6839 )"
Workers,"Class of Worker","Government workers",55555,"(+/- 4111 )",61074,"(+/- 4440 )",67452,"(+/- 4841 )",60288,"(+/- 4837 )",59960,"(+/- 4409 )",53435,"(+/- 4207 )",52515,"(+/- 4425 )",38001,"(+/- 3743 )",43424,"(+/- 3551 )",58047,"(+/- 4230 )",56714,"(+/- 4355 )",53154,"(+/- 4140 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",14160,"(+/- 2008 )",16932,"(+/- 2593 )",18371,"(+/- 2305 )",17208,"(+/- 2842 )",19005,"(+/- 2748 )",15292,"(+/- 2674 )",20720,"(+/- 2668 )",20024,"(+/- 3374 )",20175,"(+/- 2874 )",18599,"(+/- 2870 )",22069,"(+/- 2360 )",18186,"(+/- 2737 )"
Workers,"Class of Worker","Unpaid family workers",969,"(+/- 689 )",514,"(+/- 357 )",182,"(+/- 180 )",929,"(+/- 816 )",899,"(+/- 647 )",776,"(+/- 520 )",567,"(+/- 414 )",247,"(+/- 206 )",610,"(+/- 384 )",751,"(+/- 592 )",209,"(+/- 245 )",721,"(+/- 450 )"
Housing,"Housing Occupancy","Total housing units",306151,"(+/- 2615 )",395381,"(+/- 4302 )",328599,"(+/- 4020 )",316086,"(+/- 4836 )",287743,"(+/- 4156 )",287972,"(+/- 4023 )",292683,"(+/- 4596 )",347294,"(+/- 5089 )",300217,"(+/- 5067 )",324574,"(+/- 5223 )",294344,"(+/- 4334 )",298547,"(+/- 3903 )"
Housing,"Housing Occupancy","Occupied housing units",290002,"(+/- 3490 )",296210,"(+/- 4806 )",293063,"(+/- 4530 )",295511,"(+/- 5029 )",275729,"(+/- 4339 )",274155,"(+/- 4099 )",286558,"(+/- 4495 )",323028,"(+/- 5117 )",283783,"(+/- 5267 )",306975,"(+/- 5319 )",285434,"(+/- 4700 )",287497,"(+/- 4330 )"
Housing,"Housing Occupancy","Vacant housing units",16149,"(+/- 2366 )",99171,"(+/- 3613 )",35536,"(+/- 2825 )",20575,"(+/- 3024 )",12014,"(+/- 2262 )",13817,"(+/- 2218 )",6125,"(+/- 1525 )",24266,"(+/- 2687 )",16434,"(+/- 2660 )",17599,"(+/- 2669 )",8910,"(+/- 2078 )",11050,"(+/- 2329 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.6,"(+/- 0.3 )",1.0,"(+/- 0.4 )",0.8,"(+/- 0.3 )",0.7,"(+/- 0.3 )",0.8,"(+/- 0.3 )",0.5,"(+/- 0.4 )",0.4,"(+/- 0.3 )",0.5,"(+/- 0.3 )",1.3,"(+/- 0.7 )",0.6,"(+/- 0.4 )",0.5,"(+/- 0.3 )",0.4,"(+/- 0.2 )"
Housing,"Housing Occupancy","Rental vacancy rate",3.9,"(+/- 1.3 )",5.5,"(+/- 1.4 )",3.1,"(+/- 1.5 )",1.9,"(+/- 1.0 )",3.3,"(+/- 1.5 )",2.6,"(+/- 1.1 )",1.3,"(+/- 0.9 )",4.8,"(+/- 1.0 )",3.9,"(+/- 1.2 )",3.6,"(+/- 0.9 )",3.7,"(+/- 1.7 )",1.6,"(+/- 0.7 )"
Housing,"Housing Tenure","Occupied housing units",290002,"(+/- 3490 )",296210,"(+/- 4806 )",293063,"(+/- 4530 )",295511,"(+/- 5029 )",275729,"(+/- 4339 )",274155,"(+/- 4099 )",286558,"(+/- 4495 )",323028,"(+/- 5117 )",283783,"(+/- 5267 )",306975,"(+/- 5319 )",285434,"(+/- 4700 )",287497,"(+/- 4330 )"
Housing,"Housing Tenure",Owner-occupied,198649,"(+/- 4218 )",214798,"(+/- 5807 )",238130,"(+/- 5071 )",227385,"(+/- 5310 )",215967,"(+/- 4885 )",172676,"(+/- 4411 )",226798,"(+/- 4027 )",95497,"(+/- 4924 )",136156,"(+/- 5608 )",117329,"(+/- 4559 )",220913,"(+/- 4893 )",188676,"(+/- 4508 )"
Housing,"Housing Tenure",Renter-occupied,91353,"(+/- 4634 )",81412,"(+/- 4877 )",54933,"(+/- 3459 )",68126,"(+/- 4666 )",59762,"(+/- 3669 )",101479,"(+/- 4212 )",59760,"(+/- 3615 )",227531,"(+/- 6116 )",147627,"(+/- 5683 )",189646,"(+/- 6053 )",64521,"(+/- 3406 )",98821,"(+/- 4802 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.69,"(+/- 0.04 )",2.50,"(+/- 0.04 )",2.62,"(+/- 0.04 )",2.75,"(+/- 0.06 )",2.82,"(+/- 0.04 )",2.82,"(+/- 0.05 )",2.73,"(+/- 0.04 )",2.59,"(+/- 0.07 )",2.90,"(+/- 0.08 )",2.94,"(+/- 0.08 )",2.76,"(+/- 0.04 )",2.74,"(+/- 0.06 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.23,"(+/- 0.08 )",2.19,"(+/- 0.08 )",2.27,"(+/- 0.11 )",2.52,"(+/- 0.13 )",2.27,"(+/- 0.10 )",2.48,"(+/- 0.08 )",2.19,"(+/- 0.09 )",2.38,"(+/- 0.05 )",2.57,"(+/- 0.07 )",2.33,"(+/- 0.06 )",2.08,"(+/- 0.09 )",2.46,"(+/- 0.10 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",290002,"(+/- 3490 )",296210,"(+/- 4806 )",293063,"(+/- 4530 )",295511,"(+/- 5029 )",275729,"(+/- 4339 )",274155,"(+/- 4099 )",286558,"(+/- 4495 )",323028,"(+/- 5117 )",283783,"(+/- 5267 )",306975,"(+/- 5319 )",285434,"(+/- 4700 )",287497,"(+/- 4330 )"
Housing,"Year Householder Moved into Unit","Moved in 2019 or later",68663,"(+/- 4041 )",64804,"(+/- 4043 )",60303,"(+/- 4197 )",59112,"(+/- 4986 )",50566,"(+/- 3527 )",69142,"(+/- 3908 )",58098,"(+/- 3863 )",107570,"(+/- 5225 )",70380,"(+/- 4768 )",84998,"(+/- 5195 )",59264,"(+/- 3458 )",66644,"(+/- 4901 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2018",62107,"(+/- 4703 )",59989,"(+/- 3901 )",60268,"(+/- 3860 )",61354,"(+/- 3891 )",53740,"(+/- 3393 )",59849,"(+/- 4009 )",54896,"(+/- 3459 )",79184,"(+/- 4744 )",64380,"(+/- 4557 )",81731,"(+/- 4760 )",56638,"(+/- 3180 )",60355,"(+/- 4745 )"
