Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
Housing,Value,"$100,000 to $149,999",13660,"(+/- 2286 )",10355,"(+/- 1756 )",8225,"(+/- 1553 )",3951,"(+/- 1343 )",11336,"(+/- 1628 )"
Housing,Value,"$150,000 to $199,999",29827,"(+/- 2712 )",23152,"(+/- 2246 )",20608,"(+/- 2497 )",5234,"(+/- 1175 )",27055,"(+/- 2964 )"
Housing,Value,"$200,000 to $299,999",67174,"(+/- 3709 )",63427,"(+/- 3692 )",57271,"(+/- 3758 )",17661,"(+/- 2593 )",45605,"(+/- 3047 )"
Housing,Value,"$300,000 to $499,999",59058,"(+/- 3255 )",68509,"(+/- 3497 )",60627,"(+/- 3554 )",48466,"(+/- 3263 )",70537,"(+/- 3590 )"
Housing,Value,"$500,000 to $999,999",13067,"(+/- 1586 )",20726,"(+/- 1973 )",18053,"(+/- 1845 )",60951,"(+/- 3264 )",27535,"(+/- 2029 )"
Housing,Value,"$1,000,000 or more",1630,"(+/- 668 )",3482,"(+/- 991 )",2646,"(+/- 850 )",37315,"(+/- 2051 )",5462,"(+/- 953 )"
Housing,Value,"Median (dollars)",263100,"(+/- 5151 )",288200,"(+/- 4678 )",289100,"(+/- 4865 )",549100,"(+/- 18684 )",311400,"(+/- 7517 )"
Housing,"Mortgage Status","Owner-occupied units",194873,"(+/- 5280 )",201485,"(+/- 4510 )",176466,"(+/- 4687 )",181328,"(+/- 4405 )",197364,"(+/- 5158 )"
Housing,"Mortgage Status","Housing units with a mortgage",126182,"(+/- 4773 )",130884,"(+/- 4597 )",114957,"(+/- 4704 )",122269,"(+/- 3861 )",126655,"(+/- 4439 )"
Housing,"Mortgage Status","Housing units without a mortgage",68691,"(+/- 3720 )",70601,"(+/- 3252 )",61509,"(+/- 3758 )",59059,"(+/- 3470 )",70709,"(+/- 3955 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",126182,"(+/- 4773 )",130884,"(+/- 4597 )",114957,"(+/- 4704 )",122269,"(+/- 3861 )",126655,"(+/- 4439 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1064,"(+/- 651 )",706,"(+/- 370 )",565,"(+/- 566 )",693,"(+/- 539 )",732,"(+/- 482 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",5787,"(+/- 1347 )",5710,"(+/- 1221 )",3620,"(+/- 890 )",2354,"(+/- 865 )",4131,"(+/- 1063 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",26608,"(+/- 2925 )",26326,"(+/- 2653 )",18936,"(+/- 2355 )",8477,"(+/- 1517 )",20417,"(+/- 2442 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",39415,"(+/- 3010 )",41293,"(+/- 2855 )",30960,"(+/- 2611 )",15285,"(+/- 2361 )",36010,"(+/- 3112 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",26942,"(+/- 2602 )",26623,"(+/- 2637 )",26532,"(+/- 2912 )",19910,"(+/- 2541 )",28102,"(+/- 3009 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",12205,"(+/- 1801 )",13669,"(+/- 2011 )",16695,"(+/- 2353 )",16063,"(+/- 1828 )",16310,"(+/- 2273 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",14161,"(+/- 1682 )",16557,"(+/- 2045 )",17649,"(+/- 2010 )",59487,"(+/- 2835 )",20953,"(+/- 1946 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1864,"(+/- 39 )",1893,"(+/- 35 )",2064,"(+/- 51 )",2949,"(+/- 73 )",2036,"(+/- 58 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",68691,"(+/- 3720 )",70601,"(+/- 3252 )",61509,"(+/- 3758 )",59059,"(+/- 3470 )",70709,"(+/- 3955 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",1360,"(+/- 517 )",1286,"(+/- 453 )",760,"(+/- 428 )",649,"(+/- 339 )",1083,"(+/- 581 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",2206,"(+/- 718 )",2468,"(+/- 1065 )",2440,"(+/- 799 )",807,"(+/- 394 )",1960,"(+/- 661 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",6576,"(+/- 1114 )",11050,"(+/- 1306 )",4677,"(+/- 1021 )",1980,"(+/- 660 )",7549,"(+/- 1331 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",17293,"(+/- 2074 )",18938,"(+/- 2041 )",11923,"(+/- 1739 )",5466,"(+/- 1051 )",16185,"(+/- 2313 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",19332,"(+/- 2304 )",16630,"(+/- 1959 )",15868,"(+/- 2144 )",9242,"(+/- 1587 )",13721,"(+/- 1956 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",21924,"(+/- 2079 )",20229,"(+/- 2109 )",25841,"(+/- 2089 )",40915,"(+/- 2658 )",30211,"(+/- 2811 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",868,"(+/- 19 )",816,"(+/- 19 )",943,"(+/- 18 )",1272,"(+/- 47 )",918,"(+/- 37 )"
Housing,"Gross Rent","Occupied units paying rent",93313,"(+/- 4549 )",77675,"(+/- 3609 )",109298,"(+/- 5053 )",93786,"(+/- 4303 )",85067,"(+/- 3882 )"
Housing,"Gross Rent","Less than $500",7910,"(+/- 1343 )",8016,"(+/- 1510 )",8839,"(+/- 1859 )",8389,"(+/- 1634 )",9935,"(+/- 1759 )"
Housing,"Gross Rent","$500 to $999",18583,"(+/- 2801 )",18527,"(+/- 2330 )",17792,"(+/- 2422 )",9489,"(+/- 1925 )",20794,"(+/- 3067 )"
Housing,"Gross Rent","$1,000 to $1,499",39755,"(+/- 3445 )",33691,"(+/- 3506 )",48104,"(+/- 3995 )",22705,"(+/- 2689 )",30783,"(+/- 3318 )"
Housing,"Gross Rent","$1,500 to $1,999",21099,"(+/- 2747 )",11785,"(+/- 1957 )",23534,"(+/- 2659 )",21092,"(+/- 3086 )",14077,"(+/- 1741 )"
Housing,"Gross Rent","$2,000 to $2,499",3310,"(+/- 1161 )",4552,"(+/- 1501 )",7101,"(+/- 1626 )",15849,"(+/- 1793 )",6194,"(+/- 1511 )"
Housing,"Gross Rent","$2,500 to $2,999",1245,"(+/- 537 )",242,"(+/- 289 )",1904,"(+/- 799 )",6289,"(+/- 1230 )",1436,"(+/- 728 )"
Housing,"Gross Rent","$3,000 or more",1411,"(+/- 521 )",862,"(+/- 478 )",2024,"(+/- 569 )",9973,"(+/- 1655 )",1848,"(+/- 622 )"
Housing,"Gross Rent","Median (dollars)",1220,"(+/- 29 )",1177,"(+/- 32 )",1299,"(+/- 32 )",1650,"(+/- 61 )",1172,"(+/- 39 )"
Housing,"Gross Rent","No rent paid",3381,"(+/- 1064 )",3691,"(+/- 1024 )",3779,"(+/- 1249 )",3006,"(+/- 1150 )",3801,"(+/- 978 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Total households",291567,"(+/- 4192 )",282851,"(+/- 3697 )",289543,"(+/- 4786 )",278120,"(+/- 4013 )",286232,"(+/- 5440 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Less than $10,000",16156,"(+/- 2321 )",12379,"(+/- 1785 )",17184,"(+/- 2049 )",14613,"(+/- 2246 )",14241,"(+/- 2132 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$10,000 to $14,999",10408,"(+/- 1920 )",8174,"(+/- 1640 )",10383,"(+/- 2011 )",9128,"(+/- 1796 )",8601,"(+/- 1622 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$15,000 to $24,999",19510,"(+/- 2397 )",18936,"(+/- 2833 )",18631,"(+/- 2842 )",15564,"(+/- 1919 )",22834,"(+/- 2834 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$25,000 to $34,999",18850,"(+/- 2469 )",21765,"(+/- 2717 )",21257,"(+/- 3150 )",14206,"(+/- 1983 )",17407,"(+/- 2215 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$35,000 to $49,999",26546,"(+/- 2738 )",24379,"(+/- 2712 )",27914,"(+/- 3194 )",23476,"(+/- 3022 )",30620,"(+/- 3475 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$50,000 to $74,999",47129,"(+/- 3407 )",43717,"(+/- 3274 )",45188,"(+/- 3948 )",30896,"(+/- 3335 )",41965,"(+/- 2952 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$75,000 to $99,999",36799,"(+/- 2878 )",35169,"(+/- 2795 )",36882,"(+/- 3380 )",27761,"(+/- 2909 )",31391,"(+/- 2992 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$100,000 to $149,999",53126,"(+/- 3659 )",55138,"(+/- 3693 )",52753,"(+/- 3708 )",43055,"(+/- 2945 )",51551,"(+/- 3798 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$150,000 to $199,000",31090,"(+/- 2556 )",30151,"(+/- 3061 )",29137,"(+/- 2811 )",27675,"(+/- 2254 )",26383,"(+/- 2518 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$200,000 or more",31953,"(+/- 2465 )",33043,"(+/- 2626 )",30214,"(+/- 2678 )",71746,"(+/- 3286 )",41239,"(+/- 3112 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Median household income (dollars)",79242,"(+/- 2624 )",83056,"(+/- 2869 )",77543,"(+/- 3202 )",102517,"(+/- 2939 )",80396,"(+/- 3471 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Mean household income (dollars)",103422,"(+/- 2565 )",107346,"(+/- 2904 )",103052,"(+/- 3434 )",171286,"(+/- 5290 )",116747,"(+/- 4286 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",708167,"(+/- 7433 )",686750,"(+/- 5615 )",705995,"(+/- 8029 )",740894,"(+/- 6642 )",715720,"(+/- 10999 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",675587,"(+/- 8538 )",658552,"(+/- 6768 )",672036,"(+/- 8281 )",690484,"(+/- 9481 )",677336,"(+/- 10230 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",479670,"(+/- 12278 )",497796,"(+/- 11577 )",479799,"(+/- 12828 )",518986,"(+/- 12899 )",485330,"(+/- 10998 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",282893,"(+/- 11608 )",258072,"(+/- 8450 )",271013,"(+/- 11163 )",244907,"(+/- 9822 )",282745,"(+/- 11111 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",32580,"(+/- 3893 )",28198,"(+/- 4207 )",33959,"(+/- 4189 )",50410,"(+/- 6278 )",38384,"(+/- 4767 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",150507,"(+/- 5065 )",143810,"(+/- 3751 )",146911,"(+/- 5468 )",173578,"(+/- 4817 )",160590,"(+/- 8352 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",3283,"(+/- 1436 )",4552,"(+/- 1779 )",2207,"(+/- 876 )",4006,"(+/- 1555 )",4574,"(+/- 1393 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",6.5,"(+/- 1.1 )",6.2,"(+/- 1.1 )",6.5,"(+/- 1.2 )",6.4,"(+/- 1.0 )",7.6,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",10.1,"(+/- 1.9 )",10.9,"(+/- 2.2 )",10.3,"(+/- 2.3 )",10.3,"(+/- 2.0 )",11.8,"(+/- 2.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",11.5,"(+/- 4.4 )",6.8,"(+/- 3.8 )",6.7,"(+/- 5.4 )",6.4,"(+/- 3.5 )",6.5,"(+/- 3.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",2.9,"(+/- 0.8 )",1.9,"(+/- 0.7 )",3.4,"(+/- 0.9 )",2.6,"(+/- 0.8 )",3.4,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",3.6,"(+/- 1.5 )",2.8,"(+/- 1.6 )",4.9,"(+/- 2.1 )",3.6,"(+/- 1.4 )",4.4,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",3.5,"(+/- 5.2 )",2.1,"(+/- 2.0 )",7.1,"(+/- 7.2 )",3.3,"(+/- 2.8 )",1.9,"(+/- 1.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",16.6,"(+/- 4.1 )",24.1,"(+/- 4.6 )",13.2,"(+/- 2.8 )",19.0,"(+/- 3.8 )",19.4,"(+/- 3.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",21.3,"(+/- 5.3 )",31.3,"(+/- 6.6 )",19.9,"(+/- 5.5 )",26.6,"(+/- 6.7 )",26.5,"(+/- 5.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",26.4,"(+/- 11.6 )",28.4,"(+/- 19.4 )",5.9,"(+/- 8.4 )",16.5,"(+/- 14.4 )",17.1,"(+/- 12.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",10.0,"(+/- 1.1 )",9.9,"(+/- 1.0 )",11.2,"(+/- 1.2 )",9.1,"(+/- 1.1 )",10.4,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",12.4,"(+/- 2.4 )",13.1,"(+/- 2.7 )",12.5,"(+/- 3.0 )",12.1,"(+/- 2.4 )",13.8,"(+/- 2.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",12.1,"(+/- 2.4 )",12.5,"(+/- 2.7 )",12.4,"(+/- 3.0 )",11.7,"(+/- 2.4 )",13.4,"(+/- 2.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",14.4,"(+/- 4.2 )",11.7,"(+/- 3.9 )",12.9,"(+/- 5.2 )",12.7,"(+/- 3.9 )",15.6,"(+/- 4.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",11.4,"(+/- 2.4 )",12.7,"(+/- 2.9 )",12.2,"(+/- 3.0 )",11.3,"(+/- 2.5 )",12.7,"(+/- 2.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",9.4,"(+/- 1.0 )",9.1,"(+/- 0.8 )",10.8,"(+/- 1.1 )",8.3,"(+/- 0.9 )",9.5,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",10.4,"(+/- 1.5 )",7.1,"(+/- 1.0 )",8.6,"(+/- 1.4 )",8.5,"(+/- 1.4 )",8.1,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",6.9,"(+/- 1.2 )",6.5,"(+/- 1.1 )",7.2,"(+/- 1.3 )",6.7,"(+/- 1.2 )",8.1,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",21.7,"(+/- 2.0 )",21.5,"(+/- 2.4 )",24.6,"(+/- 2.4 )",20.6,"(+/- 2.4 )",19.7,"(+/- 2.0 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",167934,"(+/- 6036 )",169121,"(+/- 4710 )",181132,"(+/- 6533 )",189204,"(+/- 6612 )",167169,"(+/- 8055 )"
Education,"School Enrollment","Nursery school, preschool",9083,"(+/- 1374 )",7314,"(+/- 1105 )",8515,"(+/- 1665 )",11968,"(+/- 1960 )",10652,"(+/- 1661 )"
Education,"School Enrollment",Kindergarten,9053,"(+/- 1931 )",6275,"(+/- 1556 )",6860,"(+/- 1571 )",8765,"(+/- 1635 )",6767,"(+/- 1451 )"
Education,"School Enrollment","Elementary school (grades 1-8)",61744,"(+/- 3240 )",59405,"(+/- 3050 )",60292,"(+/- 3780 )",74923,"(+/- 3640 )",68872,"(+/- 4946 )"
Education,"School Enrollment","High school (grades 9-12)",40157,"(+/- 2665 )",35724,"(+/- 2706 )",36261,"(+/- 2779 )",40552,"(+/- 2376 )",40991,"(+/- 3765 )"
Education,"School Enrollment","College or graduate school",47897,"(+/- 3789 )",60403,"(+/- 3715 )",69204,"(+/- 3784 )",52996,"(+/- 4416 )",39887,"(+/- 3377 )"
Education,"Educational Attainment","Population 25 years and over",509460,"(+/- 6236 )",494976,"(+/- 4516 )",497638,"(+/- 6526 )",516908,"(+/- 4858 )",515394,"(+/- 8743 )"
Education,"Educational Attainment","Less than 9th grade",22045,"(+/- 3227 )",11765,"(+/- 1834 )",21913,"(+/- 3310 )",28303,"(+/- 4029 )",24412,"(+/- 3975 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",25365,"(+/- 2890 )",21829,"(+/- 2487 )",21816,"(+/- 2979 )",18346,"(+/- 2387 )",29397,"(+/- 3548 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",137696,"(+/- 6144 )",137262,"(+/- 6341 )",138730,"(+/- 6900 )",101635,"(+/- 5476 )",131453,"(+/- 6841 )"
Education,"Educational Attainment","Some college, no degree",84992,"(+/- 5453 )",91427,"(+/- 5195 )",74941,"(+/- 4823 )",67300,"(+/- 4829 )",88008,"(+/- 5988 )"
Education,"Educational Attainment","Associate's degree",39940,"(+/- 3255 )",43788,"(+/- 3147 )",37469,"(+/- 3731 )",28865,"(+/- 3230 )",38008,"(+/- 3308 )"
Education,"Educational Attainment","Bachelor's degree",112992,"(+/- 5302 )",106912,"(+/- 5182 )",107264,"(+/- 6078 )",150635,"(+/- 5537 )",109887,"(+/- 4816 )"
Education,"Educational Attainment","Graduate or professional degree",86430,"(+/- 4387 )",81993,"(+/- 4405 )",95505,"(+/- 5628 )",121824,"(+/- 5566 )",94229,"(+/- 4794 )"
Education,"Educational Attainment","Percent high school graduate or higher",90.7,"(+/- 0.8 )",93.2,"(+/- 0.6 )",91.2,"(+/- 0.8 )",91.0,"(+/- 0.9 )",89.6,"(+/- 0.9 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",39.1,"(+/- 1.1 )",38.2,"(+/- 1.4 )",40.7,"(+/- 1.4 )",52.7,"(+/- 1.3 )",39.6,"(+/- 1.4 )"

"Source: 2021 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag","District 04 Estimate","District 04 Flag","District 05 Estimate","District 05 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",389201,G,213110,G,321314,G,331242,G,265224,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",16,J,65,H,17,J,127,H,92,H
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",84,J,189,J,113,J,33,J,277,G
Business,"Paid employees for pay period including March 12",Utilities,2710,J,1672,J,1602,J,945,J,672,J
Business,"Paid employees for pay period including March 12",Construction,14459,G,8030,G,12507,G,9279,G,14379,G
Business,"Paid employees for pay period including March 12",Manufacturing,46010,G,30592,H,36671,G,15679,G,30922,G
Business,"Paid employees for pay period including March 12","Wholesale trade",17705,G,8657,G,14019,G,18358,G,8114,G
Business,"Paid employees for pay period including March 12","Retail trade",40324,G,33547,G,34168,G,36116,G,38088,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",17243,G,8585,G,12106,G,6196,G,6254,G
Business,"Paid employees for pay period including March 12",Information,11326,H,3048,G,4425,G,13735,H,5439,G
Business,"Paid employees for pay period including March 12","Finance and insurance",45097,H,6317,G,10464,G,28217,G,17156,H
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",4681,G,1554,G,4592,G,4633,G,4619,H
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",26936,G,11615,G,19729,G,34190,G,12765,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",5307,G,563,G,8323,G,12660,G,6858,G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",22431,G,5539,G,12775,G,23619,G,12583,G
Business,"Paid employees for pay period including March 12","Educational services",10766,G,5061,H,41233,H,14360,G,7971,G
Business,"Paid employees for pay period including March 12","Health care and social assistance",72514,G,37648,G,67639,H,58242,G,61278,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",6164,G,4123,G,4533,G,11123,G,4648,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",30486,G,38361,G,24856,G,29863,G,22038,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",14918,G,7937,G,11530,G,13814,G,11053,G
Business,"Paid employees for pay period including March 12","Industries not classified",24,J,7,J,12,G,53,G,18,J
Business,"Annual payroll ($1,000)","Total for all sectors",24929678,G,10591892,G,18833513,G,29120874,G,14470195,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",446,H,1610,G,392,G,7847,J,2014,H
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",11960,H,12577,H,5294,J,3438,H,20227,H
Business,"Annual payroll ($1,000)",Utilities,369894,J,233410,J,195599,J,115998,H,95952,J
Business,"Annual payroll ($1,000)",Construction,1097890,G,555364,G,900931,G,694831,G,1023355,G
Business,"Annual payroll ($1,000)",Manufacturing,3659544,H,2397629,H,2745286,G,1278959,G,2185606,G
Business,"Annual payroll ($1,000)","Wholesale trade",1246505,G,591173,G,1296981,G,1929492,G,577885,G
Business,"Annual payroll ($1,000)","Retail trade",1240985,G,1016046,G,1059439,G,1378042,G,1155911,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",739593,G,339570,G,490225,G,407517,G,263068,G
Business,"Annual payroll ($1,000)",Information,1297916,H,198590,H,403098,G,1722666,H,534067,H
Business,"Annual payroll ($1,000)","Finance and insurance",6133972,H,528203,H,970224,G,7915808,G,1603167,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",242780,G,74571,G,187686,G,412050,G,284757,H
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",2196997,G,1248495,H,2046729,G,3975290,G,1031067,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",500187,G,37839,G,805024,G,2457595,G,812738,G
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",885532,G,219204,G,475430,G,1534273,G,548522,G
Business,"Annual payroll ($1,000)","Educational services",388461,G,193258,H,2485154,H,613103,G,323933,G
Business,"Annual payroll ($1,000)","Health care and social assistance",3768427,G,1728777,G,3908890,H,3231855,G,3183743,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",98799,G,96520,G,69562,G,342385,G,91584,G
Business,"Annual payroll ($1,000)","Accommodation and food services",507886,G,892315,H,415247,G,614748,G,382125,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",541660,G,226402,G,371991,G,481093,G,350074,G
Business,"Annual payroll ($1,000)","Industries not classified",244,G,339,H,331,H,3884,G,400,J
Business,"Total Establishments","Total for all sectors",18377,X,14190,X,16233,X,21391,X,17248,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",6,X,22,X,6,X,13,X,27,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",9,X,22,X,6,X,6,X,15,X
Business,"Total Establishments",Utilities,42,X,28,X,33,X,28,X,24,X
Business,"Total Establishments",Construction,1466,X,1475,X,1510,X,1641,X,1784,X
Business,"Total Establishments",Manufacturing,948,X,600,X,826,X,531,X,904,X
Business,"Total Establishments","Wholesale trade",861,X,489,X,802,X,875,X,691,X
Business,"Total Establishments","Retail trade",2357,X,2280,X,2101,X,2461,X,2527,X
Business,"Total Establishments","Transportation and warehousing",453,X,297,X,355,X,335,X,291,X
Business,"Total Establishments",Information,387,X,248,X,301,X,494,X,325,X
Business,"Total Establishments","Finance and insurance",1269,X,664,X,789,X,1854,X,996,X
Business,"Total Establishments","Real estate and rental and leasing",698,X,477,X,605,X,975,X,622,X
Business,"Total Establishments","Professional, scientific, and technical services",1726,X,1191,X,1552,X,2802,X,1512,X
Business,"Total Establishments","Management of companies and enterprises",157,X,40,X,94,X,240,X,143,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",1046,X,815,X,877,X,1498,X,1061,X
Business,"Total Establishments","Educational services",238,X,212,X,281,X,471,X,281,X
Business,"Total Establishments","Health care and social assistance",2484,X,1900,X,2181,X,2566,X,2315,X
Business,"Total Establishments","Arts, entertainment, and recreation",313,X,316,X,265,X,534,X,339,X
Business,"Total Establishments","Accommodation and food services",1834,X,1588,X,1771,X,1962,X,1622,X
Business,"Total Establishments","Other services (except public administration)",2066,X,1515,X,1866,X,2061,X,1752,X
Business,"Total Establishments","Industries not classified",17,X,11,X,12,X,44,X,17,X

"Source: 2020 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
