Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",16.0,"(+/- 8.6 )",24.6,"(+/- 9.6 )",21.9,"(+/- 8.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",7.8,"(+/- 1.7 )",9.8,"(+/- 1.9 )",6.6,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",11.2,"(+/- 3.1 )",12.9,"(+/- 3.8 )",8.9,"(+/- 2.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",5.9,"(+/- 5.7 )",16.3,"(+/- 11.3 )",3.9,"(+/- 3.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",25.0,"(+/- 5.1 )",39.7,"(+/- 4.6 )",31.3,"(+/- 5.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",34.3,"(+/- 6.8 )",46.7,"(+/- 5.9 )",38.0,"(+/- 6.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",40.2,"(+/- 20.5 )",46.6,"(+/- 19.4 )",60.4,"(+/- 20.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",16.4,"(+/- 1.6 )",21.5,"(+/- 2.0 )",17.4,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",20.4,"(+/- 3.4 )",26.3,"(+/- 3.7 )",24.4,"(+/- 3.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",20.3,"(+/- 3.4 )",26.0,"(+/- 3.7 )",24.4,"(+/- 3.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",20.0,"(+/- 5.7 )",30.7,"(+/- 7.2 )",33.7,"(+/- 7.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",20.4,"(+/- 3.6 )",24.3,"(+/- 3.4 )",21.5,"(+/- 2.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",15.4,"(+/- 1.4 )",19.9,"(+/- 1.9 )",15.4,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",11.7,"(+/- 1.9 )",16.0,"(+/- 2.3 )",10.8,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",13.5,"(+/- 1.9 )",18.7,"(+/- 2.2 )",14.9,"(+/- 1.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",25.8,"(+/- 2.3 )",33.2,"(+/- 3.3 )",28.0,"(+/- 2.3 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",164404,"(+/- 5718 )",173111,"(+/- 6105 )",157913,"(+/- 4601 )"
Education,"School Enrollment","Nursery school, preschool",6034,"(+/- 1347 )",6016,"(+/- 1672 )",6119,"(+/- 1297 )"
Education,"School Enrollment",Kindergarten,7808,"(+/- 1681 )",9812,"(+/- 2070 )",7620,"(+/- 1645 )"
Education,"School Enrollment","Elementary school (grades 1-8)",63731,"(+/- 3324 )",75431,"(+/- 3127 )",72581,"(+/- 3757 )"
Education,"School Enrollment","High school (grades 9-12)",38248,"(+/- 2836 )",38889,"(+/- 3143 )",37237,"(+/- 2957 )"
Education,"School Enrollment","College or graduate school",48583,"(+/- 4165 )",42963,"(+/- 4813 )",34356,"(+/- 3211 )"
Education,"Educational Attainment","Population 25 years and over",492535,"(+/- 5786 )",469656,"(+/- 5647 )",488358,"(+/- 5217 )"
Education,"Educational Attainment","Less than 9th grade",17709,"(+/- 2763 )",39522,"(+/- 4862 )",16707,"(+/- 2273 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",29199,"(+/- 3483 )",45328,"(+/- 4742 )",33129,"(+/- 3221 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",113092,"(+/- 7123 )",128734,"(+/- 5877 )",130671,"(+/- 6387 )"
Education,"Educational Attainment","Some college, no degree",100835,"(+/- 6183 )",108944,"(+/- 6371 )",119013,"(+/- 5313 )"
Education,"Educational Attainment","Associate's degree",47218,"(+/- 4110 )",41546,"(+/- 4465 )",42972,"(+/- 3994 )"
Education,"Educational Attainment","Bachelor's degree",96840,"(+/- 5270 )",59627,"(+/- 4138 )",75278,"(+/- 4228 )"
Education,"Educational Attainment","Graduate or professional degree",87642,"(+/- 4725 )",45955,"(+/- 4009 )",70588,"(+/- 4185 )"
Education,"Educational Attainment","Percent high school graduate or higher",90.5,"(+/- 0.8 )",81.9,"(+/- 1.5 )",89.8,"(+/- 0.8 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",37.5,"(+/- 1.4 )",22.5,"(+/- 1.0 )",29.9,"(+/- 1.1 )"

"Source: 2021 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",281145,G,177174,G,181693,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",68,J,188,H,131,J
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",124,J,12660,G,3341,G
Business,"Paid employees for pay period including March 12",Utilities,1598,G,1316,G,1704,H
Business,"Paid employees for pay period including March 12",Construction,21503,G,12895,G,9376,G
Business,"Paid employees for pay period including March 12",Manufacturing,13017,G,7655,G,7202,G
Business,"Paid employees for pay period including March 12","Wholesale trade",11341,G,4360,G,3881,G
Business,"Paid employees for pay period including March 12","Retail trade",35457,G,27241,G,28606,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",6901,G,8797,G,4553,G
Business,"Paid employees for pay period including March 12",Information,6292,H,1909,H,1978,G
Business,"Paid employees for pay period including March 12","Finance and insurance",11770,G,5826,H,6061,H
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",4196,G,2776,G,2730,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",33018,H,7423,G,17628,H
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",5102,H,728,G,837,G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",18858,G,7779,G,7555,G
Business,"Paid employees for pay period including March 12","Educational services",3696,G,1970,G,3007,G
Business,"Paid employees for pay period including March 12","Health care and social assistance",54270,G,37045,G,37009,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",5435,G,2897,G,5712,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",37253,G,26813,G,31786,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",11237,G,6837,G,8574,G
Business,"Paid employees for pay period including March 12","Industries not classified",9,J,59,H,22,G
Business,"Annual payroll ($1,000)","Total for all sectors",12865553,G,7018728,G,7878671,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",2509,J,10268,H,5478,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",8022,H,907959,G,243739,G
Business,"Annual payroll ($1,000)",Utilities,179570,H,98444,G,158848,H
Business,"Annual payroll ($1,000)",Construction,1213345,G,604617,G,428308,G
Business,"Annual payroll ($1,000)",Manufacturing,672710,G,416048,G,373900,G
Business,"Annual payroll ($1,000)","Wholesale trade",627752,G,244296,G,208831,G
Business,"Annual payroll ($1,000)","Retail trade",1082311,G,778645,G,825589,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",304859,G,410811,G,222153,G
Business,"Annual payroll ($1,000)",Information,344143,G,103356,H,90778,G
Business,"Annual payroll ($1,000)","Finance and insurance",897303,G,290543,G,395293,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",175603,G,118537,G,121952,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",2521543,H,436264,G,1649151,J
Business,"Annual payroll ($1,000)","Management of companies and enterprises",350160,H,43823,H,46983,H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",618809,G,351910,G,413338,H
Business,"Annual payroll ($1,000)","Educational services",115497,G,85145,H,104276,G
Business,"Annual payroll ($1,000)","Health care and social assistance",2734707,G,1459340,G,1680600,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",85127,G,42850,G,131296,H
Business,"Annual payroll ($1,000)","Accommodation and food services",582702,G,430196,G,510931,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",348524,G,184480,G,266542,G
Business,"Annual payroll ($1,000)","Industries not classified",357,G,1196,G,685,G
Business,"Total Establishments","Total for all sectors",16252,X,12831,X,14104,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",16,X,44,X,47,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",19,X,471,X,131,X
Business,"Total Establishments",Utilities,19,X,102,X,98,X
Business,"Total Establishments",Construction,1549,X,1388,X,1448,X
Business,"Total Establishments",Manufacturing,589,X,353,X,372,X
Business,"Total Establishments","Wholesale trade",755,X,421,X,430,X
Business,"Total Establishments","Retail trade",1978,X,1829,X,2212,X
Business,"Total Establishments","Transportation and warehousing",398,X,673,X,377,X
Business,"Total Establishments",Information,302,X,236,X,274,X
Business,"Total Establishments","Finance and insurance",983,X,800,X,766,X
Business,"Total Establishments","Real estate and rental and leasing",1004,X,662,X,740,X
Business,"Total Establishments","Professional, scientific, and technical services",2243,X,894,X,1396,X
Business,"Total Establishments","Management of companies and enterprises",102,X,49,X,61,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",784,X,532,X,592,X
Business,"Total Establishments","Educational services",255,X,104,X,210,X
Business,"Total Establishments","Health care and social assistance",1972,X,1515,X,1694,X
Business,"Total Establishments","Arts, entertainment, and recreation",243,X,171,X,295,X
Business,"Total Establishments","Accommodation and food services",1560,X,1356,X,1509,X
Business,"Total Establishments","Other services (except public administration)",1460,X,1202,X,1431,X
Business,"Total Establishments","Industries not classified",21,X,29,X,21,X

"Source: 2020 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
