Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
Workers,Industry,"Transportation and warehousing, and utilities",16958,"(+/- 2784 )",20230,"(+/- 2604 )",18063,"(+/- 2752 )",18836,"(+/- 2121 )",17964,"(+/- 3288 )",18774,"(+/- 2845 )",18542,"(+/- 3013 )"
Workers,Industry,Information,3832,"(+/- 1354 )",2746,"(+/- 963 )",3351,"(+/- 1232 )",3185,"(+/- 1056 )",4010,"(+/- 1289 )",5567,"(+/- 1387 )",3406,"(+/- 1099 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",19079,"(+/- 2889 )",12426,"(+/- 1909 )",16605,"(+/- 2894 )",13092,"(+/- 2046 )",14665,"(+/- 2327 )",35624,"(+/- 3446 )",12839,"(+/- 2676 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",31901,"(+/- 3821 )",23763,"(+/- 3127 )",24421,"(+/- 3157 )",24368,"(+/- 2912 )",55709,"(+/- 4440 )",39424,"(+/- 4151 )",22701,"(+/- 2906 )"
Workers,Industry,"Educational services, and health care and social assistance",71088,"(+/- 5289 )",61985,"(+/- 3699 )",79604,"(+/- 5029 )",63152,"(+/- 4677 )",74298,"(+/- 4481 )",80996,"(+/- 4514 )",73064,"(+/- 4856 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",29253,"(+/- 4290 )",24784,"(+/- 2822 )",25822,"(+/- 3695 )",20445,"(+/- 2971 )",27128,"(+/- 3885 )",22286,"(+/- 2390 )",24005,"(+/- 3426 )"
Workers,Industry,"Other services, except public administration",16504,"(+/- 2537 )",11428,"(+/- 1638 )",13152,"(+/- 2167 )",16220,"(+/- 2373 )",15141,"(+/- 2432 )",18066,"(+/- 2393 )",11658,"(+/- 2526 )"
Workers,Industry,"Public administration",15850,"(+/- 2596 )",21376,"(+/- 3023 )",15817,"(+/- 2154 )",9411,"(+/- 1654 )",27311,"(+/- 3392 )",14465,"(+/- 2161 )",12118,"(+/- 2516 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",317205,"(+/- 7405 )",282186,"(+/- 6992 )",307438,"(+/- 6995 )",301804,"(+/- 7265 )",361049,"(+/- 7876 )",350135,"(+/- 7834 )",271098,"(+/- 8751 )"
Workers,"Class of Worker","Private wage and salary workers",248025,"(+/- 8130 )",214830,"(+/- 6835 )",238896,"(+/- 6919 )",242974,"(+/- 7488 )",275029,"(+/- 8043 )",285812,"(+/- 7172 )",207619,"(+/- 8480 )"
Workers,"Class of Worker","Government workers",50811,"(+/- 5493 )",50186,"(+/- 4016 )",53392,"(+/- 4449 )",38485,"(+/- 3426 )",66395,"(+/- 5545 )",46357,"(+/- 4362 )",49423,"(+/- 4428 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",18322,"(+/- 2621 )",16664,"(+/- 1976 )",14875,"(+/- 2127 )",20215,"(+/- 2852 )",18815,"(+/- 2672 )",17701,"(+/- 2275 )",13841,"(+/- 2617 )"
Workers,"Class of Worker","Unpaid family workers",47,"(+/- 60 )",506,"(+/- 321 )",275,"(+/- 274 )",130,"(+/- 108 )",810,"(+/- 901 )",265,"(+/- 235 )",215,"(+/- 213 )"
Housing,"Housing Occupancy","Total housing units",352955,"(+/- 1771 )",320623,"(+/- 2887 )",341248,"(+/- 2574 )",318755,"(+/- 2707 )",340535,"(+/- 1155 )",312984,"(+/- 4335 )",326516,"(+/- 4822 )"
Housing,"Housing Occupancy","Occupied housing units",287768,"(+/- 4698 )",267988,"(+/- 4362 )",285773,"(+/- 4972 )",265042,"(+/- 5047 )",312227,"(+/- 3229 )",283340,"(+/- 4647 )",265421,"(+/- 5377 )"
Housing,"Housing Occupancy","Vacant housing units",65187,"(+/- 4415 )",52635,"(+/- 3828 )",55475,"(+/- 4149 )",53713,"(+/- 3979 )",28308,"(+/- 3132 )",29644,"(+/- 2707 )",61095,"(+/- 3951 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.2,"(+/- 0.4 )",2.0,"(+/- 0.6 )",0.9,"(+/- 0.5 )",1.0,"(+/- 0.5 )",0.4,"(+/- 0.3 )",1.0,"(+/- 0.4 )",0.6,"(+/- 0.4 )"
Housing,"Housing Occupancy","Rental vacancy rate",13.3,"(+/- 2.3 )",8.5,"(+/- 2.1 )",7.9,"(+/- 1.7 )",6.2,"(+/- 1.7 )",3.6,"(+/- 1.3 )",4.6,"(+/- 1.6 )",5.0,"(+/- 1.1 )"
Housing,"Housing Tenure","Occupied housing units",287768,"(+/- 4698 )",267988,"(+/- 4362 )",285773,"(+/- 4972 )",265042,"(+/- 5047 )",312227,"(+/- 3229 )",283340,"(+/- 4647 )",265421,"(+/- 5377 )"
Housing,"Housing Tenure",Owner-occupied,199006,"(+/- 5340 )",175923,"(+/- 4670 )",204928,"(+/- 5024 )",202638,"(+/- 4691 )",221858,"(+/- 4314 )",215697,"(+/- 4304 )",157882,"(+/- 5326 )"
Housing,"Housing Tenure",Renter-occupied,88762,"(+/- 5341 )",92065,"(+/- 4707 )",80845,"(+/- 4612 )",62404,"(+/- 3812 )",90369,"(+/- 3810 )",67643,"(+/- 3697 )",107539,"(+/- 5121 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.61,"(+/- 0.05 )",2.57,"(+/- 0.05 )",2.57,"(+/- 0.05 )",2.66,"(+/- 0.05 )",2.55,"(+/- 0.04 )",2.63,"(+/- 0.04 )",2.52,"(+/- 0.06 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.31,"(+/- 0.11 )",2.37,"(+/- 0.08 )",2.41,"(+/- 0.09 )",2.62,"(+/- 0.13 )",2.08,"(+/- 0.08 )",2.17,"(+/- 0.09 )",2.24,"(+/- 0.09 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",287768,"(+/- 4698 )",267988,"(+/- 4362 )",285773,"(+/- 4972 )",265042,"(+/- 5047 )",312227,"(+/- 3229 )",283340,"(+/- 4647 )",265421,"(+/- 5377 )"
Housing,"Year Householder Moved into Unit","Moved in 2019 or later",78976,"(+/- 4626 )",69821,"(+/- 3484 )",76015,"(+/- 4548 )",54738,"(+/- 4114 )",77918,"(+/- 5172 )",74793,"(+/- 4516 )",71707,"(+/- 4736 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2018",62631,"(+/- 4678 )",60470,"(+/- 3538 )",60047,"(+/- 4610 )",56098,"(+/- 3478 )",71781,"(+/- 5163 )",61812,"(+/- 4090 )",52665,"(+/- 4333 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",33842,"(+/- 4028 )",30273,"(+/- 2210 )",34746,"(+/- 3168 )",34980,"(+/- 2851 )",43079,"(+/- 3991 )",33690,"(+/- 3105 )",31014,"(+/- 3412 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",50812,"(+/- 3657 )",52603,"(+/- 3526 )",51386,"(+/- 3355 )",48259,"(+/- 3339 )",57194,"(+/- 4228 )",54662,"(+/- 3380 )",42285,"(+/- 3611 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",26840,"(+/- 2811 )",27422,"(+/- 2285 )",29638,"(+/- 2920 )",32254,"(+/- 2300 )",30838,"(+/- 3005 )",31081,"(+/- 3236 )",30405,"(+/- 2552 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",34667,"(+/- 2960 )",27399,"(+/- 2306 )",33941,"(+/- 2842 )",38713,"(+/- 2826 )",31417,"(+/- 2570 )",27302,"(+/- 2642 )",37345,"(+/- 3121 )"
Housing,Value,"Owner-occupied units",199006,"(+/- 5340 )",175923,"(+/- 4670 )",204928,"(+/- 5024 )",202638,"(+/- 4691 )",221858,"(+/- 4314 )",215697,"(+/- 4304 )",157882,"(+/- 5326 )"
Housing,Value,"Less than $50,000",18819,"(+/- 2482 )",22469,"(+/- 2174 )",28989,"(+/- 2925 )",30425,"(+/- 3217 )",13221,"(+/- 2022 )",13305,"(+/- 1922 )",25092,"(+/- 2131 )"
Housing,Value,"$50,000 to $99,999",25240,"(+/- 2668 )",32674,"(+/- 2372 )",34253,"(+/- 2964 )",38980,"(+/- 3440 )",25592,"(+/- 2917 )",18431,"(+/- 2495 )",38951,"(+/- 3108 )"
Housing,Value,"$100,000 to $149,999",29844,"(+/- 2151 )",33504,"(+/- 2616 )",33430,"(+/- 3656 )",32812,"(+/- 2833 )",25298,"(+/- 2823 )",23901,"(+/- 2831 )",27726,"(+/- 3025 )"
Housing,Value,"$150,000 to $199,999",34013,"(+/- 3364 )",27029,"(+/- 2404 )",30291,"(+/- 2979 )",33746,"(+/- 2727 )",35068,"(+/- 3186 )",30913,"(+/- 2804 )",23217,"(+/- 2666 )"
Housing,Value,"$200,000 to $299,999",45366,"(+/- 3817 )",31167,"(+/- 2644 )",37330,"(+/- 3046 )",32799,"(+/- 2592 )",54296,"(+/- 3841 )",48800,"(+/- 2900 )",25552,"(+/- 2806 )"
Housing,Value,"$300,000 to $499,999",29922,"(+/- 2996 )",21875,"(+/- 2233 )",29321,"(+/- 2884 )",24920,"(+/- 2796 )",48100,"(+/- 3837 )",54294,"(+/- 3387 )",12049,"(+/- 1879 )"
Housing,Value,"$500,000 to $999,999",14146,"(+/- 2208 )",6151,"(+/- 1353 )",9244,"(+/- 1765 )",8025,"(+/- 1464 )",18335,"(+/- 2631 )",21257,"(+/- 2243 )",4704,"(+/- 1061 )"
Housing,Value,"$1,000,000 or more",1656,"(+/- 768 )",1054,"(+/- 559 )",2070,"(+/- 790 )",931,"(+/- 463 )",1948,"(+/- 927 )",4796,"(+/- 1176 )",591,"(+/- 408 )"
Housing,Value,"Median (dollars)",187200,"(+/- 5736 )",149000,"(+/- 4387 )",158200,"(+/- 5599 )",148400,"(+/- 5631 )",219400,"(+/- 6287 )",242100,"(+/- 7060 )",122800,"(+/- 5537 )"
Housing,"Mortgage Status","Owner-occupied units",199006,"(+/- 5340 )",175923,"(+/- 4670 )",204928,"(+/- 5024 )",202638,"(+/- 4691 )",221858,"(+/- 4314 )",215697,"(+/- 4304 )",157882,"(+/- 5326 )"
Housing,"Mortgage Status","Housing units with a mortgage",113240,"(+/- 4888 )",93041,"(+/- 4093 )",106999,"(+/- 4273 )",92292,"(+/- 4163 )",126640,"(+/- 4369 )",130059,"(+/- 4554 )",76722,"(+/- 4630 )"
Housing,"Mortgage Status","Housing units without a mortgage",85766,"(+/- 4830 )",82882,"(+/- 4199 )",97929,"(+/- 4494 )",110346,"(+/- 4284 )",95218,"(+/- 4019 )",85638,"(+/- 4552 )",81160,"(+/- 3617 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",113240,"(+/- 4888 )",93041,"(+/- 4093 )",106999,"(+/- 4273 )",92292,"(+/- 4163 )",126640,"(+/- 4369 )",130059,"(+/- 4554 )",76722,"(+/- 4630 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",2304,"(+/- 763 )",2870,"(+/- 838 )",2164,"(+/- 803 )",3547,"(+/- 1077 )",2362,"(+/- 649 )",1907,"(+/- 705 )",2379,"(+/- 1104 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",28433,"(+/- 2838 )",30882,"(+/- 2743 )",37016,"(+/- 3044 )",33982,"(+/- 2991 )",33862,"(+/- 2854 )",25998,"(+/- 2838 )",27138,"(+/- 2875 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",48706,"(+/- 3870 )",35925,"(+/- 2579 )",33610,"(+/- 3359 )",31348,"(+/- 2929 )",47995,"(+/- 3328 )",39874,"(+/- 3526 )",30696,"(+/- 3380 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",19885,"(+/- 2735 )",14782,"(+/- 1949 )",22521,"(+/- 2375 )",13235,"(+/- 2087 )",22611,"(+/- 2487 )",32248,"(+/- 2966 )",8806,"(+/- 1895 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",8033,"(+/- 1585 )",5387,"(+/- 1053 )",7356,"(+/- 1495 )",7202,"(+/- 1705 )",9649,"(+/- 1645 )",15821,"(+/- 2006 )",5013,"(+/- 1458 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",2047,"(+/- 718 )",1689,"(+/- 592 )",1779,"(+/- 491 )",1793,"(+/- 642 )",6020,"(+/- 1428 )",5888,"(+/- 1199 )",1782,"(+/- 777 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",3832,"(+/- 1155 )",1506,"(+/- 587 )",2553,"(+/- 690 )",1185,"(+/- 629 )",4141,"(+/- 1201 )",8323,"(+/- 1762 )",908,"(+/- 468 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1250,"(+/- 32 )",1151,"(+/- 24 )",1177,"(+/- 34 )",1114,"(+/- 38 )",1248,"(+/- 33 )",1464,"(+/- 38 )",1128,"(+/- 32 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",85766,"(+/- 4830 )",82882,"(+/- 4199 )",97929,"(+/- 4494 )",110346,"(+/- 4284 )",95218,"(+/- 4019 )",85638,"(+/- 4552 )",81160,"(+/- 3617 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",17584,"(+/- 1845 )",18305,"(+/- 2365 )",19494,"(+/- 2615 )",25525,"(+/- 2541 )",15439,"(+/- 2056 )",12668,"(+/- 1700 )",13925,"(+/- 1448 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",29890,"(+/- 2881 )",32817,"(+/- 2806 )",35273,"(+/- 3126 )",42862,"(+/- 2955 )",31513,"(+/- 2719 )",24323,"(+/- 2753 )",32783,"(+/- 2413 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",24360,"(+/- 2747 )",23760,"(+/- 2561 )",32305,"(+/- 2875 )",29863,"(+/- 2626 )",29878,"(+/- 3633 )",26630,"(+/- 2772 )",23888,"(+/- 2390 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",8066,"(+/- 1485 )",4433,"(+/- 862 )",7415,"(+/- 1539 )",7922,"(+/- 1448 )",13292,"(+/- 2652 )",12479,"(+/- 2062 )",7816,"(+/- 1676 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",3241,"(+/- 1195 )",1609,"(+/- 561 )",2261,"(+/- 879 )",2849,"(+/- 897 )",3217,"(+/- 1258 )",4615,"(+/- 1195 )",1423,"(+/- 549 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",2625,"(+/- 913 )",1958,"(+/- 979 )",1181,"(+/- 497 )",1325,"(+/- 826 )",1879,"(+/- 813 )",4923,"(+/- 1008 )",1325,"(+/- 517 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",378,"(+/- 11 )",355,"(+/- 10 )",375,"(+/- 11 )",355,"(+/- 10 )",403,"(+/- 15 )",440,"(+/- 15 )",371,"(+/- 9 )"
Housing,"Gross Rent","Occupied units paying rent",77486,"(+/- 4854 )",84177,"(+/- 4801 )",70103,"(+/- 4384 )",52884,"(+/- 3435 )",80591,"(+/- 4391 )",63190,"(+/- 3333 )",99005,"(+/- 4887 )"
Housing,"Gross Rent","Less than $500",8315,"(+/- 1547 )",11678,"(+/- 1790 )",9736,"(+/- 1808 )",11505,"(+/- 1534 )",8803,"(+/- 1793 )",4478,"(+/- 1090 )",16793,"(+/- 2233 )"
Housing,"Gross Rent","$500 to $999",36724,"(+/- 3694 )",47882,"(+/- 3673 )",39818,"(+/- 3923 )",33148,"(+/- 2815 )",41509,"(+/- 3831 )",21091,"(+/- 2778 )",52989,"(+/- 3890 )"
Housing,"Gross Rent","$1,000 to $1,499",26998,"(+/- 3258 )",20390,"(+/- 2336 )",15430,"(+/- 2951 )",6832,"(+/- 1465 )",21722,"(+/- 3255 )",25487,"(+/- 2705 )",22065,"(+/- 3087 )"
Housing,"Gross Rent","$1,500 to $1,999",4097,"(+/- 1529 )",3551,"(+/- 1157 )",3969,"(+/- 1270 )",1061,"(+/- 700 )",6569,"(+/- 1955 )",9193,"(+/- 1541 )",5995,"(+/- 1366 )"
Housing,"Gross Rent","$2,000 to $2,499",561,"(+/- 352 )",415,"(+/- 296 )",603,"(+/- 448 )",216,"(+/- 173 )",1585,"(+/- 800 )",2321,"(+/- 1035 )",519,"(+/- 404 )"
Housing,"Gross Rent","$2,500 to $2,999",161,"(+/- 231 )",246,"(+/- 256 )",333,"(+/- 457 )",0,"(+/- 216 )",109,"(+/- 145 )",181,"(+/- 156 )",170,"(+/- 211 )"
Housing,"Gross Rent","$3,000 or more",630,"(+/- 523 )",15,"(+/- 26 )",214,"(+/- 211 )",122,"(+/- 146 )",294,"(+/- 293 )",439,"(+/- 368 )",474,"(+/- 368 )"
Housing,"Gross Rent","Median (dollars)",942,"(+/- 25 )",820,"(+/- 21 )",801,"(+/- 32 )",704,"(+/- 33 )",875,"(+/- 33 )",1097,"(+/- 33 )",849,"(+/- 25 )"
Housing,"Gross Rent","No rent paid",11276,"(+/- 2039 )",7888,"(+/- 1469 )",10742,"(+/- 1839 )",9520,"(+/- 1466 )",9778,"(+/- 2118 )",4453,"(+/- 1361 )",8534,"(+/- 1584 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Total households",287768,"(+/- 4698 )",267988,"(+/- 4362 )",285773,"(+/- 4972 )",265042,"(+/- 5047 )",312227,"(+/- 3229 )",283340,"(+/- 4647 )",265421,"(+/- 5377 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Less than $10,000",22411,"(+/- 2686 )",22053,"(+/- 2366 )",26313,"(+/- 2785 )",19087,"(+/- 2461 )",18511,"(+/- 2940 )",14339,"(+/- 2138 )",29736,"(+/- 3529 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$10,000 to $14,999",14146,"(+/- 2051 )",15844,"(+/- 2024 )",20153,"(+/- 2636 )",16527,"(+/- 2010 )",12674,"(+/- 2180 )",8768,"(+/- 1479 )",21621,"(+/- 2968 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$15,000 to $24,999",27220,"(+/- 2838 )",28836,"(+/- 2663 )",31463,"(+/- 3304 )",30876,"(+/- 3197 )",25420,"(+/- 3090 )",21528,"(+/- 3258 )",38560,"(+/- 3146 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$25,000 to $34,999",29120,"(+/- 3437 )",30558,"(+/- 3062 )",25608,"(+/- 2862 )",26037,"(+/- 2739 )",23363,"(+/- 2814 )",21451,"(+/- 2973 )",29574,"(+/- 3166 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$35,000 to $49,999",43539,"(+/- 4049 )",37524,"(+/- 2892 )",37189,"(+/- 2935 )",37231,"(+/- 2866 )",40477,"(+/- 3240 )",31625,"(+/- 2810 )",34684,"(+/- 3185 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$50,000 to $74,999",49811,"(+/- 4003 )",47258,"(+/- 3184 )",50764,"(+/- 3651 )",47335,"(+/- 3250 )",48878,"(+/- 4191 )",51349,"(+/- 3888 )",44119,"(+/- 4203 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$75,000 to $99,999",35753,"(+/- 4027 )",30983,"(+/- 2977 )",35015,"(+/- 3111 )",31540,"(+/- 3394 )",41825,"(+/- 3552 )",37190,"(+/- 3015 )",26245,"(+/- 3191 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$100,000 to $149,999",37690,"(+/- 3434 )",32730,"(+/- 2668 )",36338,"(+/- 3592 )",34041,"(+/- 3159 )",48652,"(+/- 3660 )",48408,"(+/- 3732 )",22140,"(+/- 2753 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$150,000 to $199,000",16045,"(+/- 2613 )",11543,"(+/- 1684 )",13199,"(+/- 1812 )",12302,"(+/- 2122 )",27970,"(+/- 3264 )",21977,"(+/- 2570 )",10562,"(+/- 1861 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$200,000 or more",12033,"(+/- 2219 )",10659,"(+/- 1483 )",9731,"(+/- 1880 )",10066,"(+/- 1885 )",24457,"(+/- 2713 )",26705,"(+/- 2487 )",8180,"(+/- 1695 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Median household income (dollars)",52226,"(+/- 1996 )",49565,"(+/- 1793 )",50787,"(+/- 1700 )",51145,"(+/- 2179 )",65701,"(+/- 2852 )",70962,"(+/- 2732 )",40217,"(+/- 1823 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Mean household income (dollars)",72809,"(+/- 2377 )",70206,"(+/- 2775 )",67286,"(+/- 2349 )",69343,"(+/- 3152 )",91975,"(+/- 3543 )",98111,"(+/- 3667 )",58371,"(+/- 2362 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",726418,"(+/- 3533 )",666676,"(+/- 7382 )",727786,"(+/- 5745 )",703177,"(+/- 6119 )",760041,"(+/- 1741 )",717172,"(+/- 10692 )",656363,"(+/- 12252 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",646038,"(+/- 8528 )",596378,"(+/- 7974 )",654219,"(+/- 9494 )",625376,"(+/- 8983 )",689295,"(+/- 7441 )",669980,"(+/- 11038 )",587776,"(+/- 11483 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",455540,"(+/- 12242 )",419701,"(+/- 9036 )",476718,"(+/- 13419 )",452758,"(+/- 12862 )",569869,"(+/- 10324 )",543537,"(+/- 10629 )",374232,"(+/- 13027 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",283214,"(+/- 8573 )",271176,"(+/- 7586 )",279042,"(+/- 10326 )",273340,"(+/- 7003 )",234150,"(+/- 6665 )",216062,"(+/- 8300 )",294391,"(+/- 10283 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",80380,"(+/- 7637 )",70298,"(+/- 4794 )",73567,"(+/- 8240 )",77801,"(+/- 6037 )",70746,"(+/- 7491 )",47192,"(+/- 4913 )",68587,"(+/- 6144 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",172783,"(+/- 2123 )",166762,"(+/- 4502 )",171564,"(+/- 3837 )",170167,"(+/- 3557 )",177841,"(+/- 2137 )",171362,"(+/- 5567 )",160277,"(+/- 6509 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",7860,"(+/- 2390 )",8503,"(+/- 2456 )",6325,"(+/- 1999 )",6656,"(+/- 2217 )",8083,"(+/- 2597 )",5470,"(+/- 1871 )",4348,"(+/- 1717 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",11.6,"(+/- 1.3 )",12.9,"(+/- 1.4 )",13.9,"(+/- 1.6 )",11.2,"(+/- 1.2 )",8.5,"(+/- 1.3 )",6.3,"(+/- 1.0 )",19.9,"(+/- 2.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",20.1,"(+/- 2.6 )",20.7,"(+/- 2.6 )",20.1,"(+/- 2.7 )",17.4,"(+/- 2.3 )",13.6,"(+/- 2.5 )",8.9,"(+/- 1.8 )",33.9,"(+/- 3.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",20.4,"(+/- 7.0 )",18.5,"(+/- 6.1 )",18.2,"(+/- 6.0 )",19.7,"(+/- 5.8 )",14.1,"(+/- 7.1 )",7.8,"(+/- 4.0 )",31.2,"(+/- 11.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",4.9,"(+/- 1.2 )",5.4,"(+/- 1.0 )",6.4,"(+/- 1.2 )",6.1,"(+/- 1.0 )",3.8,"(+/- 1.1 )",3.7,"(+/- 1.0 )",6.1,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",8.0,"(+/- 2.8 )",6.0,"(+/- 1.7 )",6.7,"(+/- 2.0 )",7.6,"(+/- 2.1 )",4.8,"(+/- 2.1 )",4.0,"(+/- 1.3 )",7.9,"(+/- 2.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",4.1,"(+/- 3.1 )",4.9,"(+/- 3.5 )",4.8,"(+/- 3.5 )",10.0,"(+/- 6.3 )",3.0,"(+/- 2.9 )",4.8,"(+/- 3.7 )",3.1,"(+/- 3.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",33.1,"(+/- 4.1 )",30.4,"(+/- 4.1 )",36.6,"(+/- 5.1 )",34.0,"(+/- 4.7 )",29.4,"(+/- 5.5 )",20.4,"(+/- 5.1 )",38.7,"(+/- 4.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",44.4,"(+/- 5.9 )",41.1,"(+/- 5.7 )",47.2,"(+/- 6.8 )",47.2,"(+/- 6.5 )",41.3,"(+/- 8.6 )",28.0,"(+/- 7.2 )",55.7,"(+/- 6.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",48.1,"(+/- 15.4 )",38.9,"(+/- 15.9 )",44.0,"(+/- 14.8 )",52.4,"(+/- 18.2 )",69.0,"(+/- 20.5 )",28.2,"(+/- 17.1 )",56.4,"(+/- 18.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",16.0,"(+/- 1.4 )",17.3,"(+/- 1.2 )",18.9,"(+/- 1.6 )",16.0,"(+/- 1.4 )",12.0,"(+/- 1.3 )",9.6,"(+/- 1.0 )",24.3,"(+/- 1.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",23.0,"(+/- 2.8 )",24.3,"(+/- 2.7 )",24.7,"(+/- 3.5 )",21.6,"(+/- 2.7 )",14.7,"(+/- 2.7 )",10.7,"(+/- 2.1 )",38.6,"(+/- 3.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",22.7,"(+/- 2.8 )",24.1,"(+/- 2.7 )",24.4,"(+/- 3.5 )",21.3,"(+/- 2.7 )",14.6,"(+/- 2.7 )",10.4,"(+/- 2.1 )",38.5,"(+/- 3.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",27.4,"(+/- 5.5 )",29.0,"(+/- 5.1 )",25.9,"(+/- 5.2 )",26.6,"(+/- 5.4 )",21.3,"(+/- 5.8 )",10.3,"(+/- 2.8 )",38.3,"(+/- 5.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",21.0,"(+/- 3.0 )",22.6,"(+/- 2.8 )",23.8,"(+/- 3.9 )",19.3,"(+/- 2.6 )",12.5,"(+/- 2.6 )",10.4,"(+/- 2.4 )",38.6,"(+/- 4.4 )"
