Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE","District 37 Estimate","District 37 MOE","District 38 Estimate","District 38 MOE","District 39 Estimate","District 39 MOE","District 40 Estimate","District 40 MOE","District 41 Estimate","District 41 MOE","District 42 Estimate","District 42 MOE","District 43 Estimate","District 43 MOE","District 44 Estimate","District 44 MOE","District 45 Estimate","District 45 MOE","District 46 Estimate","District 46 MOE","District 47 Estimate","District 47 MOE","District 48 Estimate","District 48 MOE","District 49 Estimate","District 49 MOE","District 50 Estimate","District 50 MOE","District 51 Estimate","District 51 MOE","District 52 Estimate","District 52 MOE","District 53 Estimate","District 53 MOE"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.2,"(+/- 0.4 )",0.5,"(+/- 0.3 )",0.3,"(+/- 0.2 )",0.9,"(+/- 0.4 )",0.9,"(+/- 0.4 )",0.6,"(+/- 0.4 )",1.1,"(+/- 0.5 )",0.8,"(+/- 0.4 )",1.0,"(+/- 0.4 )",0.9,"(+/- 0.5 )",0.7,"(+/- 0.4 )",0.7,"(+/- 0.4 )",0.6,"(+/- 0.4 )",0.4,"(+/- 0.3 )",0.7,"(+/- 0.4 )",1.0,"(+/- 0.7 )",0.5,"(+/- 0.4 )",0.9,"(+/- 0.5 )",1.2,"(+/- 0.6 )",0.4,"(+/- 0.3 )",1.2,"(+/- 0.6 )",0.5,"(+/- 0.3 )",1.2,"(+/- 0.6 )",0.8,"(+/- 0.6 )",0.5,"(+/- 0.3 )",0.4,"(+/- 0.3 )",0.6,"(+/- 0.4 )",1.1,"(+/- 0.5 )",0.2,"(+/- 0.2 )",0.7,"(+/- 0.4 )",0.9,"(+/- 0.6 )",0.5,"(+/- 0.3 )",0.6,"(+/- 0.4 )",3.3,"(+/- 1.4 )",0.3,"(+/- 0.3 )",0.9,"(+/- 0.4 )",0.6,"(+/- 0.5 )",0.5,"(+/- 0.4 )",0.6,"(+/- 0.4 )",0.3,"(+/- 0.3 )",1.1,"(+/- 0.5 )",0.7,"(+/- 0.6 )",1.0,"(+/- 0.7 )",0.1,"(+/- 0.2 )",0.5,"(+/- 0.3 )",0.8,"(+/- 0.6 )",0.5,"(+/- 0.4 )",0.5,"(+/- 0.3 )",0.2,"(+/- 0.1 )",1.3,"(+/- 0.6 )",1.3,"(+/- 0.7 )",0.6,"(+/- 0.4 )",0.9,"(+/- 0.5 )"
Housing,"Housing Occupancy","Rental vacancy rate",3.9,"(+/- 1.1 )",2.2,"(+/- 1.0 )",2.1,"(+/- 0.8 )",5.6,"(+/- 1.7 )",2.9,"(+/- 1.1 )",1.9,"(+/- 0.8 )",1.7,"(+/- 0.8 )",4.6,"(+/- 1.4 )",2.3,"(+/- 0.9 )",3.1,"(+/- 1.2 )",1.6,"(+/- 0.8 )",7.4,"(+/- 1.5 )",7.0,"(+/- 1.1 )",9.7,"(+/- 1.6 )",4.1,"(+/- 1.2 )",2.9,"(+/- 1.1 )",4.4,"(+/- 1.2 )",9.1,"(+/- 1.7 )",4.0,"(+/- 1.2 )",2.2,"(+/- 0.9 )",2.2,"(+/- 0.9 )",2.4,"(+/- 1.1 )",3.8,"(+/- 1.3 )",2.8,"(+/- 1.0 )",2.6,"(+/- 1.2 )",4.7,"(+/- 1.6 )",2.9,"(+/- 0.9 )",6.4,"(+/- 1.2 )",3.1,"(+/- 0.9 )",3.4,"(+/- 0.9 )",2.3,"(+/- 0.9 )",2.2,"(+/- 0.8 )",7.7,"(+/- 1.4 )",6.5,"(+/- 0.8 )",1.3,"(+/- 0.7 )",7.0,"(+/- 1.6 )",7.1,"(+/- 1.3 )",1.9,"(+/- 1.0 )",2.1,"(+/- 0.9 )",0.9,"(+/- 0.4 )",1.7,"(+/- 0.8 )",1.6,"(+/- 0.9 )",2.8,"(+/- 0.8 )",1.6,"(+/- 0.6 )",4.2,"(+/- 1.2 )",3.8,"(+/- 1.0 )",2.7,"(+/- 0.8 )",5.2,"(+/- 1.0 )",4.2,"(+/- 1.2 )",2.8,"(+/- 1.1 )",3.4,"(+/- 0.9 )",3.9,"(+/- 1.2 )",3.8,"(+/- 1.0 )"
Housing,"Housing Tenure","Occupied housing units",273582,"(+/- 4173 )",283713,"(+/- 3842 )",260084,"(+/- 3882 )",303443,"(+/- 4098 )",269118,"(+/- 4692 )",294556,"(+/- 5054 )",277487,"(+/- 5194 )",246866,"(+/- 5321 )",250217,"(+/- 5124 )",242542,"(+/- 4132 )",276718,"(+/- 4066 )",319041,"(+/- 5204 )",295012,"(+/- 4615 )",254999,"(+/- 4426 )",262584,"(+/- 4966 )",222784,"(+/- 3738 )",270566,"(+/- 5096 )",267617,"(+/- 4263 )",227519,"(+/- 4827 )",238990,"(+/- 3506 )",193493,"(+/- 4852 )",262225,"(+/- 4103 )",253591,"(+/- 5220 )",263262,"(+/- 3301 )",231829,"(+/- 5079 )",235156,"(+/- 3411 )",245868,"(+/- 4910 )",298062,"(+/- 6528 )",215928,"(+/- 4963 )",288840,"(+/- 6688 )",236464,"(+/- 4601 )",200358,"(+/- 4187 )",293071,"(+/- 6585 )",260864,"(+/- 6639 )",209599,"(+/- 4897 )",282688,"(+/- 5802 )",272429,"(+/- 6836 )",205188,"(+/- 5015 )",237077,"(+/- 4519 )",183319,"(+/- 3872 )",204250,"(+/- 4688 )",250375,"(+/- 4987 )",246946,"(+/- 6550 )",199763,"(+/- 6323 )",292032,"(+/- 5664 )",195442,"(+/- 4193 )",250650,"(+/- 5309 )",277242,"(+/- 4166 )",261145,"(+/- 4901 )",255153,"(+/- 5615 )",204403,"(+/- 4822 )",302301,"(+/- 6268 )",282612,"(+/- 6189 )"
Housing,"Housing Tenure",Owner-occupied,178020,"(+/- 4422 )",180896,"(+/- 4426 )",154150,"(+/- 4628 )",231164,"(+/- 4557 )",166687,"(+/- 5420 )",150483,"(+/- 4818 )",180854,"(+/- 4718 )",164016,"(+/- 5036 )",161627,"(+/- 6188 )",154026,"(+/- 4891 )",175648,"(+/- 5787 )",120725,"(+/- 4849 )",134622,"(+/- 4274 )",148764,"(+/- 4496 )",171611,"(+/- 4574 )",109678,"(+/- 4514 )",141022,"(+/- 4027 )",161803,"(+/- 4223 )",136183,"(+/- 3986 )",129571,"(+/- 4329 )",98182,"(+/- 4108 )",158138,"(+/- 4147 )",162838,"(+/- 5547 )",148616,"(+/- 3737 )",163966,"(+/- 5050 )",150722,"(+/- 4063 )",132548,"(+/- 4500 )",105835,"(+/- 4503 )",93565,"(+/- 3451 )",152415,"(+/- 4820 )",131250,"(+/- 4074 )",117675,"(+/- 4220 )",148049,"(+/- 5767 )",52810,"(+/- 2782 )",123548,"(+/- 4284 )",191734,"(+/- 6031 )",93882,"(+/- 4198 )",127626,"(+/- 4437 )",157406,"(+/- 4096 )",63150,"(+/- 2736 )",123860,"(+/- 4635 )",187558,"(+/- 4730 )",103133,"(+/- 4223 )",103518,"(+/- 4789 )",178963,"(+/- 4966 )",84613,"(+/- 3131 )",117518,"(+/- 4412 )",155455,"(+/- 4270 )",154105,"(+/- 4802 )",169601,"(+/- 5473 )",91720,"(+/- 4062 )",161163,"(+/- 5992 )",145994,"(+/- 5446 )"
Housing,"Housing Tenure",Renter-occupied,95562,"(+/- 4105 )",102817,"(+/- 4077 )",105934,"(+/- 4350 )",72279,"(+/- 4105 )",102431,"(+/- 4746 )",144073,"(+/- 5141 )",96633,"(+/- 4735 )",82850,"(+/- 5083 )",88590,"(+/- 4418 )",88516,"(+/- 4576 )",101070,"(+/- 4726 )",198316,"(+/- 6320 )",160390,"(+/- 4358 )",106235,"(+/- 4445 )",90973,"(+/- 4373 )",113106,"(+/- 4569 )",129544,"(+/- 5276 )",105814,"(+/- 4042 )",91336,"(+/- 4111 )",109419,"(+/- 4312 )",95311,"(+/- 4446 )",104087,"(+/- 4377 )",90753,"(+/- 4706 )",114646,"(+/- 4028 )",67863,"(+/- 4170 )",84434,"(+/- 3835 )",113320,"(+/- 4353 )",192227,"(+/- 5544 )",122363,"(+/- 4332 )",136425,"(+/- 6664 )",105214,"(+/- 5501 )",82683,"(+/- 3119 )",145022,"(+/- 4823 )",208054,"(+/- 6583 )",86051,"(+/- 4169 )",90954,"(+/- 5429 )",178547,"(+/- 6610 )",77562,"(+/- 3908 )",79671,"(+/- 3813 )",120169,"(+/- 4377 )",80390,"(+/- 3931 )",62817,"(+/- 4622 )",143813,"(+/- 5551 )",96245,"(+/- 4879 )",113069,"(+/- 4806 )",110829,"(+/- 4068 )",133132,"(+/- 4885 )",121787,"(+/- 4279 )",107040,"(+/- 4490 )",85552,"(+/- 4559 )",112683,"(+/- 4633 )",141138,"(+/- 5004 )",136618,"(+/- 5653 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.54,"(+/- 0.05 )",2.54,"(+/- 0.05 )",2.90,"(+/- 0.06 )",2.57,"(+/- 0.04 )",2.64,"(+/- 0.06 )",2.74,"(+/- 0.06 )",2.86,"(+/- 0.05 )",3.00,"(+/- 0.07 )",3.15,"(+/- 0.07 )",3.16,"(+/- 0.08 )",2.76,"(+/- 0.04 )",2.55,"(+/- 0.07 )",2.72,"(+/- 0.06 )",2.97,"(+/- 0.06 )",3.03,"(+/- 0.05 )",3.35,"(+/- 0.10 )",3.01,"(+/- 0.06 )",2.75,"(+/- 0.06 )",3.20,"(+/- 0.07 )",2.91,"(+/- 0.07 )",3.48,"(+/- 0.11 )",3.04,"(+/- 0.06 )",3.08,"(+/- 0.09 )",2.64,"(+/- 0.05 )",3.17,"(+/- 0.07 )",2.98,"(+/- 0.06 )",2.85,"(+/- 0.07 )",2.68,"(+/- 0.08 )",3.59,"(+/- 0.09 )",2.84,"(+/- 0.07 )",3.28,"(+/- 0.07 )",3.42,"(+/- 0.07 )",2.50,"(+/- 0.05 )",2.90,"(+/- 0.10 )",3.66,"(+/- 0.08 )",2.66,"(+/- 0.06 )",2.81,"(+/- 0.10 )",3.32,"(+/- 0.08 )",3.07,"(+/- 0.06 )",3.89,"(+/- 0.16 )",3.83,"(+/- 0.10 )",3.38,"(+/- 0.07 )",3.03,"(+/- 0.10 )",3.60,"(+/- 0.10 )",2.73,"(+/- 0.05 )",3.75,"(+/- 0.11 )",2.87,"(+/- 0.08 )",2.63,"(+/- 0.05 )",2.78,"(+/- 0.07 )",2.80,"(+/- 0.07 )",3.41,"(+/- 0.12 )",2.64,"(+/- 0.06 )",2.86,"(+/- 0.07 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.36,"(+/- 0.09 )",2.36,"(+/- 0.08 )",2.79,"(+/- 0.07 )",2.44,"(+/- 0.08 )",2.52,"(+/- 0.08 )",2.52,"(+/- 0.07 )",2.69,"(+/- 0.10 )",3.03,"(+/- 0.12 )",3.22,"(+/- 0.11 )",3.17,"(+/- 0.11 )",2.77,"(+/- 0.08 )",2.00,"(+/- 0.04 )",2.33,"(+/- 0.06 )",2.52,"(+/- 0.09 )",2.82,"(+/- 0.11 )",3.23,"(+/- 0.09 )",2.61,"(+/- 0.06 )",2.44,"(+/- 0.07 )",3.02,"(+/- 0.10 )",3.12,"(+/- 0.07 )",3.50,"(+/- 0.11 )",3.08,"(+/- 0.10 )",2.75,"(+/- 0.13 )",2.72,"(+/- 0.08 )",3.04,"(+/- 0.12 )",3.01,"(+/- 0.10 )",2.62,"(+/- 0.08 )",2.08,"(+/- 0.05 )",2.86,"(+/- 0.09 )",2.36,"(+/- 0.07 )",2.91,"(+/- 0.09 )",3.36,"(+/- 0.10 )",1.99,"(+/- 0.05 )",2.47,"(+/- 0.06 )",3.34,"(+/- 0.11 )",2.62,"(+/- 0.10 )",2.36,"(+/- 0.07 )",3.34,"(+/- 0.10 )",2.97,"(+/- 0.12 )",3.60,"(+/- 0.08 )",3.37,"(+/- 0.12 )",3.21,"(+/- 0.14 )",2.81,"(+/- 0.08 )",3.26,"(+/- 0.11 )",2.69,"(+/- 0.12 )",3.34,"(+/- 0.09 )",2.66,"(+/- 0.07 )",2.46,"(+/- 0.07 )",2.71,"(+/- 0.09 )",3.11,"(+/- 0.10 )",3.20,"(+/- 0.09 )",2.32,"(+/- 0.08 )",2.42,"(+/- 0.07 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",273582,"(+/- 4173 )",283713,"(+/- 3842 )",260084,"(+/- 3882 )",303443,"(+/- 4098 )",269118,"(+/- 4692 )",294556,"(+/- 5054 )",277487,"(+/- 5194 )",246866,"(+/- 5321 )",250217,"(+/- 5124 )",242542,"(+/- 4132 )",276718,"(+/- 4066 )",319041,"(+/- 5204 )",295012,"(+/- 4615 )",254999,"(+/- 4426 )",262584,"(+/- 4966 )",222784,"(+/- 3738 )",270566,"(+/- 5096 )",267617,"(+/- 4263 )",227519,"(+/- 4827 )",238990,"(+/- 3506 )",193493,"(+/- 4852 )",262225,"(+/- 4103 )",253591,"(+/- 5220 )",263262,"(+/- 3301 )",231829,"(+/- 5079 )",235156,"(+/- 3411 )",245868,"(+/- 4910 )",298062,"(+/- 6528 )",215928,"(+/- 4963 )",288840,"(+/- 6688 )",236464,"(+/- 4601 )",200358,"(+/- 4187 )",293071,"(+/- 6585 )",260864,"(+/- 6639 )",209599,"(+/- 4897 )",282688,"(+/- 5802 )",272429,"(+/- 6836 )",205188,"(+/- 5015 )",237077,"(+/- 4519 )",183319,"(+/- 3872 )",204250,"(+/- 4688 )",250375,"(+/- 4987 )",246946,"(+/- 6550 )",199763,"(+/- 6323 )",292032,"(+/- 5664 )",195442,"(+/- 4193 )",250650,"(+/- 5309 )",277242,"(+/- 4166 )",261145,"(+/- 4901 )",255153,"(+/- 5615 )",204403,"(+/- 4822 )",302301,"(+/- 6268 )",282612,"(+/- 6189 )"
Housing,"Year Householder Moved into Unit","Moved in 2019 or later",69037,"(+/- 4382 )",62689,"(+/- 3529 )",69288,"(+/- 4005 )",72106,"(+/- 4108 )",67057,"(+/- 4236 )",90927,"(+/- 4648 )",69917,"(+/- 4695 )",63587,"(+/- 4904 )",56524,"(+/- 4219 )",57765,"(+/- 4217 )",65920,"(+/- 3637 )",105077,"(+/- 4854 )",81370,"(+/- 3685 )",58962,"(+/- 3559 )",63028,"(+/- 4123 )",50178,"(+/- 4006 )",92719,"(+/- 5099 )",66841,"(+/- 4321 )",56939,"(+/- 3341 )",57540,"(+/- 3828 )",43217,"(+/- 3550 )",66380,"(+/- 4334 )",66256,"(+/- 4457 )",72969,"(+/- 4097 )",51634,"(+/- 3823 )",53116,"(+/- 3190 )",56708,"(+/- 3606 )",88298,"(+/- 4966 )",41524,"(+/- 2586 )",74256,"(+/- 5545 )",64714,"(+/- 4457 )",38640,"(+/- 3475 )",90919,"(+/- 5210 )",82314,"(+/- 5532 )",45710,"(+/- 3463 )",69570,"(+/- 4388 )",71716,"(+/- 4651 )",32042,"(+/- 2515 )",53360,"(+/- 3672 )",31121,"(+/- 2822 )",43911,"(+/- 3224 )",63766,"(+/- 4233 )",59088,"(+/- 4362 )",31412,"(+/- 3094 )",95165,"(+/- 4927 )",47377,"(+/- 3724 )",67007,"(+/- 4121 )",78848,"(+/- 4393 )",81870,"(+/- 4433 )",69751,"(+/- 4831 )",51770,"(+/- 3368 )",109377,"(+/- 5685 )",93442,"(+/- 5278 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2018",64722,"(+/- 3825 )",54143,"(+/- 3993 )",56843,"(+/- 4035 )",71552,"(+/- 4224 )",53989,"(+/- 4288 )",75020,"(+/- 4100 )",67937,"(+/- 3896 )",60327,"(+/- 5291 )",57235,"(+/- 3781 )",57034,"(+/- 3782 )",58981,"(+/- 4164 )",45030,"(+/- 3795 )",58709,"(+/- 3218 )",47344,"(+/- 3363 )",58775,"(+/- 3781 )",62183,"(+/- 4378 )",52327,"(+/- 3490 )",50171,"(+/- 3444 )",47457,"(+/- 3251 )",52005,"(+/- 3606 )",56071,"(+/- 4332 )",69908,"(+/- 4340 )",64116,"(+/- 4997 )",58887,"(+/- 3588 )",50985,"(+/- 3397 )",52094,"(+/- 3471 )",48379,"(+/- 2925 )",58752,"(+/- 4223 )",46527,"(+/- 3055 )",58964,"(+/- 4030 )",54854,"(+/- 3490 )",40965,"(+/- 2875 )",51365,"(+/- 4142 )",52125,"(+/- 4132 )",50171,"(+/- 4223 )",78570,"(+/- 4513 )",54211,"(+/- 3995 )",39067,"(+/- 3100 )",47659,"(+/- 3644 )",36537,"(+/- 2691 )",52148,"(+/- 3232 )",63741,"(+/- 4556 )",53171,"(+/- 3942 )",39820,"(+/- 3453 )",60983,"(+/- 4360 )",44253,"(+/- 3541 )",57334,"(+/- 3581 )",54348,"(+/- 3189 )",56686,"(+/- 4436 )",54520,"(+/- 3921 )",50432,"(+/- 3938 )",61524,"(+/- 4413 )",58801,"(+/- 4197 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",38377,"(+/- 2979 )",40253,"(+/- 2629 )",40846,"(+/- 3593 )",44674,"(+/- 3809 )",46749,"(+/- 3176 )",46465,"(+/- 3677 )",44012,"(+/- 3369 )",40399,"(+/- 3781 )",44188,"(+/- 3911 )",40839,"(+/- 3668 )",42513,"(+/- 3429 )",46922,"(+/- 3441 )",50464,"(+/- 3672 )",34050,"(+/- 2658 )",40190,"(+/- 2933 )",37671,"(+/- 3046 )",32697,"(+/- 2975 )",37610,"(+/- 3011 )",34606,"(+/- 2690 )",38496,"(+/- 3305 )",27337,"(+/- 2959 )",38030,"(+/- 3685 )",38336,"(+/- 3610 )",36761,"(+/- 3351 )",35477,"(+/- 3221 )",33055,"(+/- 2998 )",36264,"(+/- 3252 )",47552,"(+/- 3539 )",39948,"(+/- 3023 )",44656,"(+/- 2783 )",36403,"(+/- 3555 )",30316,"(+/- 2623 )",35754,"(+/- 3362 )",41615,"(+/- 3309 )",35942,"(+/- 3002 )",46144,"(+/- 3548 )",45983,"(+/- 3224 )",34038,"(+/- 3258 )",29327,"(+/- 2552 )",34522,"(+/- 2869 )",35343,"(+/- 3568 )",42914,"(+/- 3542 )",37994,"(+/- 3197 )",34407,"(+/- 3546 )",36579,"(+/- 3526 )",31833,"(+/- 2542 )",36057,"(+/- 2995 )",38783,"(+/- 2921 )",36572,"(+/- 3338 )",38228,"(+/- 3626 )",31459,"(+/- 3349 )",39670,"(+/- 3563 )",40263,"(+/- 3080 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",47905,"(+/- 3610 )",52805,"(+/- 3337 )",45874,"(+/- 2911 )",61731,"(+/- 3965 )",44115,"(+/- 3306 )",40932,"(+/- 2980 )",47117,"(+/- 3417 )",44175,"(+/- 3841 )",47080,"(+/- 3637 )",47138,"(+/- 3635 )",49283,"(+/- 3141 )",54805,"(+/- 4155 )",47997,"(+/- 3029 )",49024,"(+/- 3783 )",47103,"(+/- 3722 )",36205,"(+/- 3116 )",43545,"(+/- 3122 )",51282,"(+/- 3215 )",42455,"(+/- 2824 )",42164,"(+/- 3168 )",32803,"(+/- 2723 )",44177,"(+/- 4030 )",49058,"(+/- 3197 )",43652,"(+/- 3362 )",47733,"(+/- 3122 )",43944,"(+/- 3621 )",43105,"(+/- 3414 )",47238,"(+/- 3732 )",42903,"(+/- 2742 )",50784,"(+/- 3291 )",40320,"(+/- 3620 )",37676,"(+/- 2873 )",45813,"(+/- 3279 )",42057,"(+/- 3390 )",38985,"(+/- 3019 )",54789,"(+/- 3453 )",44894,"(+/- 3344 )",39230,"(+/- 2883 )",45811,"(+/- 3054 )",39861,"(+/- 2852 )",40351,"(+/- 2849 )",50073,"(+/- 3737 )",46616,"(+/- 3349 )",40348,"(+/- 2910 )",45547,"(+/- 3345 )",35755,"(+/- 2855 )",41612,"(+/- 3313 )",46731,"(+/- 3001 )",46434,"(+/- 3782 )",48080,"(+/- 3108 )",33464,"(+/- 2813 )",42050,"(+/- 3214 )",45161,"(+/- 3603 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",26335,"(+/- 2756 )",36075,"(+/- 3033 )",26889,"(+/- 2049 )",29186,"(+/- 2803 )",29636,"(+/- 2819 )",18806,"(+/- 2117 )",24169,"(+/- 2055 )",21711,"(+/- 2856 )",23712,"(+/- 2174 )",22643,"(+/- 2611 )",28920,"(+/- 2616 )",34254,"(+/- 3426 )",26982,"(+/- 2529 )",29822,"(+/- 2221 )",25812,"(+/- 2391 )",17956,"(+/- 2024 )",25153,"(+/- 1820 )",29756,"(+/- 2576 )",22965,"(+/- 2301 )",25424,"(+/- 2211 )",19784,"(+/- 2280 )",24344,"(+/- 2468 )",20195,"(+/- 2335 )",26592,"(+/- 2304 )",27293,"(+/- 2621 )",27310,"(+/- 2348 )",29484,"(+/- 2412 )",31665,"(+/- 3108 )",25137,"(+/- 2340 )",33843,"(+/- 3019 )",21666,"(+/- 2308 )",24052,"(+/- 2167 )",32933,"(+/- 3147 )",23700,"(+/- 2158 )",22326,"(+/- 1893 )",19470,"(+/- 2069 )",28651,"(+/- 2444 )",26922,"(+/- 2393 )",31657,"(+/- 2196 )",22590,"(+/- 2602 )",18106,"(+/- 1827 )",21175,"(+/- 2626 )",24803,"(+/- 2225 )",26456,"(+/- 2417 )",32774,"(+/- 2549 )",19797,"(+/- 1888 )",26357,"(+/- 2245 )",30218,"(+/- 2770 )",23539,"(+/- 2638 )",25134,"(+/- 2452 )",18407,"(+/- 2163 )",25036,"(+/- 2584 )",22526,"(+/- 2390 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",27206,"(+/- 2340 )",37748,"(+/- 2544 )",20344,"(+/- 1682 )",24194,"(+/- 2221 )",27572,"(+/- 2519 )",22406,"(+/- 2177 )",24335,"(+/- 2025 )",16667,"(+/- 2278 )",21478,"(+/- 2174 )",17123,"(+/- 2077 )",31101,"(+/- 2278 )",32953,"(+/- 2476 )",29490,"(+/- 2212 )",35797,"(+/- 2482 )",27676,"(+/- 2392 )",18591,"(+/- 1880 )",24125,"(+/- 1986 )",31957,"(+/- 2218 )",23097,"(+/- 2057 )",23361,"(+/- 2346 )",14281,"(+/- 1780 )",19386,"(+/- 1756 )",15630,"(+/- 2217 )",24401,"(+/- 2095 )",18707,"(+/- 1771 )",25637,"(+/- 1860 )",31928,"(+/- 2368 )",24557,"(+/- 2225 )",19889,"(+/- 1909 )",26337,"(+/- 2380 )",18507,"(+/- 1602 )",28709,"(+/- 2330 )",36287,"(+/- 2841 )",19053,"(+/- 1737 )",16465,"(+/- 1867 )",14145,"(+/- 1832 )",26974,"(+/- 2451 )",33889,"(+/- 2477 )",29263,"(+/- 2081 )",18688,"(+/- 1957 )",14391,"(+/- 1680 )",8706,"(+/- 1572 )",25274,"(+/- 2341 )",27320,"(+/- 2318 )",20984,"(+/- 2140 )",16427,"(+/- 1632 )",22283,"(+/- 2094 )",28314,"(+/- 2169 )",16044,"(+/- 2027 )",19440,"(+/- 2472 )",18871,"(+/- 1473 )",24644,"(+/- 2371 )",22419,"(+/- 1902 )"
Housing,Value,"Owner-occupied units",178020,"(+/- 4422 )",180896,"(+/- 4426 )",154150,"(+/- 4628 )",231164,"(+/- 4557 )",166687,"(+/- 5420 )",150483,"(+/- 4818 )",180854,"(+/- 4718 )",164016,"(+/- 5036 )",161627,"(+/- 6188 )",154026,"(+/- 4891 )",175648,"(+/- 5787 )",120725,"(+/- 4849 )",134622,"(+/- 4274 )",148764,"(+/- 4496 )",171611,"(+/- 4574 )",109678,"(+/- 4514 )",141022,"(+/- 4027 )",161803,"(+/- 4223 )",136183,"(+/- 3986 )",129571,"(+/- 4329 )",98182,"(+/- 4108 )",158138,"(+/- 4147 )",162838,"(+/- 5547 )",148616,"(+/- 3737 )",163966,"(+/- 5050 )",150722,"(+/- 4063 )",132548,"(+/- 4500 )",105835,"(+/- 4503 )",93565,"(+/- 3451 )",152415,"(+/- 4820 )",131250,"(+/- 4074 )",117675,"(+/- 4220 )",148049,"(+/- 5767 )",52810,"(+/- 2782 )",123548,"(+/- 4284 )",191734,"(+/- 6031 )",93882,"(+/- 4198 )",127626,"(+/- 4437 )",157406,"(+/- 4096 )",63150,"(+/- 2736 )",123860,"(+/- 4635 )",187558,"(+/- 4730 )",103133,"(+/- 4223 )",103518,"(+/- 4789 )",178963,"(+/- 4966 )",84613,"(+/- 3131 )",117518,"(+/- 4412 )",155455,"(+/- 4270 )",154105,"(+/- 4802 )",169601,"(+/- 5473 )",91720,"(+/- 4062 )",161163,"(+/- 5992 )",145994,"(+/- 5446 )"
Housing,Value,"Less than $50,000",9917,"(+/- 1648 )",4592,"(+/- 1070 )",5266,"(+/- 1266 )",6085,"(+/- 1327 )",4714,"(+/- 1082 )",7492,"(+/- 1525 )",6106,"(+/- 1143 )",10140,"(+/- 1780 )",3880,"(+/- 1088 )",5906,"(+/- 1138 )",3236,"(+/- 922 )",1493,"(+/- 647 )",1886,"(+/- 523 )",2423,"(+/- 1031 )",3399,"(+/- 979 )",5792,"(+/- 1387 )",1766,"(+/- 707 )",2118,"(+/- 776 )",1854,"(+/- 575 )",2703,"(+/- 816 )",6133,"(+/- 1264 )",7555,"(+/- 1504 )",9066,"(+/- 1839 )",3690,"(+/- 1210 )",5322,"(+/- 1231 )",3176,"(+/- 807 )",1477,"(+/- 637 )",2053,"(+/- 582 )",2149,"(+/- 758 )",2255,"(+/- 884 )",4712,"(+/- 1040 )",3095,"(+/- 888 )",2517,"(+/- 863 )",1024,"(+/- 436 )",4436,"(+/- 1077 )",12584,"(+/- 1928 )",1545,"(+/- 582 )",2030,"(+/- 544 )",1589,"(+/- 458 )",2314,"(+/- 749 )",4193,"(+/- 1002 )",4404,"(+/- 1085 )",1396,"(+/- 624 )",2847,"(+/- 887 )",1706,"(+/- 537 )",1603,"(+/- 467 )",2358,"(+/- 767 )",3348,"(+/- 989 )",2030,"(+/- 692 )",3663,"(+/- 713 )",6675,"(+/- 1188 )",1768,"(+/- 625 )",1161,"(+/- 409 )"
