Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE"
People,Ancestry,"French (except Basque)",4802,"(+/- 1737 )",7348,"(+/- 1536 )",6736,"(+/- 1589 )",4457,"(+/- 1377 )",9513,"(+/- 1704 )",12796,"(+/- 2233 )",6735,"(+/- 1948 )",6411,"(+/- 1906 )",10030,"(+/- 2085 )",9073,"(+/- 2235 )",8617,"(+/- 2134 )",17477,"(+/- 2965 )",10812,"(+/- 2055 )",15622,"(+/- 2944 )",11086,"(+/- 1757 )",13560,"(+/- 1944 )",9441,"(+/- 1872 )",14364,"(+/- 3003 )"
People,Ancestry,"French Canadian",837,"(+/- 575 )",1632,"(+/- 911 )",745,"(+/- 481 )",870,"(+/- 515 )",2521,"(+/- 1024 )",2182,"(+/- 1625 )",971,"(+/- 637 )",469,"(+/- 348 )",1666,"(+/- 682 )",958,"(+/- 641 )",525,"(+/- 312 )",747,"(+/- 533 )",1456,"(+/- 786 )",3206,"(+/- 1582 )",1473,"(+/- 873 )",1686,"(+/- 792 )",942,"(+/- 386 )",854,"(+/- 450 )"
People,Ancestry,German,60561,"(+/- 6173 )",52982,"(+/- 5411 )",70549,"(+/- 5275 )",35413,"(+/- 3652 )",107900,"(+/- 7346 )",157604,"(+/- 7774 )",52470,"(+/- 6007 )",79101,"(+/- 4997 )",105600,"(+/- 6671 )",102618,"(+/- 6946 )",104552,"(+/- 9045 )",154265,"(+/- 7813 )",156928,"(+/- 8593 )",192332,"(+/- 9245 )",168529,"(+/- 7514 )",182442,"(+/- 7807 )",138701,"(+/- 6497 )",190082,"(+/- 8753 )"
People,Ancestry,Greek,5192,"(+/- 2201 )",1029,"(+/- 438 )",5564,"(+/- 1624 )",2549,"(+/- 1370 )",12453,"(+/- 3101 )",8042,"(+/- 2017 )",4711,"(+/- 1265 )",5645,"(+/- 1834 )",11326,"(+/- 3159 )",6617,"(+/- 1802 )",2710,"(+/- 915 )",1687,"(+/- 696 )",2195,"(+/- 925 )",7032,"(+/- 2279 )",1815,"(+/- 917 )",1426,"(+/- 752 )",2977,"(+/- 1517 )",1918,"(+/- 1053 )"
People,Ancestry,Hungarian,1996,"(+/- 1918 )",690,"(+/- 376 )",1736,"(+/- 781 )",1641,"(+/- 756 )",4181,"(+/- 1192 )",3162,"(+/- 1087 )",1425,"(+/- 577 )",2175,"(+/- 932 )",4861,"(+/- 1268 )",2446,"(+/- 708 )",2465,"(+/- 849 )",2183,"(+/- 1097 )",1620,"(+/- 695 )",4375,"(+/- 1357 )",633,"(+/- 332 )",2014,"(+/- 837 )",511,"(+/- 258 )",1889,"(+/- 801 )"
People,Ancestry,Irish,60206,"(+/- 5568 )",31700,"(+/- 4116 )",96992,"(+/- 7288 )",31495,"(+/- 3795 )",99418,"(+/- 7312 )",105580,"(+/- 6762 )",42744,"(+/- 4736 )",55159,"(+/- 4623 )",87288,"(+/- 6720 )",59224,"(+/- 5197 )",76207,"(+/- 7330 )",81172,"(+/- 6458 )",78023,"(+/- 5515 )",104177,"(+/- 7893 )",73961,"(+/- 5719 )",106486,"(+/- 6852 )",75203,"(+/- 5018 )",93037,"(+/- 5452 )"
People,Ancestry,Italian,32680,"(+/- 4893 )",15909,"(+/- 2578 )",48352,"(+/- 4281 )",23093,"(+/- 3625 )",62080,"(+/- 5184 )",70398,"(+/- 6534 )",23638,"(+/- 2935 )",51307,"(+/- 4656 )",45930,"(+/- 5167 )",30384,"(+/- 3613 )",48264,"(+/- 5629 )",23725,"(+/- 3558 )",24031,"(+/- 3137 )",66625,"(+/- 7737 )",14864,"(+/- 2626 )",51720,"(+/- 5494 )",21868,"(+/- 3028 )",22407,"(+/- 3165 )"
People,Ancestry,Lithuanian,4452,"(+/- 1105 )",1536,"(+/- 690 )",14416,"(+/- 3666 )",2256,"(+/- 1012 )",3386,"(+/- 806 )",6343,"(+/- 1755 )",2375,"(+/- 1071 )",2913,"(+/- 1445 )",4026,"(+/- 1311 )",3339,"(+/- 1167 )",5501,"(+/- 1666 )",1357,"(+/- 642 )",1222,"(+/- 377 )",7074,"(+/- 2168 )",784,"(+/- 433 )",3941,"(+/- 1340 )",1974,"(+/- 1206 )",1337,"(+/- 632 )"
People,Ancestry,Norwegian,2971,"(+/- 1312 )",1401,"(+/- 645 )",2557,"(+/- 1013 )",3657,"(+/- 1056 )",8751,"(+/- 1603 )",10209,"(+/- 1824 )",5820,"(+/- 1687 )",6992,"(+/- 1522 )",8356,"(+/- 1672 )",6929,"(+/- 1638 )",4922,"(+/- 1199 )",3163,"(+/- 1043 )",3988,"(+/- 1048 )",15664,"(+/- 2632 )",3645,"(+/- 1319 )",20234,"(+/- 3049 )",7457,"(+/- 1477 )",6430,"(+/- 2231 )"
People,Ancestry,Polish,40528,"(+/- 4406 )",19664,"(+/- 3370 )",98984,"(+/- 9301 )",29801,"(+/- 3296 )",81498,"(+/- 7843 )",76503,"(+/- 6507 )",21741,"(+/- 3284 )",62819,"(+/- 6198 )",60013,"(+/- 5528 )",49628,"(+/- 5353 )",51196,"(+/- 4781 )",15453,"(+/- 2788 )",15772,"(+/- 2537 )",59464,"(+/- 5374 )",10947,"(+/- 1624 )",39436,"(+/- 5484 )",13352,"(+/- 2096 )",11263,"(+/- 2024 )"
People,Ancestry,Portuguese,249,"(+/- 246 )",226,"(+/- 268 )",329,"(+/- 342 )",339,"(+/- 244 )",1071,"(+/- 698 )",1184,"(+/- 687 )",244,"(+/- 284 )",274,"(+/- 291 )",872,"(+/- 562 )",672,"(+/- 492 )",1221,"(+/- 1010 )",40,"(+/- 73 )",1010,"(+/- 555 )",412,"(+/- 485 )",121,"(+/- 135 )",283,"(+/- 272 )",152,"(+/- 153 )",777,"(+/- 402 )"
People,Ancestry,Russian,1793,"(+/- 766 )",1127,"(+/- 701 )",3334,"(+/- 1309 )",2852,"(+/- 930 )",11405,"(+/- 2278 )",8429,"(+/- 2754 )",4659,"(+/- 1287 )",5437,"(+/- 1822 )",15863,"(+/- 2393 )",17990,"(+/- 2568 )",5872,"(+/- 2980 )",1879,"(+/- 1252 )",2921,"(+/- 1473 )",5205,"(+/- 1825 )",597,"(+/- 262 )",2220,"(+/- 1239 )",1783,"(+/- 829 )",1284,"(+/- 704 )"
People,Ancestry,Scotch-Irish,596,"(+/- 392 )",707,"(+/- 395 )",840,"(+/- 376 )",1162,"(+/- 466 )",3714,"(+/- 1046 )",5157,"(+/- 1521 )",2002,"(+/- 964 )",2710,"(+/- 1151 )",3689,"(+/- 1191 )",3072,"(+/- 1738 )",2189,"(+/- 1314 )",6323,"(+/- 2300 )",6656,"(+/- 1925 )",4367,"(+/- 1363 )",5741,"(+/- 1476 )",5471,"(+/- 2220 )",3715,"(+/- 724 )",6522,"(+/- 1254 )"
People,Ancestry,Scottish,3528,"(+/- 1447 )",3535,"(+/- 1337 )",3204,"(+/- 1111 )",3369,"(+/- 934 )",9116,"(+/- 1689 )",14720,"(+/- 2347 )",6019,"(+/- 1487 )",6772,"(+/- 2598 )",10361,"(+/- 2107 )",6754,"(+/- 1426 )",5725,"(+/- 1837 )",10030,"(+/- 2111 )",12402,"(+/- 2441 )",11632,"(+/- 2343 )",9448,"(+/- 1624 )",8493,"(+/- 1831 )",7697,"(+/- 1594 )",13442,"(+/- 1977 )"
People,Ancestry,Slovak,1077,"(+/- 612 )",941,"(+/- 502 )",2934,"(+/- 1153 )",669,"(+/- 329 )",1635,"(+/- 585 )",3216,"(+/- 1181 )",844,"(+/- 559 )",1451,"(+/- 603 )",2980,"(+/- 1115 )",607,"(+/- 383 )",3768,"(+/- 1683 )",614,"(+/- 452 )",1351,"(+/- 738 )",1789,"(+/- 797 )",514,"(+/- 393 )",3881,"(+/- 1244 )",182,"(+/- 166 )",758,"(+/- 435 )"
People,Ancestry,"Subsaharan African",14543,"(+/- 4239 )",24591,"(+/- 4649 )",2292,"(+/- 1254 )",3178,"(+/- 1639 )",4455,"(+/- 2262 )",2762,"(+/- 1154 )",11320,"(+/- 2813 )",5949,"(+/- 3118 )",15808,"(+/- 4177 )",4725,"(+/- 1736 )",14665,"(+/- 3624 )",1875,"(+/- 919 )",8015,"(+/- 2158 )",3334,"(+/- 1675 )",913,"(+/- 605 )",2290,"(+/- 1448 )",9211,"(+/- 3653 )",5062,"(+/- 1777 )"
People,Ancestry,Swedish,7020,"(+/- 2070 )",4287,"(+/- 1196 )",8083,"(+/- 2088 )",5192,"(+/- 1207 )",11935,"(+/- 2290 )",19759,"(+/- 2754 )",6303,"(+/- 2348 )",8675,"(+/- 1529 )",11952,"(+/- 2118 )",12682,"(+/- 2450 )",8383,"(+/- 1893 )",3227,"(+/- 1239 )",6390,"(+/- 1259 )",24875,"(+/- 4401 )",5266,"(+/- 1609 )",30194,"(+/- 3227 )",22399,"(+/- 2107 )",11382,"(+/- 2399 )"
People,Ancestry,Swiss,1494,"(+/- 1128 )",416,"(+/- 358 )",919,"(+/- 679 )",816,"(+/- 442 )",2099,"(+/- 833 )",3010,"(+/- 1023 )",590,"(+/- 443 )",1058,"(+/- 680 )",1697,"(+/- 798 )",1196,"(+/- 532 )",785,"(+/- 465 )",1185,"(+/- 648 )",2524,"(+/- 1153 )",1594,"(+/- 628 )",2708,"(+/- 802 )",1693,"(+/- 728 )",2829,"(+/- 806 )",3752,"(+/- 1008 )"
People,Ancestry,Ukrainian,1381,"(+/- 745 )",221,"(+/- 247 )",2093,"(+/- 874 )",2625,"(+/- 1012 )",6172,"(+/- 2217 )",6604,"(+/- 2313 )",4634,"(+/- 1900 )",3690,"(+/- 1400 )",7868,"(+/- 2252 )",5372,"(+/- 1672 )",2652,"(+/- 1445 )",226,"(+/- 198 )",682,"(+/- 408 )",3961,"(+/- 2049 )",204,"(+/- 261 )",432,"(+/- 345 )",485,"(+/- 358 )",568,"(+/- 458 )"
People,Ancestry,Welsh,1359,"(+/- 799 )",866,"(+/- 521 )",1200,"(+/- 798 )",708,"(+/- 357 )",3113,"(+/- 1168 )",2870,"(+/- 1003 )",1613,"(+/- 653 )",1234,"(+/- 481 )",2055,"(+/- 677 )",1644,"(+/- 778 )",1720,"(+/- 941 )",4558,"(+/- 1506 )",3022,"(+/- 944 )",2647,"(+/- 1059 )",2990,"(+/- 962 )",1942,"(+/- 802 )",3208,"(+/- 1223 )",3862,"(+/- 1224 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",4879,"(+/- 2223 )",4537,"(+/- 1727 )",964,"(+/- 854 )",1333,"(+/- 939 )",2049,"(+/- 1001 )",746,"(+/- 412 )",2845,"(+/- 1111 )",2668,"(+/- 1723 )",4976,"(+/- 2341 )",4572,"(+/- 2091 )",1668,"(+/- 1185 )",1576,"(+/- 1109 )",1307,"(+/- 642 )",138,"(+/- 129 )",243,"(+/- 254 )",871,"(+/- 868 )",520,"(+/- 341 )",335,"(+/- 254 )"
People,"Veteran Status","Civilian population 18 years and over",528763,"(+/- 12155 )",522020,"(+/- 9874 )",560066,"(+/- 13126 )",502061,"(+/- 13351 )",604311,"(+/- 12416 )",572245,"(+/- 9643 )",601871,"(+/- 13521 )",540073,"(+/- 9934 )",579368,"(+/- 11542 )",538890,"(+/- 6388 )",547418,"(+/- 8430 )",517254,"(+/- 3552 )",553850,"(+/- 6348 )",558085,"(+/- 10189 )",522979,"(+/- 4161 )",535926,"(+/- 5477 )",519840,"(+/- 6545 )",543557,"(+/- 6289 )"
People,"Veteran Status","Civilian veterans",22081,"(+/- 2608 )",28060,"(+/- 2904 )",24514,"(+/- 2564 )",8909,"(+/- 1418 )",15447,"(+/- 2025 )",24725,"(+/- 2333 )",18192,"(+/- 2628 )",21902,"(+/- 2189 )",16552,"(+/- 1823 )",23782,"(+/- 2059 )",23562,"(+/- 3064 )",49120,"(+/- 3245 )",34678,"(+/- 2813 )",28189,"(+/- 2940 )",41900,"(+/- 2258 )",37240,"(+/- 2547 )",37374,"(+/- 2855 )",40125,"(+/- 2843 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",672019,"(+/- 15927 )",676011,"(+/- 13043 )",716206,"(+/- 18453 )",638801,"(+/- 17171 )",746700,"(+/- 16251 )",747808,"(+/- 11859 )",733572,"(+/- 17532 )",697144,"(+/- 11482 )",725682,"(+/- 14995 )",700125,"(+/- 8492 )",713377,"(+/- 10503 )",648341,"(+/- 4717 )",678712,"(+/- 8354 )",731660,"(+/- 11933 )",656725,"(+/- 5922 )",673833,"(+/- 7238 )",648402,"(+/- 9013 )",690211,"(+/- 8519 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",96008,"(+/- 5185 )",96059,"(+/- 6160 )",76361,"(+/- 4997 )",59204,"(+/- 4522 )",57623,"(+/- 4985 )",64779,"(+/- 4253 )",89106,"(+/- 5961 )",64016,"(+/- 4952 )",73867,"(+/- 4834 )",67217,"(+/- 4582 )",73555,"(+/- 5741 )",120463,"(+/- 4731 )",88492,"(+/- 5156 )",71145,"(+/- 5232 )",112301,"(+/- 5185 )",90438,"(+/- 5101 )",99737,"(+/- 4593 )",87629,"(+/- 4717 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",147354,"(+/- 8926 )",158672,"(+/- 9286 )",162434,"(+/- 9610 )",138599,"(+/- 7384 )",146375,"(+/- 7883 )",181499,"(+/- 7797 )",145110,"(+/- 9275 )",160790,"(+/- 8049 )",155489,"(+/- 7742 )",168667,"(+/- 4858 )",170180,"(+/- 6285 )",145735,"(+/- 2539 )",136248,"(+/- 4104 )",176621,"(+/- 6891 )",151288,"(+/- 3058 )",149658,"(+/- 3920 )",144806,"(+/- 4993 )",157567,"(+/- 4246 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6016,"(+/- 1604 )",8232,"(+/- 1929 )",5377,"(+/- 1565 )",3537,"(+/- 937 )",3639,"(+/- 1049 )",5881,"(+/- 1504 )",6852,"(+/- 2102 )",5771,"(+/- 1583 )",4604,"(+/- 1432 )",5819,"(+/- 1673 )",6810,"(+/- 1781 )",8977,"(+/- 1662 )",5169,"(+/- 1284 )",6038,"(+/- 1663 )",7897,"(+/- 1348 )",7728,"(+/- 1465 )",6641,"(+/- 1368 )",7346,"(+/- 1436 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",406371,"(+/- 11430 )",403842,"(+/- 9406 )",430615,"(+/- 12078 )",423427,"(+/- 12221 )",505493,"(+/- 11337 )",444193,"(+/- 9505 )",493095,"(+/- 14190 )",434127,"(+/- 10779 )",438445,"(+/- 10620 )",418100,"(+/- 6217 )",448010,"(+/- 8842 )",383003,"(+/- 4040 )",426076,"(+/- 6249 )",444799,"(+/- 9617 )",377583,"(+/- 4215 )",399728,"(+/- 5567 )",375618,"(+/- 6336 )",400192,"(+/- 6276 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",48795,"(+/- 3831 )",50322,"(+/- 5005 )",34658,"(+/- 3507 )",33442,"(+/- 3499 )",27541,"(+/- 3539 )",28693,"(+/- 3083 )",47262,"(+/- 5003 )",27357,"(+/- 3151 )",30036,"(+/- 3180 )",31525,"(+/- 3041 )",38339,"(+/- 4729 )",65914,"(+/- 4526 )",48106,"(+/- 3945 )",34495,"(+/- 4113 )",55935,"(+/- 3817 )",43876,"(+/- 3962 )",50903,"(+/- 3452 )",39697,"(+/- 3822 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",118294,"(+/- 5345 )",113497,"(+/- 4948 )",123157,"(+/- 5997 )",76775,"(+/- 5299 )",94832,"(+/- 4461 )",122116,"(+/- 5108 )",95367,"(+/- 4534 )",102227,"(+/- 5763 )",131748,"(+/- 5450 )",113358,"(+/- 3254 )",95187,"(+/- 4689 )",119603,"(+/- 2141 )",116388,"(+/- 3273 )",110240,"(+/- 4259 )",127854,"(+/- 2462 )",124447,"(+/- 2065 )",127978,"(+/- 2852 )",132452,"(+/- 2852 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",41197,"(+/- 3227 )",37505,"(+/- 3488 )",36326,"(+/- 3611 )",22225,"(+/- 2562 )",26443,"(+/- 2665 )",30205,"(+/- 2334 )",34992,"(+/- 3607 )",30888,"(+/- 2763 )",39227,"(+/- 3369 )",29873,"(+/- 2430 )",28406,"(+/- 2839 )",45572,"(+/- 2541 )",35217,"(+/- 2694 )",30612,"(+/- 2816 )",48469,"(+/- 2685 )",38834,"(+/- 2275 )",42193,"(+/- 3007 )",40586,"(+/- 2707 )"
People,"Residence 1 Year Ago","Population 1 year and over",669701,"(+/- 15568 )",676461,"(+/- 12679 )",713840,"(+/- 18096 )",634190,"(+/- 16758 )",742291,"(+/- 16029 )",747285,"(+/- 11691 )",738505,"(+/- 17060 )",693090,"(+/- 11300 )",728225,"(+/- 15230 )",713422,"(+/- 8089 )",711825,"(+/- 10502 )",660391,"(+/- 4048 )",683431,"(+/- 7841 )",729058,"(+/- 12208 )",668264,"(+/- 5591 )",679313,"(+/- 7555 )",658674,"(+/- 8864 )",696469,"(+/- 8060 )"
People,"Residence 1 Year Ago","Same house",597250,"(+/- 17396 )",626776,"(+/- 13720 )",657339,"(+/- 19546 )",574631,"(+/- 17321 )",620952,"(+/- 14526 )",660180,"(+/- 13335 )",615106,"(+/- 19263 )",624603,"(+/- 13421 )",638749,"(+/- 14746 )",619012,"(+/- 11302 )",640307,"(+/- 13326 )",579840,"(+/- 9123 )",572513,"(+/- 9343 )",665355,"(+/- 13123 )",597921,"(+/- 7449 )",603777,"(+/- 9695 )",577777,"(+/- 9408 )",623697,"(+/- 8296 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",72451,"(+/- 8497 )",49685,"(+/- 6300 )",56501,"(+/- 7632 )",59559,"(+/- 6413 )",121339,"(+/- 8269 )",87105,"(+/- 9803 )",123399,"(+/- 9774 )",68487,"(+/- 7475 )",89476,"(+/- 8262 )",94410,"(+/- 8009 )",71518,"(+/- 8424 )",80551,"(+/- 7312 )",110918,"(+/- 8140 )",63703,"(+/- 7699 )",70343,"(+/- 6007 )",75536,"(+/- 7135 )",80897,"(+/- 6236 )",72772,"(+/- 5592 )"
People,"Residence 1 Year Ago","Different house in the U.S.",70350,"(+/- 8500 )",48387,"(+/- 6236 )",54377,"(+/- 7634 )",57393,"(+/- 6338 )",115225,"(+/- 7968 )",82844,"(+/- 9513 )",116411,"(+/- 9292 )",65512,"(+/- 7593 )",84940,"(+/- 7861 )",91765,"(+/- 8189 )",68732,"(+/- 8461 )",78843,"(+/- 7278 )",105223,"(+/- 7856 )",62147,"(+/- 7563 )",69440,"(+/- 5989 )",74222,"(+/- 7250 )",78600,"(+/- 5967 )",71519,"(+/- 5490 )"
People,"Residence 1 Year Ago","Same county",53413,"(+/- 8301 )",35843,"(+/- 6412 )",43729,"(+/- 7441 )",46861,"(+/- 5888 )",87198,"(+/- 7074 )",35345,"(+/- 5069 )",87698,"(+/- 8239 )",40466,"(+/- 6030 )",61811,"(+/- 6890 )",50188,"(+/- 6757 )",31024,"(+/- 4897 )",45699,"(+/- 6335 )",64425,"(+/- 6988 )",28162,"(+/- 4594 )",36178,"(+/- 3918 )",37215,"(+/- 5383 )",51208,"(+/- 5027 )",45688,"(+/- 4385 )"
People,"Residence 1 Year Ago","Different county",16937,"(+/- 4475 )",12544,"(+/- 2881 )",10648,"(+/- 2468 )",10532,"(+/- 2601 )",28027,"(+/- 3684 )",47499,"(+/- 8539 )",28713,"(+/- 4183 )",25046,"(+/- 3908 )",23129,"(+/- 3616 )",41577,"(+/- 5109 )",37708,"(+/- 6837 )",33144,"(+/- 4234 )",40798,"(+/- 4452 )",33985,"(+/- 6298 )",33262,"(+/- 4136 )",37007,"(+/- 4844 )",27392,"(+/- 3504 )",25831,"(+/- 2783 )"
People,"Residence 1 Year Ago","Same state",5772,"(+/- 2410 )",7464,"(+/- 2362 )",6739,"(+/- 2027 )",3129,"(+/- 1115 )",10031,"(+/- 2280 )",36085,"(+/- 7732 )",11532,"(+/- 3271 )",18413,"(+/- 3221 )",6115,"(+/- 1773 )",18125,"(+/- 3319 )",31509,"(+/- 5927 )",18914,"(+/- 2928 )",29242,"(+/- 3599 )",27654,"(+/- 6033 )",23544,"(+/- 3568 )",28119,"(+/- 4553 )",17752,"(+/- 2713 )",18463,"(+/- 2223 )"
People,"Residence 1 Year Ago","Different state",11165,"(+/- 3871 )",5080,"(+/- 2184 )",3909,"(+/- 1523 )",7403,"(+/- 2092 )",17996,"(+/- 3046 )",11414,"(+/- 3302 )",17181,"(+/- 2941 )",6633,"(+/- 2091 )",17014,"(+/- 3276 )",23452,"(+/- 3275 )",6199,"(+/- 2054 )",14230,"(+/- 3211 )",11556,"(+/- 2280 )",6331,"(+/- 1681 )",9718,"(+/- 2409 )",8888,"(+/- 2366 )",9640,"(+/- 2100 )",7368,"(+/- 1653 )"
People,"Residence 1 Year Ago",Abroad,2101,"(+/- 986 )",1298,"(+/- 566 )",2124,"(+/- 943 )",2166,"(+/- 968 )",6114,"(+/- 2307 )",4261,"(+/- 2098 )",6988,"(+/- 3358 )",2975,"(+/- 1079 )",4536,"(+/- 1849 )",2645,"(+/- 903 )",2786,"(+/- 1391 )",1708,"(+/- 1203 )",5695,"(+/- 2228 )",1556,"(+/- 905 )",903,"(+/- 454 )",1314,"(+/- 840 )",2297,"(+/- 953 )",1253,"(+/- 743 )"
Workers,"Employment Status","Population 16 years and over",547960,"(+/- 12637 )",541532,"(+/- 10376 )",580108,"(+/- 14113 )",520373,"(+/- 13659 )",618108,"(+/- 12561 )",593698,"(+/- 9661 )",616102,"(+/- 14135 )",559501,"(+/- 10097 )",597649,"(+/- 11707 )",571680,"(+/- 6778 )",571305,"(+/- 9210 )",539651,"(+/- 3982 )",569846,"(+/- 6484 )",579612,"(+/- 10684 )",542121,"(+/- 4732 )",553965,"(+/- 5957 )",538199,"(+/- 6632 )",561634,"(+/- 6620 )"
Workers,"Employment Status","In labor force",337290,"(+/- 10336 )",327347,"(+/- 9691 )",370669,"(+/- 11560 )",351479,"(+/- 10245 )",448600,"(+/- 10094 )",400618,"(+/- 9018 )",403594,"(+/- 11973 )",387435,"(+/- 10923 )",390981,"(+/- 10665 )",380794,"(+/- 7308 )",394895,"(+/- 9788 )",318461,"(+/- 6277 )",338165,"(+/- 7859 )",404640,"(+/- 10714 )",319530,"(+/- 5448 )",344597,"(+/- 6863 )",315620,"(+/- 7267 )",350079,"(+/- 7160 )"
Workers,"Employment Status","Civilian labor force",337097,"(+/- 10368 )",327057,"(+/- 9695 )",370579,"(+/- 11539 )",351296,"(+/- 10292 )",448600,"(+/- 10094 )",400211,"(+/- 9108 )",403401,"(+/- 11974 )",387118,"(+/- 10983 )",390848,"(+/- 10674 )",369430,"(+/- 7316 )",394656,"(+/- 9808 )",313977,"(+/- 6528 )",337862,"(+/- 7877 )",403001,"(+/- 10594 )",318443,"(+/- 5462 )",344311,"(+/- 6878 )",315225,"(+/- 7311 )",348967,"(+/- 7217 )"
Workers,"Employment Status",Employed,291659,"(+/- 9765 )",286160,"(+/- 9479 )",341303,"(+/- 10562 )",325431,"(+/- 9884 )",420736,"(+/- 10122 )",375276,"(+/- 8618 )",360998,"(+/- 10940 )",367388,"(+/- 10638 )",365449,"(+/- 9604 )",343696,"(+/- 7359 )",367777,"(+/- 9398 )",292696,"(+/- 7007 )",317020,"(+/- 7416 )",383249,"(+/- 10235 )",302083,"(+/- 5395 )",317202,"(+/- 6670 )",289098,"(+/- 7396 )",331971,"(+/- 6952 )"
Workers,"Employment Status",Unemployed,45438,"(+/- 5030 )",40897,"(+/- 4186 )",29276,"(+/- 3575 )",25865,"(+/- 2805 )",27864,"(+/- 2985 )",24935,"(+/- 3207 )",42403,"(+/- 3918 )",19730,"(+/- 2730 )",25399,"(+/- 2677 )",25734,"(+/- 2826 )",26879,"(+/- 3545 )",21281,"(+/- 2520 )",20842,"(+/- 2782 )",19752,"(+/- 2435 )",16360,"(+/- 1969 )",27109,"(+/- 2766 )",26127,"(+/- 2754 )",16996,"(+/- 2645 )"
Workers,"Employment Status","Armed Forces",193,"(+/- 308 )",290,"(+/- 343 )",90,"(+/- 151 )",183,"(+/- 240 )",0,"(+/- 201 )",407,"(+/- 347 )",193,"(+/- 213 )",317,"(+/- 431 )",133,"(+/- 127 )",11364,"(+/- 1240 )",239,"(+/- 261 )",4484,"(+/- 1049 )",303,"(+/- 214 )",1639,"(+/- 1351 )",1087,"(+/- 688 )",286,"(+/- 231 )",395,"(+/- 320 )",1112,"(+/- 486 )"
Workers,"Employment Status","Not in labor force",210670,"(+/- 8615 )",214185,"(+/- 8015 )",209439,"(+/- 8804 )",168894,"(+/- 8116 )",169508,"(+/- 6940 )",193080,"(+/- 6877 )",212508,"(+/- 7906 )",172066,"(+/- 7162 )",206668,"(+/- 6813 )",190886,"(+/- 6724 )",176410,"(+/- 7200 )",221190,"(+/- 7187 )",231681,"(+/- 6767 )",174972,"(+/- 6585 )",222591,"(+/- 4873 )",209368,"(+/- 6081 )",222579,"(+/- 6061 )",211555,"(+/- 6290 )"
Workers,"Employment Status","Civilian labor force",337097,"(+/- 10368 )",327057,"(+/- 9695 )",370579,"(+/- 11539 )",351296,"(+/- 10292 )",448600,"(+/- 10094 )",400211,"(+/- 9108 )",403401,"(+/- 11974 )",387118,"(+/- 10983 )",390848,"(+/- 10674 )",369430,"(+/- 7316 )",394656,"(+/- 9808 )",313977,"(+/- 6528 )",337862,"(+/- 7877 )",403001,"(+/- 10594 )",318443,"(+/- 5462 )",344311,"(+/- 6878 )",315225,"(+/- 7311 )",348967,"(+/- 7217 )"
Workers,"Employment Status","Unemployment Rate",13.5,"(+/- 1.4 )",12.5,"(+/- 1.2 )",7.9,"(+/- 0.9 )",7.4,"(+/- 0.8 )",6.2,"(+/- 0.7 )",6.2,"(+/- 0.8 )",10.5,"(+/- 0.9 )",5.1,"(+/- 0.7 )",6.5,"(+/- 0.6 )",7.0,"(+/- 0.8 )",6.8,"(+/- 0.9 )",6.8,"(+/- 0.8 )",6.2,"(+/- 0.8 )",4.9,"(+/- 0.6 )",5.1,"(+/- 0.6 )",7.9,"(+/- 0.8 )",8.3,"(+/- 0.9 )",4.9,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",282511,"(+/- 9557 )",277168,"(+/- 9400 )",333046,"(+/- 10262 )",318874,"(+/- 9944 )",415219,"(+/- 10100 )",369108,"(+/- 8667 )",353671,"(+/- 10893 )",361652,"(+/- 10492 )",359542,"(+/- 9718 )",347599,"(+/- 7639 )",361431,"(+/- 9664 )",290041,"(+/- 6651 )",310525,"(+/- 7719 )",375779,"(+/- 10434 )",296903,"(+/- 5349 )",311355,"(+/- 6939 )",283858,"(+/- 7070 )",326835,"(+/- 6972 )"
