Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",23545,"(+/- 3475 )",16635,"(+/- 3092 )",31176,"(+/- 3972 )",40404,"(+/- 6805 )",18400,"(+/- 3940 )",28632,"(+/- 5400 )",76730,"(+/- 9201 )",33848,"(+/- 5439 )",168882,"(+/- 15547 )",115207,"(+/- 13721 )",21355,"(+/- 4418 )",42238,"(+/- 6001 )",26755,"(+/- 4461 )",85814,"(+/- 8631 )",67687,"(+/- 10991 )",46441,"(+/- 6942 )",22011,"(+/- 4280 )",76185,"(+/- 8803 )",71502,"(+/- 8828 )",105401,"(+/- 11453 )",114247,"(+/- 10271 )",118158,"(+/- 10656 )",185226,"(+/- 11187 )",180840,"(+/- 13415 )",195157,"(+/- 12382 )",192725,"(+/- 16108 )",222506,"(+/- 12731 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",760361,"(+/- 1783 )",693658,"(+/- 12102 )",688160,"(+/- 8632 )",801066,"(+/- 16035 )",678911,"(+/- 16855 )",696068,"(+/- 10833 )",584634,"(+/- 13931 )",698020,"(+/- 3023 )",540330,"(+/- 16946 )",603062,"(+/- 16099 )",738088,"(+/- 13082 )",698060,"(+/- 9202 )",646927,"(+/- 8838 )",546814,"(+/- 12253 )",605236,"(+/- 16239 )",742718,"(+/- 14210 )",668870,"(+/- 11773 )",663775,"(+/- 10685 )",663302,"(+/- 10966 )",556433,"(+/- 15117 )",588753,"(+/- 13009 )",588911,"(+/- 13448 )",456782,"(+/- 13553 )",400491,"(+/- 14198 )",197394,"(+/- 9696 )",223881,"(+/- 13067 )",219508,"(+/- 10927 )"
People,"Place of Birth","Total population",821362,"(+/- 1734 )",749149,"(+/- 12832 )",774718,"(+/- 7665 )",893302,"(+/- 17862 )",747582,"(+/- 18495 )",814531,"(+/- 12192 )",787989,"(+/- 17445 )",793922,"(+/- 3216 )",1002804,"(+/- 25300 )",859992,"(+/- 21270 )",850097,"(+/- 13189 )",829889,"(+/- 8923 )",723346,"(+/- 8713 )",810520,"(+/- 15432 )",820172,"(+/- 20305 )",907070,"(+/- 16904 )",802733,"(+/- 12562 )",809802,"(+/- 11489 )",864808,"(+/- 13259 )",761114,"(+/- 15672 )",797947,"(+/- 11935 )",783681,"(+/- 10237 )",765245,"(+/- 10105 )",735549,"(+/- 17682 )",761486,"(+/- 15207 )",784436,"(+/- 16458 )",727882,"(+/- 18944 )"
People,"Place of Birth",Native,772095,"(+/- 5321 )",704005,"(+/- 13522 )",715695,"(+/- 9239 )",791650,"(+/- 16143 )",686632,"(+/- 17347 )",743932,"(+/- 12805 )",665558,"(+/- 16291 )",719817,"(+/- 7979 )",800070,"(+/- 25114 )",635244,"(+/- 18022 )",789922,"(+/- 14667 )",736154,"(+/- 10001 )",635475,"(+/- 9975 )",629990,"(+/- 15936 )",714466,"(+/- 19672 )",785266,"(+/- 17488 )",708441,"(+/- 11699 )",678983,"(+/- 13085 )",708394,"(+/- 14558 )",479174,"(+/- 15979 )",550584,"(+/- 13949 )",549758,"(+/- 10978 )",478268,"(+/- 12283 )",388427,"(+/- 12518 )",346444,"(+/- 12530 )",408570,"(+/- 15806 )",349461,"(+/- 15049 )"
People,"Place of Birth","Born in United States",748602,"(+/- 6420 )",687653,"(+/- 12884 )",691604,"(+/- 9850 )",769090,"(+/- 15768 )",669576,"(+/- 17258 )",712062,"(+/- 12386 )",616159,"(+/- 15516 )",692216,"(+/- 7944 )",655703,"(+/- 22067 )",578788,"(+/- 17406 )",760405,"(+/- 14658 )",714374,"(+/- 9309 )",620005,"(+/- 10442 )",592250,"(+/- 15296 )",665955,"(+/- 20135 )",758898,"(+/- 17427 )",689412,"(+/- 11661 )",657850,"(+/- 13226 )",688819,"(+/- 14740 )",456639,"(+/- 16070 )",532645,"(+/- 13407 )",522540,"(+/- 11356 )",449129,"(+/- 12999 )",360183,"(+/- 12259 )",329471,"(+/- 12607 )",382304,"(+/- 15743 )",324491,"(+/- 14347 )"
People,"Place of Birth","State of residence",314956,"(+/- 9927 )",400091,"(+/- 13274 )",398941,"(+/- 9440 )",350487,"(+/- 12231 )",436601,"(+/- 16761 )",278560,"(+/- 10275 )",294431,"(+/- 13284 )",256909,"(+/- 9918 )",318040,"(+/- 14978 )",308424,"(+/- 14364 )",258701,"(+/- 10599 )",282421,"(+/- 10675 )",250292,"(+/- 9111 )",317829,"(+/- 12109 )",344336,"(+/- 16587 )",279329,"(+/- 12889 )",243590,"(+/- 10509 )",259469,"(+/- 12949 )",209536,"(+/- 9320 )",325404,"(+/- 14484 )",215414,"(+/- 11149 )",230218,"(+/- 10864 )",264083,"(+/- 12023 )",282010,"(+/- 12251 )",208162,"(+/- 11452 )",281200,"(+/- 14543 )",219607,"(+/- 12487 )"
People,"Place of Birth","Different state",433646,"(+/- 10443 )",287562,"(+/- 10441 )",292663,"(+/- 10486 )",418603,"(+/- 15678 )",232975,"(+/- 12309 )",433502,"(+/- 11115 )",321728,"(+/- 11135 )",435307,"(+/- 10808 )",337663,"(+/- 16601 )",270364,"(+/- 14841 )",501704,"(+/- 13230 )",431953,"(+/- 10778 )",369713,"(+/- 10426 )",274421,"(+/- 11688 )",321619,"(+/- 15294 )",479569,"(+/- 14130 )",445822,"(+/- 9620 )",398381,"(+/- 11369 )",479283,"(+/- 12751 )",131235,"(+/- 8232 )",317231,"(+/- 10136 )",292322,"(+/- 9322 )",185046,"(+/- 9541 )",78173,"(+/- 5591 )",121309,"(+/- 7542 )",101104,"(+/- 6992 )",104884,"(+/- 7088 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",23493,"(+/- 2874 )",16352,"(+/- 2892 )",24091,"(+/- 4378 )",22560,"(+/- 4140 )",17056,"(+/- 3234 )",31870,"(+/- 4284 )",49399,"(+/- 5622 )",27601,"(+/- 4050 )",144367,"(+/- 12683 )",56456,"(+/- 9190 )",29517,"(+/- 5173 )",21780,"(+/- 2792 )",15470,"(+/- 2688 )",37740,"(+/- 4621 )",48511,"(+/- 5611 )",26368,"(+/- 4405 )",19029,"(+/- 2844 )",21133,"(+/- 4259 )",19575,"(+/- 4023 )",22535,"(+/- 3453 )",17939,"(+/- 3139 )",27218,"(+/- 4661 )",29139,"(+/- 3517 )",28244,"(+/- 3390 )",16973,"(+/- 3500 )",26266,"(+/- 4479 )",24970,"(+/- 3730 )"
People,"Place of Birth","Foreign born",49267,"(+/- 4855 )",45144,"(+/- 4212 )",59023,"(+/- 5427 )",101652,"(+/- 10703 )",60950,"(+/- 7370 )",70599,"(+/- 5712 )",122431,"(+/- 9915 )",74105,"(+/- 6579 )",202734,"(+/- 12530 )",224748,"(+/- 14895 )",60175,"(+/- 6438 )",93735,"(+/- 6473 )",87871,"(+/- 6756 )",180530,"(+/- 10783 )",105706,"(+/- 8616 )",121804,"(+/- 8487 )",94292,"(+/- 6685 )",130819,"(+/- 8951 )",156414,"(+/- 9078 )",281940,"(+/- 13661 )",247363,"(+/- 11968 )",233923,"(+/- 9331 )",286977,"(+/- 11083 )",347122,"(+/- 16047 )",415042,"(+/- 11371 )",375866,"(+/- 14863 )",378421,"(+/- 15236 )"
People,Ancestry,"Total population",821362,"(+/- 1734 )",749149,"(+/- 12832 )",774718,"(+/- 7665 )",893302,"(+/- 17862 )",747582,"(+/- 18495 )",814531,"(+/- 12192 )",787989,"(+/- 17445 )",793922,"(+/- 3216 )",1002804,"(+/- 25300 )",859992,"(+/- 21270 )",850097,"(+/- 13189 )",829889,"(+/- 8923 )",723346,"(+/- 8713 )",810520,"(+/- 15432 )",820172,"(+/- 20305 )",907070,"(+/- 16904 )",802733,"(+/- 12562 )",809802,"(+/- 11489 )",864808,"(+/- 13259 )",761114,"(+/- 15672 )",797947,"(+/- 11935 )",783681,"(+/- 10237 )",765245,"(+/- 10105 )",735549,"(+/- 17682 )",761486,"(+/- 15207 )",784436,"(+/- 16458 )",727882,"(+/- 18944 )"
People,Ancestry,American,57794,"(+/- 6556 )",62144,"(+/- 5997 )",46983,"(+/- 6287 )",72853,"(+/- 10442 )",66200,"(+/- 12082 )",49770,"(+/- 6540 )",98880,"(+/- 10425 )",52813,"(+/- 7154 )",87071,"(+/- 10877 )",87150,"(+/- 14545 )",94303,"(+/- 11428 )",104094,"(+/- 10507 )",61786,"(+/- 7482 )",38228,"(+/- 5233 )",90176,"(+/- 10210 )",71330,"(+/- 7546 )",71518,"(+/- 7167 )",142731,"(+/- 14545 )",76238,"(+/- 8907 )",52428,"(+/- 9306 )",49042,"(+/- 5564 )",38297,"(+/- 4587 )",66506,"(+/- 10119 )",53874,"(+/- 8262 )",37896,"(+/- 5629 )",39779,"(+/- 7546 )",29621,"(+/- 5346 )"
People,Ancestry,Arab,1982,"(+/- 1092 )",2258,"(+/- 1362 )",4188,"(+/- 1926 )",10817,"(+/- 3852 )",4010,"(+/- 2400 )",2947,"(+/- 1043 )",6762,"(+/- 2175 )",4275,"(+/- 2061 )",7868,"(+/- 3180 )",8493,"(+/- 2650 )",1581,"(+/- 1114 )",8413,"(+/- 3127 )",4863,"(+/- 2875 )",8079,"(+/- 3091 )",4798,"(+/- 2122 )",4419,"(+/- 1411 )",2343,"(+/- 1107 )",2924,"(+/- 1169 )",3204,"(+/- 1227 )",3434,"(+/- 2236 )",8499,"(+/- 3378 )",8590,"(+/- 2007 )",6774,"(+/- 2227 )",4144,"(+/- 1628 )",2428,"(+/- 1181 )",7438,"(+/- 4014 )",7675,"(+/- 2200 )"
People,Ancestry,Czech,1361,"(+/- 713 )",2351,"(+/- 1401 )",1295,"(+/- 987 )",2284,"(+/- 1312 )",711,"(+/- 562 )",2531,"(+/- 1106 )",2255,"(+/- 865 )",1664,"(+/- 819 )",2164,"(+/- 1209 )",1531,"(+/- 1558 )",2730,"(+/- 1081 )",2035,"(+/- 724 )",2449,"(+/- 770 )",2167,"(+/- 1076 )",1411,"(+/- 786 )",3858,"(+/- 1472 )",4010,"(+/- 1390 )",2311,"(+/- 891 )",4616,"(+/- 1818 )",825,"(+/- 720 )",1260,"(+/- 671 )",1847,"(+/- 967 )",1701,"(+/- 1012 )",441,"(+/- 410 )",471,"(+/- 307 )",136,"(+/- 146 )",853,"(+/- 581 )"
People,Ancestry,Danish,2555,"(+/- 1644 )",1982,"(+/- 980 )",1132,"(+/- 597 )",1463,"(+/- 711 )",660,"(+/- 518 )",1673,"(+/- 514 )",1407,"(+/- 730 )",1917,"(+/- 716 )",416,"(+/- 271 )",868,"(+/- 509 )",1541,"(+/- 712 )",1653,"(+/- 682 )",3221,"(+/- 1351 )",1281,"(+/- 555 )",2043,"(+/- 809 )",2179,"(+/- 1012 )",1612,"(+/- 655 )",1986,"(+/- 961 )",2330,"(+/- 830 )",509,"(+/- 473 )",1187,"(+/- 538 )",591,"(+/- 369 )",718,"(+/- 533 )",54,"(+/- 91 )",1123,"(+/- 1026 )",571,"(+/- 589 )",1000,"(+/- 570 )"
People,Ancestry,Dutch,7459,"(+/- 1708 )",4911,"(+/- 1195 )",3996,"(+/- 1523 )",7482,"(+/- 2551 )",2694,"(+/- 943 )",8122,"(+/- 1737 )",5829,"(+/- 1412 )",9733,"(+/- 2493 )",5951,"(+/- 1986 )",7321,"(+/- 4484 )",10259,"(+/- 2571 )",8091,"(+/- 1975 )",6524,"(+/- 1472 )",4449,"(+/- 1370 )",6019,"(+/- 2565 )",9764,"(+/- 1560 )",7406,"(+/- 1639 )",8024,"(+/- 2722 )",7331,"(+/- 1846 )",949,"(+/- 489 )",3248,"(+/- 1134 )",4581,"(+/- 1725 )",3164,"(+/- 1035 )",657,"(+/- 525 )",3589,"(+/- 1455 )",1163,"(+/- 618 )",1630,"(+/- 683 )"
People,Ancestry,English,110495,"(+/- 8780 )",97057,"(+/- 6574 )",110316,"(+/- 9373 )",116511,"(+/- 8806 )",44814,"(+/- 4921 )",90959,"(+/- 7024 )",76655,"(+/- 7012 )",110252,"(+/- 8121 )",58294,"(+/- 6975 )",43537,"(+/- 5237 )",110238,"(+/- 8177 )",90587,"(+/- 6884 )",88262,"(+/- 5977 )",60370,"(+/- 5289 )",63382,"(+/- 6111 )",107157,"(+/- 8373 )",99860,"(+/- 8043 )",75539,"(+/- 7411 )",77739,"(+/- 5625 )",14325,"(+/- 2550 )",45210,"(+/- 4091 )",45296,"(+/- 4083 )",28021,"(+/- 4219 )",6141,"(+/- 1559 )",20586,"(+/- 3431 )",14866,"(+/- 2997 )",16905,"(+/- 2906 )"
People,Ancestry,"French (except Basque)",20408,"(+/- 5055 )",16726,"(+/- 2640 )",14292,"(+/- 2874 )",19240,"(+/- 3189 )",7761,"(+/- 2254 )",19731,"(+/- 2850 )",12122,"(+/- 2421 )",19022,"(+/- 3182 )",11043,"(+/- 2409 )",9914,"(+/- 2826 )",23111,"(+/- 3672 )",16124,"(+/- 3004 )",18525,"(+/- 2635 )",11722,"(+/- 2025 )",13903,"(+/- 2861 )",19933,"(+/- 3738 )",20361,"(+/- 3038 )",17410,"(+/- 2119 )",18385,"(+/- 2654 )",3587,"(+/- 1347 )",12516,"(+/- 2559 )",14622,"(+/- 2975 )",10728,"(+/- 2893 )",4737,"(+/- 1962 )",4443,"(+/- 1596 )",5311,"(+/- 1705 )",10296,"(+/- 2741 )"
People,Ancestry,"French Canadian",2324,"(+/- 803 )",2889,"(+/- 1079 )",3655,"(+/- 1371 )",3760,"(+/- 1336 )",1359,"(+/- 809 )",3821,"(+/- 1038 )",5365,"(+/- 1680 )",4995,"(+/- 1489 )",1308,"(+/- 668 )",2433,"(+/- 1442 )",5742,"(+/- 1633 )",4697,"(+/- 1118 )",4531,"(+/- 1236 )",1937,"(+/- 798 )",2897,"(+/- 945 )",4799,"(+/- 1357 )",5141,"(+/- 1496 )",3661,"(+/- 1240 )",4463,"(+/- 1333 )",1023,"(+/- 748 )",2465,"(+/- 723 )",4325,"(+/- 1595 )",3308,"(+/- 1312 )",753,"(+/- 512 )",1274,"(+/- 782 )",694,"(+/- 396 )",1592,"(+/- 1026 )"
People,Ancestry,German,90276,"(+/- 7574 )",80053,"(+/- 6060 )",83728,"(+/- 7871 )",107787,"(+/- 9418 )",46125,"(+/- 7084 )",94981,"(+/- 7440 )",75367,"(+/- 5454 )",108155,"(+/- 7872 )",59498,"(+/- 6113 )",51868,"(+/- 6062 )",115839,"(+/- 7499 )",113810,"(+/- 8119 )",94452,"(+/- 6948 )",75765,"(+/- 6826 )",67906,"(+/- 5412 )",117200,"(+/- 8316 )",119043,"(+/- 7431 )",84554,"(+/- 6996 )",118133,"(+/- 9022 )",18572,"(+/- 4650 )",58527,"(+/- 4994 )",64407,"(+/- 6151 )",28998,"(+/- 3914 )",10027,"(+/- 2239 )",26143,"(+/- 4132 )",19533,"(+/- 3374 )",20834,"(+/- 4110 )"
People,Ancestry,Greek,3348,"(+/- 1446 )",3707,"(+/- 1785 )",2035,"(+/- 1011 )",4236,"(+/- 1880 )",818,"(+/- 628 )",3766,"(+/- 1220 )",3868,"(+/- 2194 )",4098,"(+/- 1923 )",2481,"(+/- 1398 )",2292,"(+/- 910 )",2361,"(+/- 814 )",8865,"(+/- 2349 )",5081,"(+/- 1844 )",3866,"(+/- 1143 )",1976,"(+/- 920 )",3551,"(+/- 1319 )",2183,"(+/- 1119 )",2506,"(+/- 855 )",5004,"(+/- 1966 )",1025,"(+/- 604 )",5234,"(+/- 2014 )",4532,"(+/- 1374 )",2874,"(+/- 973 )",911,"(+/- 646 )",1444,"(+/- 1095 )",1492,"(+/- 1199 )",1496,"(+/- 724 )"
People,Ancestry,Hungarian,2838,"(+/- 1068 )",2468,"(+/- 1042 )",3171,"(+/- 1187 )",3793,"(+/- 1739 )",764,"(+/- 678 )",3774,"(+/- 1407 )",4109,"(+/- 2243 )",2681,"(+/- 789 )",1052,"(+/- 641 )",1976,"(+/- 1038 )",5070,"(+/- 1927 )",4346,"(+/- 1253 )",4595,"(+/- 1282 )",2024,"(+/- 751 )",2352,"(+/- 1208 )",6157,"(+/- 2212 )",4288,"(+/- 1366 )",5825,"(+/- 1469 )",4060,"(+/- 1293 )",717,"(+/- 430 )",4394,"(+/- 1197 )",5430,"(+/- 1232 )",6231,"(+/- 2163 )",537,"(+/- 345 )",1011,"(+/- 611 )",922,"(+/- 701 )",1194,"(+/- 571 )"
People,Ancestry,Irish,102391,"(+/- 10117 )",84325,"(+/- 7245 )",80027,"(+/- 7677 )",99594,"(+/- 8724 )",52560,"(+/- 7001 )",90327,"(+/- 6748 )",66809,"(+/- 5847 )",99696,"(+/- 7093 )",46694,"(+/- 6908 )",45301,"(+/- 7350 )",100035,"(+/- 7102 )",92612,"(+/- 7412 )",85325,"(+/- 5416 )",66138,"(+/- 6173 )",57906,"(+/- 5378 )",82920,"(+/- 5838 )",90454,"(+/- 7836 )",92637,"(+/- 7166 )",100739,"(+/- 8036 )",17473,"(+/- 3389 )",57273,"(+/- 5649 )",67587,"(+/- 5634 )",30924,"(+/- 4266 )",10137,"(+/- 2395 )",26834,"(+/- 3997 )",18150,"(+/- 2690 )",17993,"(+/- 2856 )"
People,Ancestry,Italian,39245,"(+/- 6199 )",28802,"(+/- 4072 )",31281,"(+/- 4602 )",51763,"(+/- 6876 )",17456,"(+/- 3353 )",61257,"(+/- 6616 )",41888,"(+/- 4707 )",58452,"(+/- 6623 )",38818,"(+/- 6829 )",31671,"(+/- 5319 )",62214,"(+/- 6017 )",67442,"(+/- 5830 )",51330,"(+/- 5204 )",52954,"(+/- 5330 )",32710,"(+/- 4818 )",61364,"(+/- 5452 )",52695,"(+/- 5544 )",70505,"(+/- 6153 )",70321,"(+/- 6917 )",18530,"(+/- 4746 )",55426,"(+/- 5779 )",70155,"(+/- 6263 )",47036,"(+/- 6069 )",12852,"(+/- 2487 )",28044,"(+/- 5143 )",21584,"(+/- 4437 )",29923,"(+/- 4237 )"
People,Ancestry,Lithuanian,905,"(+/- 564 )",873,"(+/- 540 )",984,"(+/- 565 )",1090,"(+/- 639 )",536,"(+/- 533 )",1422,"(+/- 461 )",925,"(+/- 465 )",1795,"(+/- 640 )",441,"(+/- 334 )",605,"(+/- 478 )",1162,"(+/- 629 )",1316,"(+/- 612 )",3201,"(+/- 1275 )",1096,"(+/- 473 )",1528,"(+/- 1619 )",2248,"(+/- 809 )",2498,"(+/- 1888 )",2050,"(+/- 783 )",1518,"(+/- 576 )",425,"(+/- 374 )",1336,"(+/- 544 )",2860,"(+/- 1055 )",1832,"(+/- 790 )",761,"(+/- 612 )",738,"(+/- 502 )",587,"(+/- 516 )",798,"(+/- 501 )"
People,Ancestry,Norwegian,5997,"(+/- 1576 )",5878,"(+/- 1761 )",6901,"(+/- 4378 )",5278,"(+/- 2223 )",2466,"(+/- 1154 )",5443,"(+/- 1690 )",3881,"(+/- 1128 )",6507,"(+/- 1737 )",4583,"(+/- 1735 )",2912,"(+/- 1028 )",6846,"(+/- 2049 )",6809,"(+/- 1764 )",5839,"(+/- 1392 )",3863,"(+/- 1092 )",3520,"(+/- 1246 )",7743,"(+/- 1718 )",6823,"(+/- 1389 )",5482,"(+/- 1427 )",8598,"(+/- 1968 )",1170,"(+/- 610 )",3663,"(+/- 1392 )",3407,"(+/- 951 )",2625,"(+/- 1065 )",475,"(+/- 334 )",933,"(+/- 446 )",1298,"(+/- 549 )",1498,"(+/- 809 )"
People,Ancestry,Polish,13936,"(+/- 2844 )",8870,"(+/- 1992 )",14438,"(+/- 3124 )",22204,"(+/- 3904 )",6645,"(+/- 1822 )",20538,"(+/- 3555 )",16952,"(+/- 2879 )",20163,"(+/- 2834 )",12644,"(+/- 2803 )",12379,"(+/- 2985 )",26414,"(+/- 3435 )",27543,"(+/- 2769 )",23936,"(+/- 3028 )",16791,"(+/- 2309 )",13830,"(+/- 2823 )",24485,"(+/- 3879 )",27167,"(+/- 4547 )",24274,"(+/- 3560 )",28298,"(+/- 4112 )",5188,"(+/- 1971 )",26908,"(+/- 3421 )",27441,"(+/- 3658 )",17084,"(+/- 2842 )",2578,"(+/- 892 )",8964,"(+/- 2541 )",2607,"(+/- 798 )",7903,"(+/- 1839 )"
People,Ancestry,Portuguese,4647,"(+/- 1843 )",1863,"(+/- 876 )",1762,"(+/- 712 )",2604,"(+/- 1000 )",616,"(+/- 497 )",5467,"(+/- 2569 )",3005,"(+/- 1403 )",4793,"(+/- 2569 )",4306,"(+/- 2217 )",4323,"(+/- 2178 )",2688,"(+/- 1129 )",4363,"(+/- 1637 )",2565,"(+/- 1249 )",3001,"(+/- 1500 )",2649,"(+/- 932 )",4510,"(+/- 1582 )",3298,"(+/- 1307 )",3484,"(+/- 2020 )",3466,"(+/- 1248 )",2310,"(+/- 1018 )",5818,"(+/- 1652 )",5701,"(+/- 1585 )",3460,"(+/- 1762 )",1538,"(+/- 908 )",2975,"(+/- 1620 )",1716,"(+/- 1273 )",3709,"(+/- 1829 )"
People,Ancestry,Russian,2886,"(+/- 1318 )",3255,"(+/- 1226 )",3041,"(+/- 1048 )",7182,"(+/- 2295 )",3993,"(+/- 2696 )",4639,"(+/- 1439 )",9132,"(+/- 2744 )",5219,"(+/- 1530 )",2088,"(+/- 969 )",3904,"(+/- 1301 )",4198,"(+/- 1100 )",6265,"(+/- 1648 )",6231,"(+/- 1210 )",6895,"(+/- 1733 )",2278,"(+/- 904 )",9618,"(+/- 1868 )",7911,"(+/- 2358 )",11183,"(+/- 2012 )",6958,"(+/- 1788 )",4155,"(+/- 1566 )",26063,"(+/- 4065 )",21104,"(+/- 4121 )",22498,"(+/- 3986 )",5438,"(+/- 1570 )",1614,"(+/- 954 )",1489,"(+/- 597 )",8760,"(+/- 2976 )"
People,Ancestry,Scotch-Irish,10334,"(+/- 2116 )",8352,"(+/- 1818 )",7616,"(+/- 1775 )",10365,"(+/- 2731 )",5183,"(+/- 1646 )",5241,"(+/- 1359 )",7182,"(+/- 1982 )",7350,"(+/- 1795 )",6033,"(+/- 2596 )",2499,"(+/- 915 )",5528,"(+/- 1521 )",8285,"(+/- 1922 )",6136,"(+/- 1499 )",3464,"(+/- 1077 )",5005,"(+/- 1571 )",6954,"(+/- 1650 )",5384,"(+/- 1369 )",4622,"(+/- 1242 )",5528,"(+/- 1882 )",416,"(+/- 411 )",2802,"(+/- 917 )",2346,"(+/- 685 )",1295,"(+/- 770 )",848,"(+/- 525 )",374,"(+/- 335 )",1195,"(+/- 511 )",923,"(+/- 428 )"
People,Ancestry,Scottish,18467,"(+/- 3134 )",13952,"(+/- 2168 )",19892,"(+/- 4424 )",18624,"(+/- 3483 )",10275,"(+/- 2947 )",16309,"(+/- 2654 )",12510,"(+/- 2675 )",18078,"(+/- 3102 )",8860,"(+/- 3028 )",5989,"(+/- 1439 )",18192,"(+/- 3811 )",14696,"(+/- 2494 )",14225,"(+/- 1936 )",8661,"(+/- 1891 )",12673,"(+/- 3253 )",14190,"(+/- 2695 )",12541,"(+/- 2198 )",9365,"(+/- 1804 )",16422,"(+/- 2456 )",2660,"(+/- 989 )",9536,"(+/- 1955 )",6313,"(+/- 1479 )",3512,"(+/- 1119 )",1164,"(+/- 681 )",2435,"(+/- 1209 )",1657,"(+/- 570 )",2636,"(+/- 929 )"
People,Ancestry,Slovak,1334,"(+/- 897 )",668,"(+/- 462 )",537,"(+/- 568 )",1406,"(+/- 990 )",259,"(+/- 243 )",1100,"(+/- 604 )",1696,"(+/- 919 )",937,"(+/- 402 )",597,"(+/- 490 )",1192,"(+/- 822 )",2189,"(+/- 860 )",1659,"(+/- 582 )",1736,"(+/- 785 )",850,"(+/- 694 )",1257,"(+/- 830 )",1999,"(+/- 894 )",1588,"(+/- 815 )",2185,"(+/- 1262 )",1795,"(+/- 805 )",67,"(+/- 98 )",470,"(+/- 300 )",1300,"(+/- 619 )",614,"(+/- 417 )",0,"(+/- 242 )",529,"(+/- 432 )",177,"(+/- 167 )",825,"(+/- 675 )"
People,Ancestry,"Subsaharan African",7268,"(+/- 2149 )",4523,"(+/- 1433 )",8105,"(+/- 2306 )",5144,"(+/- 2235 )",17063,"(+/- 4701 )",4205,"(+/- 2472 )",9736,"(+/- 2948 )",4033,"(+/- 2095 )",5139,"(+/- 1663 )",12355,"(+/- 4725 )",3453,"(+/- 1974 )",3804,"(+/- 2001 )",8133,"(+/- 3192 )",9225,"(+/- 3367 )",12927,"(+/- 4300 )",3100,"(+/- 1057 )",4194,"(+/- 1678 )",1412,"(+/- 825 )",4434,"(+/- 1641 )",12047,"(+/- 3857 )",9944,"(+/- 3461 )",4509,"(+/- 1939 )",5217,"(+/- 2090 )",8628,"(+/- 2899 )",1992,"(+/- 1308 )",4423,"(+/- 3068 )",3734,"(+/- 1892 )"
People,Ancestry,Swedish,7106,"(+/- 2610 )",4429,"(+/- 1339 )",6404,"(+/- 2608 )",7478,"(+/- 2420 )",2703,"(+/- 928 )",7766,"(+/- 2043 )",4187,"(+/- 1261 )",7398,"(+/- 2145 )",4287,"(+/- 1624 )",4274,"(+/- 1545 )",8974,"(+/- 2329 )",9015,"(+/- 1587 )",6202,"(+/- 1409 )",5639,"(+/- 1419 )",2872,"(+/- 952 )",10386,"(+/- 1909 )",10306,"(+/- 1960 )",6738,"(+/- 1648 )",11257,"(+/- 2119 )",663,"(+/- 507 )",5755,"(+/- 1561 )",5268,"(+/- 1548 )",2640,"(+/- 1215 )",339,"(+/- 276 )",2995,"(+/- 1878 )",1943,"(+/- 801 )",2445,"(+/- 1401 )"
People,Ancestry,Swiss,1812,"(+/- 1007 )",843,"(+/- 491 )",968,"(+/- 564 )",2175,"(+/- 1403 )",395,"(+/- 369 )",1352,"(+/- 698 )",1113,"(+/- 611 )",1357,"(+/- 770 )",601,"(+/- 327 )",921,"(+/- 582 )",1089,"(+/- 609 )",913,"(+/- 484 )",1111,"(+/- 442 )",698,"(+/- 406 )",551,"(+/- 370 )",1866,"(+/- 751 )",1321,"(+/- 672 )",947,"(+/- 537 )",1602,"(+/- 561 )",258,"(+/- 266 )",1446,"(+/- 818 )",1190,"(+/- 505 )",1471,"(+/- 1633 )",60,"(+/- 101 )",364,"(+/- 415 )",797,"(+/- 460 )",949,"(+/- 591 )"
People,Ancestry,Ukrainian,1067,"(+/- 657 )",553,"(+/- 387 )",1878,"(+/- 988 )",2232,"(+/- 944 )",1089,"(+/- 803 )",2408,"(+/- 1880 )",1557,"(+/- 567 )",1527,"(+/- 780 )",1417,"(+/- 931 )",1728,"(+/- 1211 )",3212,"(+/- 1508 )",4703,"(+/- 1690 )",3970,"(+/- 1569 )",2462,"(+/- 1599 )",1320,"(+/- 867 )",2765,"(+/- 1186 )",3853,"(+/- 1806 )",3204,"(+/- 1392 )",2044,"(+/- 898 )",347,"(+/- 353 )",1907,"(+/- 645 )",4736,"(+/- 2024 )",4913,"(+/- 2089 )",1201,"(+/- 990 )",1679,"(+/- 1760 )",606,"(+/- 460 )",969,"(+/- 536 )"
