Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
Workers,"Employment Status","Not in labor force",236882,"(+/- 5849 )",215484,"(+/- 5176 )",207299,"(+/- 5250 )",230086,"(+/- 6536 )",206305,"(+/- 6539 )",220949,"(+/- 5920 )",200681,"(+/- 6951 )",219249,"(+/- 5831 )",237245,"(+/- 6721 )"
Workers,"Employment Status","Civilian labor force",352715,"(+/- 6157 )",354723,"(+/- 5516 )",382723,"(+/- 5373 )",385887,"(+/- 6013 )",440838,"(+/- 8618 )",361182,"(+/- 5595 )",398131,"(+/- 7595 )",356661,"(+/- 5786 )",386358,"(+/- 6585 )"
Workers,"Employment Status","Unemployment Rate",6.0,"(+/- 0.7 )",4.7,"(+/- 0.6 )",4.4,"(+/- 0.6 )",3.3,"(+/- 0.5 )",4.3,"(+/- 0.7 )",4.8,"(+/- 0.7 )",6.5,"(+/- 1.0 )",4.2,"(+/- 0.5 )",4.1,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",324414,"(+/- 6222 )",331056,"(+/- 6052 )",356724,"(+/- 5411 )",364933,"(+/- 6114 )",416413,"(+/- 8344 )",336718,"(+/- 5434 )",365246,"(+/- 8697 )",336336,"(+/- 5985 )",365099,"(+/- 6941 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",260970,"(+/- 6163 )",259510,"(+/- 6171 )",280401,"(+/- 5540 )",280432,"(+/- 7420 )",290253,"(+/- 9056 )",265311,"(+/- 5665 )",260892,"(+/- 8045 )",273710,"(+/- 6579 )",276866,"(+/- 7577 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",22046,"(+/- 3053 )",28442,"(+/- 3633 )",32540,"(+/- 2947 )",25229,"(+/- 2606 )",20212,"(+/- 3154 )",27113,"(+/- 2960 )",38452,"(+/- 4540 )",25873,"(+/- 3313 )",28432,"(+/- 3413 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",3243,"(+/- 1061 )",1468,"(+/- 807 )",1320,"(+/- 473 )",2003,"(+/- 700 )",1437,"(+/- 957 )",643,"(+/- 432 )",5502,"(+/- 1634 )",1187,"(+/- 582 )",1043,"(+/- 534 )"
Workers,"Commuting to Work",Walked,4583,"(+/- 1247 )",9116,"(+/- 1703 )",6544,"(+/- 1385 )",12109,"(+/- 2289 )",5755,"(+/- 1337 )",5171,"(+/- 1206 )",6159,"(+/- 1401 )",7887,"(+/- 1686 )",6982,"(+/- 1200 )"
Workers,"Commuting to Work","Other means",4715,"(+/- 1334 )",6367,"(+/- 1253 )",5700,"(+/- 1171 )",3263,"(+/- 976 )",3632,"(+/- 1156 )",3106,"(+/- 816 )",3922,"(+/- 1253 )",4878,"(+/- 1242 )",3267,"(+/- 938 )"
Workers,"Commuting to Work","Worked from home",28857,"(+/- 3039 )",26153,"(+/- 2441 )",30219,"(+/- 2697 )",41897,"(+/- 4210 )",95124,"(+/- 5886 )",35374,"(+/- 2824 )",50319,"(+/- 4883 )",22801,"(+/- 2443 )",48509,"(+/- 3200 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",27.6,"(+/- 0.7 )",21.9,"(+/- 0.6 )",21.9,"(+/- 0.5 )",22.5,"(+/- 0.6 )",25.2,"(+/- 0.9 )",24.8,"(+/- 0.7 )",23.3,"(+/- 0.6 )",22.5,"(+/- 0.6 )",24.9,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",331530,"(+/- 6308 )",337962,"(+/- 6035 )",366037,"(+/- 5505 )",373033,"(+/- 6212 )",422093,"(+/- 8316 )",343904,"(+/- 5046 )",372400,"(+/- 8652 )",341511,"(+/- 5784 )",370708,"(+/- 6958 )"
Workers,Occupation,"Management, business, science, and arts occupations",116659,"(+/- 5702 )",114116,"(+/- 5241 )",126992,"(+/- 5102 )",143655,"(+/- 5577 )",218852,"(+/- 7806 )",122129,"(+/- 5474 )",129787,"(+/- 6745 )",119897,"(+/- 4819 )",142990,"(+/- 5125 )"
Workers,Occupation,"Service occupations",56030,"(+/- 4706 )",50288,"(+/- 3243 )",54437,"(+/- 3909 )",56871,"(+/- 4245 )",52046,"(+/- 4260 )",53592,"(+/- 3654 )",57094,"(+/- 4823 )",53452,"(+/- 3537 )",59977,"(+/- 3850 )"
Workers,Occupation,"Sales and office occupations",67317,"(+/- 4225 )",62830,"(+/- 3731 )",61935,"(+/- 3996 )",68385,"(+/- 4525 )",80525,"(+/- 6051 )",67698,"(+/- 4106 )",81673,"(+/- 6099 )",60815,"(+/- 3936 )",67602,"(+/- 5222 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",34207,"(+/- 3348 )",32000,"(+/- 3324 )",33261,"(+/- 2439 )",32432,"(+/- 2974 )",24487,"(+/- 3237 )",32668,"(+/- 2903 )",30349,"(+/- 3204 )",35269,"(+/- 3004 )",33813,"(+/- 3136 )"
Workers,Occupation,"Production, transportation, and material moving occupations",57317,"(+/- 3844 )",78728,"(+/- 3771 )",89412,"(+/- 4424 )",71690,"(+/- 4132 )",46183,"(+/- 4480 )",67817,"(+/- 4478 )",73497,"(+/- 5585 )",72078,"(+/- 4566 )",66326,"(+/- 4514 )"
Workers,Industry,"Civilian employed population 16 years and over",331530,"(+/- 6308 )",337962,"(+/- 6035 )",366037,"(+/- 5505 )",373033,"(+/- 6212 )",422093,"(+/- 8316 )",343904,"(+/- 5046 )",372400,"(+/- 8652 )",341511,"(+/- 5784 )",370708,"(+/- 6958 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",1537,"(+/- 666 )",4845,"(+/- 1207 )",5496,"(+/- 1342 )",7066,"(+/- 1543 )",3884,"(+/- 1357 )",4809,"(+/- 1182 )",2029,"(+/- 1229 )",9853,"(+/- 1888 )",2897,"(+/- 889 )"
Workers,Industry,Construction,25203,"(+/- 2945 )",20599,"(+/- 2701 )",24104,"(+/- 2216 )",21514,"(+/- 3017 )",20675,"(+/- 2629 )",25392,"(+/- 2614 )",22897,"(+/- 3019 )",24824,"(+/- 2747 )",25636,"(+/- 3033 )"
Workers,Industry,Manufacturing,52753,"(+/- 4157 )",90278,"(+/- 4343 )",91588,"(+/- 3550 )",70481,"(+/- 4269 )",49437,"(+/- 4792 )",70782,"(+/- 4271 )",41845,"(+/- 4731 )",68512,"(+/- 3906 )",58398,"(+/- 4206 )"
Workers,Industry,"Wholesale trade",5346,"(+/- 1218 )",7448,"(+/- 1694 )",8347,"(+/- 1403 )",7588,"(+/- 1498 )",8379,"(+/- 1648 )",6604,"(+/- 1290 )",10046,"(+/- 1893 )",9855,"(+/- 1474 )",7050,"(+/- 1738 )"
Workers,Industry,"Retail trade",39032,"(+/- 3450 )",31218,"(+/- 3172 )",34381,"(+/- 2710 )",41158,"(+/- 3745 )",46710,"(+/- 4019 )",36290,"(+/- 3335 )",49789,"(+/- 4918 )",40999,"(+/- 3657 )",36487,"(+/- 3541 )"
Workers,Industry,"Transportation and warehousing, and utilities",25140,"(+/- 2690 )",15150,"(+/- 2053 )",20277,"(+/- 2386 )",22231,"(+/- 3085 )",20106,"(+/- 2922 )",19468,"(+/- 2161 )",38408,"(+/- 4489 )",17974,"(+/- 1924 )",25437,"(+/- 2828 )"
Workers,Industry,Information,4562,"(+/- 1148 )",4117,"(+/- 1150 )",4423,"(+/- 1068 )",4388,"(+/- 1039 )",4784,"(+/- 1113 )",3428,"(+/- 922 )",3350,"(+/- 977 )",5626,"(+/- 1403 )",6103,"(+/- 1261 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",14078,"(+/- 2159 )",14764,"(+/- 2181 )",20362,"(+/- 2103 )",16574,"(+/- 2457 )",41728,"(+/- 4280 )",16402,"(+/- 2066 )",23148,"(+/- 3476 )",14351,"(+/- 2211 )",20341,"(+/- 2839 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",32115,"(+/- 3458 )",23315,"(+/- 2736 )",25152,"(+/- 2979 )",28277,"(+/- 3055 )",58111,"(+/- 4390 )",27171,"(+/- 2679 )",40790,"(+/- 4292 )",22175,"(+/- 2491 )",31183,"(+/- 3135 )"
Workers,Industry,"Educational services, and health care and social assistance",74454,"(+/- 4767 )",75730,"(+/- 4064 )",77967,"(+/- 3175 )",96631,"(+/- 5511 )",101333,"(+/- 6282 )",79499,"(+/- 4102 )",77268,"(+/- 5960 )",76576,"(+/- 3888 )",88977,"(+/- 4981 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",31063,"(+/- 3568 )",24083,"(+/- 2614 )",25733,"(+/- 2656 )",27081,"(+/- 3277 )",32435,"(+/- 4043 )",26444,"(+/- 2846 )",30202,"(+/- 3108 )",24064,"(+/- 2754 )",32709,"(+/- 3304 )"
Workers,Industry,"Other services, except public administration",16367,"(+/- 2252 )",15298,"(+/- 1982 )",18947,"(+/- 2345 )",17863,"(+/- 2489 )",15556,"(+/- 2363 )",15667,"(+/- 2301 )",16482,"(+/- 2349 )",14790,"(+/- 1853 )",17192,"(+/- 2731 )"
Workers,Industry,"Public administration",9880,"(+/- 1697 )",11117,"(+/- 1965 )",9260,"(+/- 1715 )",12181,"(+/- 2462 )",18955,"(+/- 2998 )",11948,"(+/- 2229 )",16146,"(+/- 2402 )",11912,"(+/- 1805 )",18298,"(+/- 2374 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",331530,"(+/- 6308 )",337962,"(+/- 6035 )",366037,"(+/- 5505 )",373033,"(+/- 6212 )",422093,"(+/- 8316 )",343904,"(+/- 5046 )",372400,"(+/- 8652 )",341511,"(+/- 5784 )",370708,"(+/- 6958 )"
Workers,"Class of Worker","Private wage and salary workers",279014,"(+/- 6292 )",287322,"(+/- 6307 )",314025,"(+/- 6203 )",304239,"(+/- 6313 )",351458,"(+/- 7979 )",281988,"(+/- 5384 )",313260,"(+/- 8013 )",285498,"(+/- 6331 )",298503,"(+/- 7254 )"
Workers,"Class of Worker","Government workers",37124,"(+/- 3189 )",33969,"(+/- 2967 )",32777,"(+/- 2724 )",51085,"(+/- 3843 )",49674,"(+/- 4493 )",43804,"(+/- 4225 )",45013,"(+/- 4242 )",38198,"(+/- 3070 )",52981,"(+/- 3572 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",15130,"(+/- 1851 )",16442,"(+/- 2482 )",18323,"(+/- 2411 )",17430,"(+/- 2261 )",20668,"(+/- 2741 )",17679,"(+/- 2828 )",12709,"(+/- 2183 )",17104,"(+/- 2091 )",18657,"(+/- 2912 )"
Workers,"Class of Worker","Unpaid family workers",262,"(+/- 184 )",229,"(+/- 209 )",912,"(+/- 475 )",279,"(+/- 236 )",293,"(+/- 263 )",433,"(+/- 287 )",1418,"(+/- 1049 )",711,"(+/- 398 )",567,"(+/- 381 )"
Housing,"Housing Occupancy","Total housing units",315927,"(+/- 1492 )",310827,"(+/- 2132 )",327170,"(+/- 1749 )",326616,"(+/- 2373 )",349892,"(+/- 4014 )",317261,"(+/- 1809 )",348871,"(+/- 3831 )",320990,"(+/- 1539 )",332567,"(+/- 2675 )"
Housing,"Housing Occupancy","Occupied housing units",283879,"(+/- 2981 )",273019,"(+/- 3964 )",299447,"(+/- 3349 )",300397,"(+/- 3551 )",326875,"(+/- 4310 )",289481,"(+/- 3963 )",309675,"(+/- 4266 )",293935,"(+/- 2570 )",303986,"(+/- 3696 )"
Housing,"Housing Occupancy","Vacant housing units",32048,"(+/- 2894 )",37808,"(+/- 3464 )",27723,"(+/- 3369 )",26219,"(+/- 3060 )",23017,"(+/- 2628 )",27780,"(+/- 3362 )",39196,"(+/- 3365 )",27055,"(+/- 2581 )",28581,"(+/- 3522 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.6,"(+/- 0.4 )",1.0,"(+/- 0.4 )",0.7,"(+/- 0.4 )",0.7,"(+/- 0.3 )",0.3,"(+/- 0.2 )",1.3,"(+/- 0.5 )",1.3,"(+/- 0.6 )",0.7,"(+/- 0.4 )",1.0,"(+/- 0.5 )"
Housing,"Housing Occupancy","Rental vacancy rate",7.0,"(+/- 1.8 )",6.7,"(+/- 1.7 )",3.2,"(+/- 1.2 )",7.5,"(+/- 1.9 )",7.8,"(+/- 1.7 )",3.6,"(+/- 1.2 )",3.6,"(+/- 1.0 )",2.5,"(+/- 0.9 )",7.2,"(+/- 2.0 )"
Housing,"Housing Tenure","Occupied housing units",283879,"(+/- 2981 )",273019,"(+/- 3964 )",299447,"(+/- 3349 )",300397,"(+/- 3551 )",326875,"(+/- 4310 )",289481,"(+/- 3963 )",309675,"(+/- 4266 )",293935,"(+/- 2570 )",303986,"(+/- 3696 )"
Housing,"Housing Tenure",Owner-occupied,205804,"(+/- 3520 )",202424,"(+/- 4375 )",223232,"(+/- 3692 )",218224,"(+/- 4058 )",234267,"(+/- 5100 )",215490,"(+/- 4132 )",171306,"(+/- 5079 )",210965,"(+/- 4006 )",224137,"(+/- 4646 )"
Housing,"Housing Tenure",Renter-occupied,78075,"(+/- 3889 )",70595,"(+/- 3239 )",76215,"(+/- 4675 )",82173,"(+/- 3856 )",92608,"(+/- 4024 )",73991,"(+/- 3690 )",138369,"(+/- 5048 )",82970,"(+/- 3798 )",79849,"(+/- 4023 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.58,"(+/- 0.04 )",2.67,"(+/- 0.05 )",2.61,"(+/- 0.04 )",2.59,"(+/- 0.04 )",2.65,"(+/- 0.04 )",2.52,"(+/- 0.03 )",2.64,"(+/- 0.06 )",2.46,"(+/- 0.04 )",2.62,"(+/- 0.04 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.41,"(+/- 0.08 )",2.38,"(+/- 0.10 )",2.18,"(+/- 0.08 )",2.10,"(+/- 0.08 )",2.01,"(+/- 0.08 )",2.12,"(+/- 0.07 )",2.24,"(+/- 0.07 )",2.08,"(+/- 0.08 )",2.03,"(+/- 0.07 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",283879,"(+/- 2981 )",273019,"(+/- 3964 )",299447,"(+/- 3349 )",300397,"(+/- 3551 )",326875,"(+/- 4310 )",289481,"(+/- 3963 )",309675,"(+/- 4266 )",293935,"(+/- 2570 )",303986,"(+/- 3696 )"
Housing,"Year Householder Moved into Unit","Moved in 2019 or later",64355,"(+/- 3659 )",63208,"(+/- 3588 )",79420,"(+/- 4074 )",84826,"(+/- 5056 )",94757,"(+/- 4762 )",69136,"(+/- 3336 )",109898,"(+/- 5398 )",70884,"(+/- 4436 )",76665,"(+/- 4468 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2018",62357,"(+/- 3817 )",57495,"(+/- 3551 )",64536,"(+/- 3320 )",68825,"(+/- 4066 )",80846,"(+/- 4837 )",62727,"(+/- 3841 )",67161,"(+/- 5875 )",63313,"(+/- 3932 )",71547,"(+/- 3946 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",34139,"(+/- 2732 )",36025,"(+/- 3023 )",40350,"(+/- 3005 )",36276,"(+/- 3001 )",42422,"(+/- 3425 )",36727,"(+/- 2877 )",35274,"(+/- 3670 )",37313,"(+/- 3032 )",43145,"(+/- 3608 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",56018,"(+/- 3684 )",51463,"(+/- 3053 )",51195,"(+/- 3049 )",53055,"(+/- 3524 )",49309,"(+/- 4256 )",51086,"(+/- 3331 )",44148,"(+/- 3546 )",51724,"(+/- 3187 )",49426,"(+/- 2751 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",30623,"(+/- 2651 )",30947,"(+/- 2373 )",32926,"(+/- 2515 )",27396,"(+/- 2501 )",30421,"(+/- 2831 )",32863,"(+/- 2710 )",26657,"(+/- 2706 )",32909,"(+/- 2450 )",30923,"(+/- 2692 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",36387,"(+/- 2828 )",33881,"(+/- 2310 )",31020,"(+/- 2034 )",30019,"(+/- 2260 )",29120,"(+/- 2512 )",36942,"(+/- 2313 )",26537,"(+/- 2641 )",37792,"(+/- 2440 )",32280,"(+/- 2252 )"
Housing,Value,"Owner-occupied units",205804,"(+/- 3520 )",202424,"(+/- 4375 )",223232,"(+/- 3692 )",218224,"(+/- 4058 )",234267,"(+/- 5100 )",215490,"(+/- 4132 )",171306,"(+/- 5079 )",210965,"(+/- 4006 )",224137,"(+/- 4646 )"
Housing,Value,"Less than $50,000",11103,"(+/- 1479 )",14297,"(+/- 1743 )",16224,"(+/- 1712 )",11652,"(+/- 1750 )",12988,"(+/- 1691 )",18091,"(+/- 1980 )",8916,"(+/- 1520 )",21685,"(+/- 2203 )",17603,"(+/- 2225 )"
Housing,Value,"$50,000 to $99,999",21039,"(+/- 2283 )",35005,"(+/- 2804 )",34210,"(+/- 2290 )",30870,"(+/- 2131 )",19279,"(+/- 2014 )",34111,"(+/- 2325 )",26982,"(+/- 2916 )",42333,"(+/- 3170 )",19625,"(+/- 2316 )"
Housing,Value,"$100,000 to $149,999",30285,"(+/- 2575 )",39571,"(+/- 3704 )",45564,"(+/- 3174 )",34282,"(+/- 2975 )",21365,"(+/- 2254 )",37910,"(+/- 3014 )",30861,"(+/- 3096 )",39677,"(+/- 3328 )",34554,"(+/- 2863 )"
Housing,Value,"$150,000 to $199,999",34076,"(+/- 2815 )",38402,"(+/- 2633 )",42759,"(+/- 2799 )",40600,"(+/- 3243 )",28102,"(+/- 2778 )",41865,"(+/- 2997 )",41942,"(+/- 3598 )",36388,"(+/- 2576 )",43804,"(+/- 3349 )"
Housing,Value,"$200,000 to $299,999",56755,"(+/- 3791 )",44175,"(+/- 2877 )",44198,"(+/- 2685 )",52838,"(+/- 3347 )",55690,"(+/- 4042 )",47270,"(+/- 3261 )",37459,"(+/- 2922 )",38494,"(+/- 2599 )",55564,"(+/- 3695 )"
Housing,Value,"$300,000 to $499,999",40924,"(+/- 3221 )",23215,"(+/- 2141 )",27971,"(+/- 2269 )",38775,"(+/- 2804 )",66422,"(+/- 4201 )",28247,"(+/- 2537 )",17969,"(+/- 2449 )",25237,"(+/- 2260 )",42512,"(+/- 3315 )"
Housing,Value,"$500,000 to $999,999",10164,"(+/- 1439 )",5418,"(+/- 1138 )",10884,"(+/- 1347 )",7875,"(+/- 1806 )",25422,"(+/- 3110 )",7117,"(+/- 1529 )",6413,"(+/- 1254 )",6193,"(+/- 1089 )",9531,"(+/- 1382 )"
Housing,Value,"$1,000,000 or more",1458,"(+/- 495 )",2341,"(+/- 841 )",1422,"(+/- 462 )",1332,"(+/- 546 )",4999,"(+/- 1772 )",879,"(+/- 426 )",764,"(+/- 410 )",958,"(+/- 479 )",944,"(+/- 418 )"
Housing,Value,"Median (dollars)",210100,"(+/- 5632 )",164000,"(+/- 3819 )",165600,"(+/- 3080 )",188200,"(+/- 5034 )",260800,"(+/- 7119 )",167500,"(+/- 3538 )",168700,"(+/- 3127 )",152000,"(+/- 3892 )",195500,"(+/- 4619 )"
Housing,"Mortgage Status","Owner-occupied units",205804,"(+/- 3520 )",202424,"(+/- 4375 )",223232,"(+/- 3692 )",218224,"(+/- 4058 )",234267,"(+/- 5100 )",215490,"(+/- 4132 )",171306,"(+/- 5079 )",210965,"(+/- 4006 )",224137,"(+/- 4646 )"
Housing,"Mortgage Status","Housing units with a mortgage",131822,"(+/- 4253 )",123218,"(+/- 3908 )",143267,"(+/- 3848 )",144388,"(+/- 4479 )",162078,"(+/- 4824 )",138530,"(+/- 4173 )",116392,"(+/- 5152 )",123414,"(+/- 4460 )",141439,"(+/- 4486 )"
Housing,"Mortgage Status","Housing units without a mortgage",73982,"(+/- 2904 )",79206,"(+/- 3165 )",79965,"(+/- 3673 )",73836,"(+/- 3788 )",72189,"(+/- 4099 )",76960,"(+/- 3854 )",54914,"(+/- 3854 )",87551,"(+/- 4582 )",82698,"(+/- 3906 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",131822,"(+/- 4253 )",123218,"(+/- 3908 )",143267,"(+/- 3848 )",144388,"(+/- 4479 )",162078,"(+/- 4824 )",138530,"(+/- 4173 )",116392,"(+/- 5152 )",123414,"(+/- 4460 )",141439,"(+/- 4486 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",977,"(+/- 398 )",4157,"(+/- 1043 )",2664,"(+/- 741 )",2897,"(+/- 655 )",1648,"(+/- 642 )",3809,"(+/- 948 )",1734,"(+/- 717 )",3691,"(+/- 829 )",3485,"(+/- 960 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",29506,"(+/- 2972 )",46650,"(+/- 2573 )",58947,"(+/- 2866 )",46116,"(+/- 2928 )",31099,"(+/- 3144 )",49239,"(+/- 2981 )",38776,"(+/- 3457 )",49163,"(+/- 3203 )",42976,"(+/- 2761 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",49477,"(+/- 3423 )",44866,"(+/- 2889 )",49250,"(+/- 2955 )",52941,"(+/- 3773 )",48844,"(+/- 3448 )",52017,"(+/- 3532 )",48856,"(+/- 3552 )",41778,"(+/- 2926 )",53727,"(+/- 3147 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",32740,"(+/- 3244 )",17674,"(+/- 2002 )",19198,"(+/- 2464 )",23393,"(+/- 2937 )",35448,"(+/- 3319 )",21801,"(+/- 2707 )",15493,"(+/- 2047 )",17462,"(+/- 2160 )",23408,"(+/- 2549 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",10670,"(+/- 1708 )",5507,"(+/- 1203 )",6179,"(+/- 1158 )",10837,"(+/- 1719 )",24901,"(+/- 3150 )",6635,"(+/- 1537 )",7278,"(+/- 1464 )",6220,"(+/- 1224 )",10928,"(+/- 2009 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",4391,"(+/- 1153 )",1989,"(+/- 536 )",3448,"(+/- 935 )",5497,"(+/- 1638 )",9425,"(+/- 1700 )",3169,"(+/- 1023 )",1805,"(+/- 708 )",2702,"(+/- 881 )",4424,"(+/- 1436 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",4061,"(+/- 1238 )",2375,"(+/- 771 )",3581,"(+/- 993 )",2707,"(+/- 931 )",10713,"(+/- 2159 )",1860,"(+/- 543 )",2450,"(+/- 807 )",2398,"(+/- 617 )",2491,"(+/- 620 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1350,"(+/- 32 )",1102,"(+/- 21 )",1080,"(+/- 17 )",1195,"(+/- 28 )",1494,"(+/- 40 )",1144,"(+/- 23 )",1162,"(+/- 24 )",1091,"(+/- 26 )",1190,"(+/- 19 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",73982,"(+/- 2904 )",79206,"(+/- 3165 )",79965,"(+/- 3673 )",73836,"(+/- 3788 )",72189,"(+/- 4099 )",76960,"(+/- 3854 )",54914,"(+/- 3854 )",87551,"(+/- 4582 )",82698,"(+/- 3906 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",4113,"(+/- 1027 )",9780,"(+/- 1442 )",11027,"(+/- 1580 )",9518,"(+/- 1695 )",6841,"(+/- 1315 )",9286,"(+/- 1310 )",5307,"(+/- 1376 )",11228,"(+/- 1557 )",9852,"(+/- 1407 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",17196,"(+/- 1851 )",27155,"(+/- 2103 )",26767,"(+/- 2057 )",25813,"(+/- 2031 )",14455,"(+/- 1575 )",25000,"(+/- 2332 )",18711,"(+/- 2688 )",30682,"(+/- 2713 )",25094,"(+/- 2563 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",29860,"(+/- 2773 )",27896,"(+/- 1898 )",27682,"(+/- 2237 )",24391,"(+/- 2350 )",25669,"(+/- 2841 )",28854,"(+/- 2344 )",18380,"(+/- 2512 )",29793,"(+/- 2431 )",31112,"(+/- 2836 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",15823,"(+/- 2053 )",9954,"(+/- 1545 )",10116,"(+/- 1544 )",9486,"(+/- 1644 )",13241,"(+/- 1688 )",8830,"(+/- 1300 )",8831,"(+/- 1631 )",9664,"(+/- 1300 )",11160,"(+/- 1648 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",3928,"(+/- 944 )",2301,"(+/- 733 )",2793,"(+/- 818 )",3263,"(+/- 836 )",6315,"(+/- 1220 )",3199,"(+/- 803 )",2209,"(+/- 1090 )",3374,"(+/- 842 )",4189,"(+/- 1102 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",3062,"(+/- 973 )",2120,"(+/- 828 )",1580,"(+/- 568 )",1365,"(+/- 666 )",5668,"(+/- 1451 )",1791,"(+/- 538 )",1476,"(+/- 623 )",2810,"(+/- 825 )",1291,"(+/- 507 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",499,"(+/- 15 )",415,"(+/- 10 )",413,"(+/- 11 )",410,"(+/- 12 )",513,"(+/- 15 )",424,"(+/- 9 )",433,"(+/- 19 )",410,"(+/- 12 )",434,"(+/- 10 )"
Housing,"Gross Rent","Occupied units paying rent",73848,"(+/- 3872 )",67528,"(+/- 3172 )",72492,"(+/- 4623 )",77196,"(+/- 3729 )",88388,"(+/- 3998 )",68532,"(+/- 3577 )",134382,"(+/- 4959 )",76818,"(+/- 3785 )",74885,"(+/- 3860 )"
Housing,"Gross Rent","Less than $500",5721,"(+/- 1219 )",7301,"(+/- 1471 )",7499,"(+/- 1325 )",6052,"(+/- 1278 )",5358,"(+/- 1259 )",8289,"(+/- 1333 )",7832,"(+/- 1867 )",12596,"(+/- 1897 )",8552,"(+/- 1438 )"
Housing,"Gross Rent","$500 to $999",30209,"(+/- 2757 )",38612,"(+/- 3000 )",44659,"(+/- 3324 )",43540,"(+/- 3371 )",32532,"(+/- 2838 )",42391,"(+/- 3242 )",71754,"(+/- 4636 )",46415,"(+/- 3157 )",37846,"(+/- 3300 )"
Housing,"Gross Rent","$1,000 to $1,499",30408,"(+/- 2696 )",17986,"(+/- 2304 )",16353,"(+/- 2233 )",21151,"(+/- 2592 )",34987,"(+/- 3777 )",15124,"(+/- 2238 )",43639,"(+/- 3839 )",14541,"(+/- 2314 )",20419,"(+/- 2379 )"
Housing,"Gross Rent","$1,500 to $1,999",5628,"(+/- 1246 )",2004,"(+/- 707 )",3189,"(+/- 1070 )",4421,"(+/- 1359 )",11420,"(+/- 2791 )",2161,"(+/- 985 )",8178,"(+/- 2064 )",2704,"(+/- 1083 )",5782,"(+/- 1435 )"
Housing,"Gross Rent","$2,000 to $2,499",1815,"(+/- 904 )",1131,"(+/- 688 )",384,"(+/- 311 )",1276,"(+/- 856 )",2090,"(+/- 919 )",426,"(+/- 323 )",1779,"(+/- 865 )",216,"(+/- 218 )",802,"(+/- 493 )"
Housing,"Gross Rent","$2,500 to $2,999",0,"(+/- 208 )",113,"(+/- 113 )",299,"(+/- 212 )",137,"(+/- 133 )",1458,"(+/- 836 )",0,"(+/- 208 )",356,"(+/- 302 )",53,"(+/- 86 )",477,"(+/- 446 )"
Housing,"Gross Rent","$3,000 or more",67,"(+/- 119 )",381,"(+/- 255 )",109,"(+/- 115 )",619,"(+/- 647 )",543,"(+/- 378 )",141,"(+/- 178 )",844,"(+/- 715 )",293,"(+/- 323 )",1007,"(+/- 444 )"
