Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
Workers,"Employment Status","Armed Forces",1143,"(+/- 602 )",159,"(+/- 206 )",491,"(+/- 319 )",358,"(+/- 322 )",707,"(+/- 418 )",290,"(+/- 291 )",562,"(+/- 330 )",765,"(+/- 506 )",1032,"(+/- 508 )"
Workers,"Employment Status","Not in labor force",238790,"(+/- 6382 )",221640,"(+/- 7287 )",210954,"(+/- 7990 )",203616,"(+/- 6956 )",194448,"(+/- 6356 )",205869,"(+/- 6853 )",210391,"(+/- 8064 )",195358,"(+/- 7544 )",243778,"(+/- 7768 )"
Workers,"Employment Status","Civilian labor force",362821,"(+/- 6704 )",426548,"(+/- 7584 )",425897,"(+/- 8507 )",423205,"(+/- 8291 )",451432,"(+/- 8487 )",436498,"(+/- 7038 )",458248,"(+/- 9081 )",459868,"(+/- 8040 )",415393,"(+/- 9953 )"
Workers,"Employment Status","Unemployment Rate",7.6,"(+/- 0.8 )",7.4,"(+/- 0.7 )",7.2,"(+/- 0.8 )",6.3,"(+/- 0.7 )",5.4,"(+/- 0.7 )",5.7,"(+/- 0.7 )",8.1,"(+/- 0.7 )",6.3,"(+/- 0.6 )",5.7,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",330242,"(+/- 7301 )",382919,"(+/- 7639 )",385699,"(+/- 8230 )",388952,"(+/- 8569 )",419660,"(+/- 8603 )",402866,"(+/- 7347 )",411868,"(+/- 9115 )",420595,"(+/- 8019 )",383105,"(+/- 9901 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",239715,"(+/- 6861 )",258731,"(+/- 6958 )",249076,"(+/- 7493 )",237131,"(+/- 7652 )",205193,"(+/- 7745 )",258222,"(+/- 7281 )",143613,"(+/- 6224 )",232736,"(+/- 6284 )",272933,"(+/- 9649 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",23575,"(+/- 3718 )",27269,"(+/- 3165 )",32262,"(+/- 3227 )",22411,"(+/- 3275 )",20851,"(+/- 2543 )",21387,"(+/- 3307 )",23845,"(+/- 3609 )",23186,"(+/- 3114 )",27140,"(+/- 3187 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",6252,"(+/- 1738 )",4608,"(+/- 1104 )",3857,"(+/- 1138 )",9981,"(+/- 1533 )",25793,"(+/- 3391 )",9455,"(+/- 1753 )",70768,"(+/- 4555 )",24412,"(+/- 2634 )",3715,"(+/- 968 )"
Workers,"Commuting to Work",Walked,7740,"(+/- 1597 )",10533,"(+/- 1709 )",8568,"(+/- 1962 )",11165,"(+/- 1881 )",13874,"(+/- 1988 )",10721,"(+/- 1930 )",44721,"(+/- 3747 )",15884,"(+/- 2561 )",7311,"(+/- 1472 )"
Workers,"Commuting to Work","Other means",4674,"(+/- 1558 )",7118,"(+/- 1503 )",9648,"(+/- 1678 )",7478,"(+/- 1855 )",11875,"(+/- 1990 )",7433,"(+/- 1697 )",18648,"(+/- 2485 )",7784,"(+/- 1577 )",6615,"(+/- 1527 )"
Workers,"Commuting to Work","Worked from home",48286,"(+/- 3783 )",74660,"(+/- 4695 )",82288,"(+/- 5575 )",100786,"(+/- 5231 )",142074,"(+/- 6556 )",95648,"(+/- 5206 )",110273,"(+/- 5611 )",116593,"(+/- 5905 )",65391,"(+/- 4250 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.1,"(+/- 0.8 )",27.0,"(+/- 0.7 )",28.2,"(+/- 0.8 )",28.1,"(+/- 0.6 )",27.5,"(+/- 0.8 )",27.1,"(+/- 0.7 )",29.7,"(+/- 0.8 )",29.4,"(+/- 0.7 )",26.1,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",335274,"(+/- 7111 )",395044,"(+/- 7894 )",395131,"(+/- 8218 )",396673,"(+/- 8354 )",426916,"(+/- 8349 )",411734,"(+/- 7399 )",421138,"(+/- 9408 )",431047,"(+/- 8245 )",391715,"(+/- 9820 )"
Workers,Occupation,"Management, business, science, and arts occupations",140418,"(+/- 5244 )",189101,"(+/- 5847 )",189608,"(+/- 7558 )",222870,"(+/- 8012 )",265136,"(+/- 7881 )",213530,"(+/- 6582 )",228389,"(+/- 7206 )",236473,"(+/- 7737 )",162834,"(+/- 6074 )"
Workers,Occupation,"Service occupations",55975,"(+/- 3645 )",66328,"(+/- 4643 )",64126,"(+/- 4019 )",46067,"(+/- 3488 )",53769,"(+/- 4903 )",55871,"(+/- 3980 )",76759,"(+/- 4878 )",58284,"(+/- 4449 )",69386,"(+/- 4257 )"
Workers,Occupation,"Sales and office occupations",67559,"(+/- 4600 )",70822,"(+/- 4676 )",64930,"(+/- 4214 )",71653,"(+/- 4905 )",67324,"(+/- 5122 )",78088,"(+/- 5163 )",66927,"(+/- 5011 )",81228,"(+/- 5559 )",77906,"(+/- 4465 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",26568,"(+/- 3113 )",29041,"(+/- 3501 )",25733,"(+/- 2885 )",26851,"(+/- 2954 )",20394,"(+/- 2853 )",28756,"(+/- 3202 )",18585,"(+/- 2787 )",23418,"(+/- 2714 )",38530,"(+/- 3342 )"
Workers,Occupation,"Production, transportation, and material moving occupations",44754,"(+/- 3798 )",39752,"(+/- 3576 )",50734,"(+/- 4105 )",29232,"(+/- 2837 )",20293,"(+/- 2772 )",35489,"(+/- 3125 )",30478,"(+/- 3737 )",31644,"(+/- 3202 )",43059,"(+/- 4083 )"
Workers,Industry,"Civilian employed population 16 years and over",335274,"(+/- 7111 )",395044,"(+/- 7894 )",395131,"(+/- 8218 )",396673,"(+/- 8354 )",426916,"(+/- 8349 )",411734,"(+/- 7399 )",421138,"(+/- 9408 )",431047,"(+/- 8245 )",391715,"(+/- 9820 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",2468,"(+/- 748 )",2729,"(+/- 1112 )",1508,"(+/- 743 )",2914,"(+/- 1212 )",352,"(+/- 269 )",990,"(+/- 662 )",806,"(+/- 527 )",1087,"(+/- 617 )",4004,"(+/- 1139 )"
Workers,Industry,Construction,19610,"(+/- 2718 )",22217,"(+/- 2709 )",22946,"(+/- 2798 )",24321,"(+/- 3203 )",21058,"(+/- 2900 )",27324,"(+/- 2556 )",16900,"(+/- 2966 )",24146,"(+/- 3073 )",35524,"(+/- 3576 )"
Workers,Industry,Manufacturing,34536,"(+/- 3277 )",41526,"(+/- 3651 )",52840,"(+/- 4628 )",32095,"(+/- 3130 )",37569,"(+/- 3313 )",39942,"(+/- 2916 )",25292,"(+/- 2737 )",29381,"(+/- 3136 )",27812,"(+/- 2740 )"
Workers,Industry,"Wholesale trade",6998,"(+/- 1486 )",6903,"(+/- 1494 )",7582,"(+/- 1670 )",8855,"(+/- 1705 )",4177,"(+/- 1037 )",7616,"(+/- 1751 )",4779,"(+/- 1310 )",7176,"(+/- 1433 )",9841,"(+/- 2123 )"
Workers,Industry,"Retail trade",38330,"(+/- 3222 )",41272,"(+/- 3396 )",38024,"(+/- 3395 )",42129,"(+/- 4348 )",35295,"(+/- 3398 )",41140,"(+/- 3982 )",36236,"(+/- 3418 )",42924,"(+/- 4444 )",47088,"(+/- 3324 )"
Workers,Industry,"Transportation and warehousing, and utilities",17725,"(+/- 2261 )",20140,"(+/- 2481 )",18076,"(+/- 2370 )",13505,"(+/- 2280 )",9920,"(+/- 2228 )",19093,"(+/- 2755 )",16664,"(+/- 2430 )",18393,"(+/- 2519 )",18228,"(+/- 2442 )"
Workers,Industry,Information,4496,"(+/- 1098 )",6021,"(+/- 1251 )",7571,"(+/- 1295 )",9269,"(+/- 1607 )",11787,"(+/- 2241 )",7007,"(+/- 1205 )",9753,"(+/- 2007 )",7911,"(+/- 1393 )",5941,"(+/- 1151 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",22987,"(+/- 2876 )",24352,"(+/- 2905 )",23788,"(+/- 3011 )",35258,"(+/- 3331 )",30327,"(+/- 2647 )",34316,"(+/- 3293 )",25556,"(+/- 3037 )",46808,"(+/- 3856 )",28987,"(+/- 3061 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",29871,"(+/- 2435 )",48266,"(+/- 3455 )",65733,"(+/- 3797 )",62415,"(+/- 4328 )",92695,"(+/- 5388 )",69025,"(+/- 4761 )",82678,"(+/- 4471 )",73130,"(+/- 4022 )",50181,"(+/- 3578 )"
Workers,Industry,"Educational services, and health care and social assistance",105234,"(+/- 4730 )",122449,"(+/- 6122 )",101309,"(+/- 6056 )",112581,"(+/- 5756 )",123925,"(+/- 5631 )",103852,"(+/- 5505 )",134881,"(+/- 6321 )",115534,"(+/- 5414 )",92193,"(+/- 4799 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",21413,"(+/- 2554 )",27070,"(+/- 2903 )",26760,"(+/- 2975 )",24881,"(+/- 2815 )",28668,"(+/- 3110 )",27980,"(+/- 3421 )",31785,"(+/- 2977 )",31004,"(+/- 3588 )",34324,"(+/- 3451 )"
Workers,Industry,"Other services, except public administration",13867,"(+/- 1772 )",16364,"(+/- 2034 )",16036,"(+/- 2232 )",15056,"(+/- 1977 )",14434,"(+/- 1953 )",16051,"(+/- 2167 )",18038,"(+/- 2110 )",14164,"(+/- 2029 )",17986,"(+/- 2607 )"
Workers,Industry,"Public administration",17739,"(+/- 2353 )",15735,"(+/- 2445 )",12958,"(+/- 1484 )",13394,"(+/- 1871 )",16709,"(+/- 2386 )",17398,"(+/- 2333 )",17770,"(+/- 2460 )",19389,"(+/- 2504 )",19606,"(+/- 2385 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",335274,"(+/- 7111 )",395044,"(+/- 7894 )",395131,"(+/- 8218 )",396673,"(+/- 8354 )",426916,"(+/- 8349 )",411734,"(+/- 7399 )",421138,"(+/- 9408 )",431047,"(+/- 8245 )",391715,"(+/- 9820 )"
Workers,"Class of Worker","Private wage and salary workers",257594,"(+/- 6910 )",309684,"(+/- 8103 )",328391,"(+/- 8451 )",329241,"(+/- 8190 )",357460,"(+/- 8188 )",334810,"(+/- 7639 )",361106,"(+/- 9355 )",356777,"(+/- 7790 )",305542,"(+/- 9049 )"
Workers,"Class of Worker","Government workers",56596,"(+/- 3889 )",62697,"(+/- 4211 )",44723,"(+/- 3271 )",44496,"(+/- 3180 )",46509,"(+/- 3745 )",52874,"(+/- 4661 )",44389,"(+/- 3557 )",55824,"(+/- 3498 )",54588,"(+/- 3472 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",20557,"(+/- 2776 )",22418,"(+/- 2308 )",21412,"(+/- 2579 )",22621,"(+/- 2674 )",22218,"(+/- 2741 )",23518,"(+/- 2643 )",15238,"(+/- 2417 )",17858,"(+/- 2175 )",31227,"(+/- 3036 )"
Workers,"Class of Worker","Unpaid family workers",527,"(+/- 314 )",245,"(+/- 187 )",605,"(+/- 373 )",315,"(+/- 232 )",729,"(+/- 548 )",532,"(+/- 835 )",405,"(+/- 257 )",588,"(+/- 365 )",358,"(+/- 239 )"
Housing,"Housing Occupancy","Total housing units",327210,"(+/- 2434 )",319744,"(+/- 4344 )",314917,"(+/- 5604 )",304825,"(+/- 4620 )",323171,"(+/- 4986 )",322027,"(+/- 3554 )",343922,"(+/- 5138 )",342634,"(+/- 4194 )",419322,"(+/- 4011 )"
Housing,"Housing Occupancy","Occupied housing units",297314,"(+/- 3707 )",299526,"(+/- 4798 )",299843,"(+/- 5363 )",291375,"(+/- 4734 )",306305,"(+/- 4557 )",304882,"(+/- 3571 )",312412,"(+/- 5539 )",320679,"(+/- 4602 )",326682,"(+/- 6205 )"
Housing,"Housing Occupancy","Vacant housing units",29896,"(+/- 2915 )",20218,"(+/- 2973 )",15074,"(+/- 2280 )",13450,"(+/- 2580 )",16866,"(+/- 2538 )",17145,"(+/- 2603 )",31510,"(+/- 3535 )",21955,"(+/- 3034 )",92640,"(+/- 4726 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.3,"(+/- 0.5 )",0.8,"(+/- 0.4 )",0.4,"(+/- 0.3 )",0.3,"(+/- 0.2 )",0.8,"(+/- 0.5 )",0.4,"(+/- 0.3 )",1.0,"(+/- 0.6 )",0.5,"(+/- 0.3 )",0.3,"(+/- 0.2 )"
Housing,"Housing Occupancy","Rental vacancy rate",2.9,"(+/- 1.1 )",3.4,"(+/- 1.1 )",3.7,"(+/- 1.2 )",3.3,"(+/- 1.4 )",4.1,"(+/- 1.1 )",4.4,"(+/- 1.3 )",4.8,"(+/- 1.0 )",4.7,"(+/- 1.2 )",4.1,"(+/- 1.2 )"
Housing,"Housing Tenure","Occupied housing units",297314,"(+/- 3707 )",299526,"(+/- 4798 )",299843,"(+/- 5363 )",291375,"(+/- 4734 )",306305,"(+/- 4557 )",304882,"(+/- 3571 )",312412,"(+/- 5539 )",320679,"(+/- 4602 )",326682,"(+/- 6205 )"
Housing,"Housing Tenure",Owner-occupied,194792,"(+/- 4383 )",196505,"(+/- 4933 )",192936,"(+/- 5645 )",211260,"(+/- 4531 )",181922,"(+/- 4837 )",220104,"(+/- 5356 )",105233,"(+/- 4723 )",199532,"(+/- 4272 )",240152,"(+/- 6053 )"
Housing,"Housing Tenure",Renter-occupied,102522,"(+/- 4206 )",103021,"(+/- 4665 )",106907,"(+/- 4928 )",80115,"(+/- 4453 )",124383,"(+/- 4822 )",84778,"(+/- 4971 )",207179,"(+/- 5615 )",121147,"(+/- 4466 )",86530,"(+/- 4506 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.51,"(+/- 0.04 )",2.61,"(+/- 0.04 )",2.75,"(+/- 0.05 )",2.73,"(+/- 0.04 )",2.69,"(+/- 0.06 )",2.66,"(+/- 0.04 )",2.39,"(+/- 0.06 )",2.68,"(+/- 0.04 )",2.47,"(+/- 0.04 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.13,"(+/- 0.07 )",2.15,"(+/- 0.07 )",2.28,"(+/- 0.07 )",2.05,"(+/- 0.08 )",2.13,"(+/- 0.07 )",2.02,"(+/- 0.08 )",2.27,"(+/- 0.05 )",1.99,"(+/- 0.05 )",2.09,"(+/- 0.08 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",297314,"(+/- 3707 )",299526,"(+/- 4798 )",299843,"(+/- 5363 )",291375,"(+/- 4734 )",306305,"(+/- 4557 )",304882,"(+/- 3571 )",312412,"(+/- 5539 )",320679,"(+/- 4602 )",326682,"(+/- 6205 )"
Housing,"Year Householder Moved into Unit","Moved in 2019 or later",63495,"(+/- 4749 )",68130,"(+/- 4287 )",78398,"(+/- 4603 )",61804,"(+/- 3747 )",85082,"(+/- 4303 )",63601,"(+/- 4484 )",110964,"(+/- 4817 )",84998,"(+/- 4292 )",64879,"(+/- 4979 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2018",61463,"(+/- 4505 )",63781,"(+/- 3272 )",67654,"(+/- 3727 )",59465,"(+/- 4075 )",63705,"(+/- 4045 )",64637,"(+/- 4332 )",69829,"(+/- 4576 )",69143,"(+/- 4204 )",72216,"(+/- 4370 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",36464,"(+/- 2933 )",38561,"(+/- 3058 )",37391,"(+/- 3120 )",38388,"(+/- 2845 )",40935,"(+/- 3612 )",37573,"(+/- 3094 )",40754,"(+/- 3193 )",44660,"(+/- 3401 )",45649,"(+/- 3526 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",55343,"(+/- 2985 )",53536,"(+/- 3615 )",50116,"(+/- 3808 )",50440,"(+/- 3346 )",50017,"(+/- 3218 )",52921,"(+/- 3677 )",44109,"(+/- 3614 )",51437,"(+/- 3175 )",57542,"(+/- 3774 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",35711,"(+/- 2821 )",35704,"(+/- 2799 )",31909,"(+/- 2730 )",39634,"(+/- 3037 )",30492,"(+/- 2799 )",39832,"(+/- 2811 )",23370,"(+/- 2691 )",32458,"(+/- 3051 )",40584,"(+/- 3143 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",44838,"(+/- 2461 )",39814,"(+/- 2939 )",34375,"(+/- 2501 )",41644,"(+/- 2794 )",36074,"(+/- 2498 )",46318,"(+/- 3362 )",23386,"(+/- 2506 )",37983,"(+/- 3271 )",45812,"(+/- 3081 )"
Housing,Value,"Owner-occupied units",194792,"(+/- 4383 )",196505,"(+/- 4933 )",192936,"(+/- 5645 )",211260,"(+/- 4531 )",181922,"(+/- 4837 )",220104,"(+/- 5356 )",105233,"(+/- 4723 )",199532,"(+/- 4272 )",240152,"(+/- 6053 )"
Housing,Value,"Less than $50,000",6250,"(+/- 1052 )",6117,"(+/- 1240 )",4121,"(+/- 1069 )",3970,"(+/- 1129 )",2496,"(+/- 822 )",3786,"(+/- 915 )",2580,"(+/- 801 )",3161,"(+/- 943 )",5866,"(+/- 1411 )"
Housing,Value,"$50,000 to $99,999",5012,"(+/- 1171 )",2585,"(+/- 880 )",1670,"(+/- 769 )",1497,"(+/- 719 )",1597,"(+/- 571 )",2248,"(+/- 819 )",869,"(+/- 395 )",1349,"(+/- 503 )",2086,"(+/- 748 )"
Housing,Value,"$100,000 to $149,999",12601,"(+/- 1626 )",5097,"(+/- 1372 )",2182,"(+/- 879 )",1096,"(+/- 626 )",597,"(+/- 337 )",1156,"(+/- 543 )",645,"(+/- 389 )",698,"(+/- 452 )",2333,"(+/- 768 )"
Housing,Value,"$150,000 to $199,999",24823,"(+/- 2185 )",9334,"(+/- 1460 )",7321,"(+/- 1456 )",3462,"(+/- 1028 )",557,"(+/- 315 )",2178,"(+/- 641 )",1424,"(+/- 646 )",1187,"(+/- 508 )",4200,"(+/- 1191 )"
Housing,Value,"$200,000 to $299,999",67707,"(+/- 3363 )",43361,"(+/- 2790 )",28212,"(+/- 2825 )",17600,"(+/- 1764 )",5804,"(+/- 1261 )",8942,"(+/- 1545 )",5027,"(+/- 1147 )",10652,"(+/- 1439 )",25976,"(+/- 2357 )"
Housing,Value,"$300,000 to $499,999",58488,"(+/- 3249 )",90279,"(+/- 4186 )",75034,"(+/- 4120 )",74828,"(+/- 3933 )",29768,"(+/- 2827 )",65123,"(+/- 4118 )",24200,"(+/- 2627 )",64121,"(+/- 3890 )",93951,"(+/- 4317 )"
Housing,Value,"$500,000 to $999,999",17817,"(+/- 2535 )",37463,"(+/- 2841 )",64733,"(+/- 3543 )",71328,"(+/- 3641 )",107779,"(+/- 4140 )",120153,"(+/- 4299 )",51879,"(+/- 3577 )",99254,"(+/- 4571 )",87426,"(+/- 4398 )"
Housing,Value,"$1,000,000 or more",2094,"(+/- 729 )",2269,"(+/- 691 )",9663,"(+/- 1344 )",37479,"(+/- 2202 )",33324,"(+/- 2292 )",16518,"(+/- 1985 )",18609,"(+/- 2050 )",19110,"(+/- 2195 )",18314,"(+/- 1866 )"
Housing,Value,"Median (dollars)",271900,"(+/- 4358 )",361100,"(+/- 5030 )",442100,"(+/- 7163 )",516500,"(+/- 15232 )",693100,"(+/- 9929 )",576100,"(+/- 8696 )",627100,"(+/- 14690 )",564800,"(+/- 10825 )",470200,"(+/- 6694 )"
Housing,"Mortgage Status","Owner-occupied units",194792,"(+/- 4383 )",196505,"(+/- 4933 )",192936,"(+/- 5645 )",211260,"(+/- 4531 )",181922,"(+/- 4837 )",220104,"(+/- 5356 )",105233,"(+/- 4723 )",199532,"(+/- 4272 )",240152,"(+/- 6053 )"
Housing,"Mortgage Status","Housing units with a mortgage",127326,"(+/- 4575 )",132709,"(+/- 4657 )",137323,"(+/- 5799 )",141446,"(+/- 3965 )",122896,"(+/- 4657 )",150649,"(+/- 4835 )",75144,"(+/- 4258 )",139444,"(+/- 4120 )",156938,"(+/- 6246 )"
Housing,"Mortgage Status","Housing units without a mortgage",67466,"(+/- 3205 )",63796,"(+/- 3479 )",55613,"(+/- 3202 )",69814,"(+/- 4240 )",59026,"(+/- 3492 )",69455,"(+/- 3959 )",30089,"(+/- 2559 )",60088,"(+/- 3546 )",83214,"(+/- 4129 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",127326,"(+/- 4575 )",132709,"(+/- 4657 )",137323,"(+/- 5799 )",141446,"(+/- 3965 )",122896,"(+/- 4657 )",150649,"(+/- 4835 )",75144,"(+/- 4258 )",139444,"(+/- 4120 )",156938,"(+/- 6246 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",804,"(+/- 351 )",1171,"(+/- 567 )",366,"(+/- 268 )",248,"(+/- 190 )",456,"(+/- 412 )",515,"(+/- 416 )",587,"(+/- 457 )",295,"(+/- 285 )",1415,"(+/- 774 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",10542,"(+/- 1632 )",8025,"(+/- 1454 )",4623,"(+/- 1176 )",3206,"(+/- 875 )",1863,"(+/- 731 )",4107,"(+/- 1003 )",2387,"(+/- 808 )",2809,"(+/- 775 )",6702,"(+/- 1345 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",35722,"(+/- 3176 )",24044,"(+/- 2168 )",18027,"(+/- 2353 )",12842,"(+/- 1976 )",6542,"(+/- 1282 )",9012,"(+/- 1387 )",7361,"(+/- 1386 )",10232,"(+/- 1712 )",20290,"(+/- 2470 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",38116,"(+/- 2810 )",33605,"(+/- 2934 )",29260,"(+/- 2902 )",25233,"(+/- 2718 )",15207,"(+/- 2099 )",23671,"(+/- 2370 )",12722,"(+/- 1700 )",22340,"(+/- 2644 )",38601,"(+/- 3454 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",22652,"(+/- 2284 )",29699,"(+/- 3291 )",29635,"(+/- 2783 )",28996,"(+/- 2598 )",19926,"(+/- 2107 )",33031,"(+/- 3055 )",13643,"(+/- 2463 )",33867,"(+/- 2798 )",35035,"(+/- 2896 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",10036,"(+/- 1470 )",17917,"(+/- 2099 )",20797,"(+/- 2440 )",21453,"(+/- 2353 )",21438,"(+/- 2663 )",29568,"(+/- 2986 )",12267,"(+/- 1957 )",26323,"(+/- 2792 )",22381,"(+/- 2445 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",9454,"(+/- 1402 )",18248,"(+/- 2074 )",34615,"(+/- 2659 )",49468,"(+/- 2890 )",57464,"(+/- 3128 )",50745,"(+/- 3331 )",26177,"(+/- 2851 )",43578,"(+/- 3389 )",32514,"(+/- 3305 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1689,"(+/- 30 )",1994,"(+/- 43 )",2276,"(+/- 41 )",2505,"(+/- 54 )",2907,"(+/- 61 )",2584,"(+/- 48 )",2536,"(+/- 106 )",2503,"(+/- 58 )",2164,"(+/- 38 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",67466,"(+/- 3205 )",63796,"(+/- 3479 )",55613,"(+/- 3202 )",69814,"(+/- 4240 )",59026,"(+/- 3492 )",69455,"(+/- 3959 )",30089,"(+/- 2559 )",60088,"(+/- 3546 )",83214,"(+/- 4129 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",2224,"(+/- 702 )",1260,"(+/- 481 )",855,"(+/- 425 )",972,"(+/- 589 )",839,"(+/- 444 )",1123,"(+/- 475 )",1150,"(+/- 458 )",1153,"(+/- 572 )",1551,"(+/- 521 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",4056,"(+/- 921 )",2667,"(+/- 958 )",1880,"(+/- 675 )",1453,"(+/- 649 )",1360,"(+/- 623 )",1434,"(+/- 619 )",1308,"(+/- 605 )",1678,"(+/- 592 )",4037,"(+/- 1080 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",16381,"(+/- 1687 )",10268,"(+/- 1526 )",7366,"(+/- 1516 )",6618,"(+/- 1357 )",3343,"(+/- 772 )",5713,"(+/- 1496 )",4706,"(+/- 927 )",6711,"(+/- 1373 )",11932,"(+/- 1450 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",21939,"(+/- 2214 )",18234,"(+/- 2138 )",13037,"(+/- 1833 )",13819,"(+/- 2050 )",8957,"(+/- 1401 )",14311,"(+/- 1867 )",6939,"(+/- 1361 )",11816,"(+/- 1764 )",20907,"(+/- 2418 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",11821,"(+/- 1761 )",15117,"(+/- 2003 )",12977,"(+/- 1843 )",13378,"(+/- 2017 )",10454,"(+/- 1723 )",16113,"(+/- 2054 )",6062,"(+/- 1278 )",14502,"(+/- 1843 )",16466,"(+/- 1779 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",11045,"(+/- 1316 )",16250,"(+/- 2059 )",19498,"(+/- 1859 )",33574,"(+/- 2358 )",34073,"(+/- 2859 )",30761,"(+/- 2366 )",9924,"(+/- 1580 )",24228,"(+/- 2480 )",28321,"(+/- 2708 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",693,"(+/- 17 )",795,"(+/- 21 )",871,"(+/- 29 )",979,"(+/- 32 )",1087,"(+/- 34 )",937,"(+/- 29 )",831,"(+/- 38 )",922,"(+/- 26 )",832,"(+/- 21 )"
Housing,"Gross Rent","Occupied units paying rent",97252,"(+/- 4197 )",98626,"(+/- 4401 )",102944,"(+/- 4688 )",76000,"(+/- 4497 )",119509,"(+/- 4743 )",81307,"(+/- 4795 )",202618,"(+/- 5626 )",117471,"(+/- 4451 )",82647,"(+/- 4202 )"
Housing,"Gross Rent","Less than $500",16360,"(+/- 2201 )",12542,"(+/- 2095 )",12066,"(+/- 1686 )",7383,"(+/- 1394 )",9042,"(+/- 1567 )",10536,"(+/- 1852 )",28691,"(+/- 2911 )",11131,"(+/- 1535 )",9787,"(+/- 1562 )"
Housing,"Gross Rent","$500 to $999",31982,"(+/- 3518 )",19863,"(+/- 2158 )",13709,"(+/- 1804 )",12804,"(+/- 1733 )",7745,"(+/- 1579 )",9403,"(+/- 1754 )",19545,"(+/- 2675 )",11288,"(+/- 1968 )",25571,"(+/- 2696 )"
Housing,"Gross Rent","$1,000 to $1,499",34735,"(+/- 3278 )",38504,"(+/- 3303 )",32538,"(+/- 2909 )",17155,"(+/- 2757 )",17843,"(+/- 2305 )",17078,"(+/- 1918 )",25072,"(+/- 2544 )",17519,"(+/- 2340 )",25105,"(+/- 2961 )"
Housing,"Gross Rent","$1,500 to $1,999",11170,"(+/- 2334 )",18522,"(+/- 2364 )",28572,"(+/- 2879 )",15551,"(+/- 2064 )",31500,"(+/- 3007 )",21979,"(+/- 2779 )",45142,"(+/- 3178 )",33871,"(+/- 3422 )",13934,"(+/- 2029 )"
Housing,"Gross Rent","$2,000 to $2,499",1228,"(+/- 545 )",6002,"(+/- 1237 )",10517,"(+/- 1983 )",9125,"(+/- 1518 )",25282,"(+/- 2713 )",12373,"(+/- 2024 )",38374,"(+/- 2729 )",21437,"(+/- 2733 )",4540,"(+/- 1186 )"
Housing,"Gross Rent","$2,500 to $2,999",681,"(+/- 498 )",1278,"(+/- 467 )",2976,"(+/- 1013 )",6433,"(+/- 1210 )",15634,"(+/- 2277 )",6228,"(+/- 1480 )",21003,"(+/- 2772 )",9059,"(+/- 1496 )",1450,"(+/- 663 )"
