Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",37449,"(+/- 2575 )",37849,"(+/- 2783 )",39246,"(+/- 3045 )",41876,"(+/- 3134 )",48624,"(+/- 3008 )",44195,"(+/- 2967 )",41522,"(+/- 3277 )",27836,"(+/- 2452 )",59090,"(+/- 3033 )",30759,"(+/- 2595 )",24455,"(+/- 1884 )"
People,"Residence 1 Year Ago","Population 1 year and over",827887,"(+/- 11968 )",740700,"(+/- 7721 )",752638,"(+/- 9373 )",775053,"(+/- 12847 )",736883,"(+/- 6757 )",756463,"(+/- 4907 )",823640,"(+/- 11409 )",777937,"(+/- 12864 )",686955,"(+/- 4436 )",886393,"(+/- 12615 )",792471,"(+/- 17736 )"
People,"Residence 1 Year Ago","Same house",725678,"(+/- 12409 )",623778,"(+/- 10199 )",639339,"(+/- 11976 )",665779,"(+/- 15447 )",646386,"(+/- 11211 )",654800,"(+/- 8073 )",722396,"(+/- 13493 )",641397,"(+/- 15166 )",607283,"(+/- 6773 )",781091,"(+/- 12578 )",676796,"(+/- 16316 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",102209,"(+/- 8676 )",116922,"(+/- 8680 )",113299,"(+/- 9663 )",109274,"(+/- 9350 )",90497,"(+/- 7574 )",101663,"(+/- 6517 )",101244,"(+/- 7692 )",136540,"(+/- 9638 )",79672,"(+/- 5918 )",105302,"(+/- 9472 )",115675,"(+/- 7764 )"
People,"Residence 1 Year Ago","Different house in the U.S.",99801,"(+/- 8476 )",113763,"(+/- 8421 )",110189,"(+/- 9367 )",107345,"(+/- 9298 )",88740,"(+/- 7472 )",99201,"(+/- 6226 )",99247,"(+/- 7760 )",122804,"(+/- 8966 )",78898,"(+/- 5952 )",99110,"(+/- 9057 )",108864,"(+/- 7553 )"
People,"Residence 1 Year Ago","Same county",27549,"(+/- 4620 )",43829,"(+/- 4650 )",39080,"(+/- 4958 )",32964,"(+/- 5182 )",25270,"(+/- 4618 )",38126,"(+/- 4288 )",38955,"(+/- 5710 )",48989,"(+/- 6919 )",35487,"(+/- 4921 )",39134,"(+/- 6429 )",53688,"(+/- 5976 )"
People,"Residence 1 Year Ago","Different county",72252,"(+/- 7292 )",69934,"(+/- 6899 )",71109,"(+/- 7353 )",74381,"(+/- 8595 )",63470,"(+/- 6616 )",61075,"(+/- 5087 )",60292,"(+/- 6793 )",73815,"(+/- 5708 )",43411,"(+/- 4648 )",59976,"(+/- 6909 )",55176,"(+/- 5991 )"
People,"Residence 1 Year Ago","Same state",50867,"(+/- 6840 )",32061,"(+/- 4847 )",42593,"(+/- 5437 )",52654,"(+/- 7056 )",37854,"(+/- 4720 )",41463,"(+/- 4500 )",45231,"(+/- 6132 )",29233,"(+/- 4378 )",28210,"(+/- 3345 )",40259,"(+/- 5674 )",31773,"(+/- 4669 )"
People,"Residence 1 Year Ago","Different state",21385,"(+/- 4155 )",37873,"(+/- 4936 )",28516,"(+/- 4981 )",21727,"(+/- 4672 )",25616,"(+/- 4477 )",19612,"(+/- 2715 )",15061,"(+/- 3767 )",44582,"(+/- 5119 )",15201,"(+/- 3111 )",19717,"(+/- 3895 )",23403,"(+/- 3465 )"
People,"Residence 1 Year Ago",Abroad,2408,"(+/- 1170 )",3159,"(+/- 1158 )",3110,"(+/- 1259 )",1929,"(+/- 1160 )",1757,"(+/- 866 )",2462,"(+/- 1148 )",1997,"(+/- 877 )",13736,"(+/- 3180 )",774,"(+/- 501 )",6192,"(+/- 2904 )",6811,"(+/- 2596 )"
Workers,"Employment Status","Population 16 years and over",666342,"(+/- 8898 )",605888,"(+/- 6054 )",608913,"(+/- 7216 )",641072,"(+/- 10997 )",616426,"(+/- 5421 )",627707,"(+/- 3482 )",662748,"(+/- 10121 )",641378,"(+/- 9969 )",583284,"(+/- 3845 )",694135,"(+/- 9603 )",632825,"(+/- 14027 )"
Workers,"Employment Status","In labor force",434019,"(+/- 9199 )",410407,"(+/- 7339 )",408244,"(+/- 7329 )",405584,"(+/- 9244 )",354883,"(+/- 7195 )",386295,"(+/- 6464 )",440154,"(+/- 10782 )",478092,"(+/- 10110 )",297733,"(+/- 6543 )",483707,"(+/- 8730 )",454717,"(+/- 13046 )"
Workers,"Employment Status","Civilian labor force",420745,"(+/- 9189 )",357579,"(+/- 7704 )",375581,"(+/- 7716 )",395784,"(+/- 9173 )",354104,"(+/- 7157 )",385143,"(+/- 6569 )",438416,"(+/- 10801 )",463937,"(+/- 10309 )",296214,"(+/- 6677 )",481355,"(+/- 8687 )",448888,"(+/- 13229 )"
Workers,"Employment Status",Employed,402809,"(+/- 8654 )",343508,"(+/- 7597 )",351246,"(+/- 8052 )",372464,"(+/- 8852 )",338691,"(+/- 7148 )",367714,"(+/- 6901 )",416618,"(+/- 10450 )",442993,"(+/- 9365 )",281867,"(+/- 7080 )",464610,"(+/- 8644 )",423902,"(+/- 12455 )"
Workers,"Employment Status",Unemployed,17936,"(+/- 2590 )",14071,"(+/- 2465 )",24335,"(+/- 3375 )",23320,"(+/- 2987 )",15413,"(+/- 2238 )",17429,"(+/- 2554 )",21798,"(+/- 2788 )",20944,"(+/- 2903 )",14347,"(+/- 2659 )",16745,"(+/- 2234 )",24986,"(+/- 2493 )"
Workers,"Employment Status","Armed Forces",13274,"(+/- 2589 )",52828,"(+/- 4148 )",32663,"(+/- 3599 )",9800,"(+/- 2241 )",779,"(+/- 542 )",1152,"(+/- 708 )",1738,"(+/- 738 )",14155,"(+/- 2192 )",1519,"(+/- 1022 )",2352,"(+/- 884 )",5829,"(+/- 1306 )"
Workers,"Employment Status","Not in labor force",232323,"(+/- 6701 )",195481,"(+/- 6083 )",200669,"(+/- 5717 )",235488,"(+/- 8477 )",261543,"(+/- 7180 )",241412,"(+/- 6191 )",222594,"(+/- 6954 )",163286,"(+/- 6016 )",285551,"(+/- 7094 )",210428,"(+/- 7218 )",178108,"(+/- 6116 )"
Workers,"Employment Status","Civilian labor force",420745,"(+/- 9189 )",357579,"(+/- 7704 )",375581,"(+/- 7716 )",395784,"(+/- 9173 )",354104,"(+/- 7157 )",385143,"(+/- 6569 )",438416,"(+/- 10801 )",463937,"(+/- 10309 )",296214,"(+/- 6677 )",481355,"(+/- 8687 )",448888,"(+/- 13229 )"
Workers,"Employment Status","Unemployment Rate",4.3,"(+/- 0.6 )",3.9,"(+/- 0.7 )",6.5,"(+/- 0.9 )",5.9,"(+/- 0.7 )",4.4,"(+/- 0.6 )",4.5,"(+/- 0.7 )",5.0,"(+/- 0.6 )",4.5,"(+/- 0.6 )",4.8,"(+/- 0.9 )",3.5,"(+/- 0.5 )",5.6,"(+/- 0.5 )"
Workers,"Commuting to Work","Workers 16 years and over",409250,"(+/- 8865 )",388285,"(+/- 7472 )",375012,"(+/- 8070 )",375430,"(+/- 8746 )",331768,"(+/- 7296 )",361650,"(+/- 6642 )",410633,"(+/- 10499 )",451552,"(+/- 9237 )",277792,"(+/- 6831 )",459628,"(+/- 8755 )",421832,"(+/- 12328 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",277630,"(+/- 8965 )",279560,"(+/- 6703 )",274546,"(+/- 8292 )",267255,"(+/- 8326 )",239089,"(+/- 8040 )",272089,"(+/- 7026 )",279933,"(+/- 8801 )",199628,"(+/- 8040 )",221217,"(+/- 6084 )",258556,"(+/- 7802 )",226901,"(+/- 10510 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",28899,"(+/- 3663 )",32301,"(+/- 3717 )",29064,"(+/- 4199 )",26488,"(+/- 2868 )",25912,"(+/- 3352 )",29226,"(+/- 3349 )",21880,"(+/- 2609 )",24316,"(+/- 2753 )",19397,"(+/- 2566 )",30900,"(+/- 3467 )",32113,"(+/- 3522 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",2587,"(+/- 767 )",2684,"(+/- 1114 )",6467,"(+/- 1383 )",5146,"(+/- 1402 )",2219,"(+/- 701 )",2532,"(+/- 995 )",1274,"(+/- 683 )",26715,"(+/- 3475 )",1623,"(+/- 724 )",3914,"(+/- 1127 )",7759,"(+/- 1418 )"
Workers,"Commuting to Work",Walked,5626,"(+/- 1471 )",11979,"(+/- 1852 )",11952,"(+/- 2161 )",6466,"(+/- 1372 )",6488,"(+/- 1335 )",9676,"(+/- 2070 )",3422,"(+/- 1070 )",11432,"(+/- 1969 )",6964,"(+/- 1277 )",5600,"(+/- 1460 )",6780,"(+/- 1464 )"
Workers,"Commuting to Work","Other means",4906,"(+/- 1056 )",5291,"(+/- 1176 )",7340,"(+/- 1963 )",5748,"(+/- 1585 )",5209,"(+/- 1316 )",5075,"(+/- 1272 )",4223,"(+/- 1459 )",11198,"(+/- 1815 )",2664,"(+/- 875 )",8124,"(+/- 1956 )",6685,"(+/- 1371 )"
Workers,"Commuting to Work","Worked from home",89602,"(+/- 4550 )",56470,"(+/- 4181 )",45643,"(+/- 3617 )",64327,"(+/- 3839 )",52851,"(+/- 3880 )",43052,"(+/- 3347 )",99901,"(+/- 5060 )",178263,"(+/- 7176 )",25927,"(+/- 2934 )",152534,"(+/- 5623 )",141594,"(+/- 6125 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",32.6,"(+/- 0.8 )",23.3,"(+/- 0.6 )",22.3,"(+/- 0.5 )",26.0,"(+/- 0.6 )",26.9,"(+/- 0.7 )",22.3,"(+/- 0.6 )",28.0,"(+/- 0.8 )",26.2,"(+/- 0.8 )",24.3,"(+/- 0.8 )",29.6,"(+/- 0.7 )",29.2,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",402809,"(+/- 8654 )",343508,"(+/- 7597 )",351246,"(+/- 8052 )",372464,"(+/- 8852 )",338691,"(+/- 7148 )",367714,"(+/- 6901 )",416618,"(+/- 10450 )",442993,"(+/- 9365 )",281867,"(+/- 7080 )",464610,"(+/- 8644 )",423902,"(+/- 12455 )"
Workers,Occupation,"Management, business, science, and arts occupations",192192,"(+/- 6924 )",155015,"(+/- 6194 )",135437,"(+/- 5519 )",152780,"(+/- 5923 )",135169,"(+/- 5838 )",145222,"(+/- 5600 )",206408,"(+/- 7270 )",287948,"(+/- 6948 )",102330,"(+/- 5175 )",272842,"(+/- 6880 )",246448,"(+/- 7753 )"
Workers,Occupation,"Service occupations",62828,"(+/- 4700 )",58044,"(+/- 4444 )",64708,"(+/- 4572 )",66207,"(+/- 4897 )",58401,"(+/- 4677 )",60128,"(+/- 4524 )",58498,"(+/- 4935 )",52223,"(+/- 4375 )",49413,"(+/- 4073 )",57449,"(+/- 3997 )",59100,"(+/- 5603 )"
Workers,Occupation,"Sales and office occupations",76511,"(+/- 4657 )",68427,"(+/- 5584 )",73725,"(+/- 4712 )",73917,"(+/- 4249 )",68006,"(+/- 4050 )",73805,"(+/- 4524 )",77723,"(+/- 5326 )",59726,"(+/- 5087 )",52515,"(+/- 3831 )",75914,"(+/- 4392 )",67869,"(+/- 5471 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",37814,"(+/- 3363 )",25824,"(+/- 2383 )",28465,"(+/- 3299 )",28496,"(+/- 3188 )",32290,"(+/- 3115 )",31535,"(+/- 2941 )",35920,"(+/- 3783 )",21805,"(+/- 2915 )",27788,"(+/- 2822 )",24642,"(+/- 2747 )",20457,"(+/- 2833 )"
Workers,Occupation,"Production, transportation, and material moving occupations",33464,"(+/- 2989 )",36198,"(+/- 3590 )",48911,"(+/- 4031 )",51064,"(+/- 4285 )",44825,"(+/- 3307 )",57024,"(+/- 4097 )",38069,"(+/- 3180 )",21291,"(+/- 2685 )",49821,"(+/- 3600 )",33763,"(+/- 3310 )",30028,"(+/- 3310 )"
Workers,Industry,"Civilian employed population 16 years and over",402809,"(+/- 8654 )",343508,"(+/- 7597 )",351246,"(+/- 8052 )",372464,"(+/- 8852 )",338691,"(+/- 7148 )",367714,"(+/- 6901 )",416618,"(+/- 10450 )",442993,"(+/- 9365 )",281867,"(+/- 7080 )",464610,"(+/- 8644 )",423902,"(+/- 12455 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",4441,"(+/- 1319 )",1590,"(+/- 626 )",2075,"(+/- 915 )",2189,"(+/- 814 )",5732,"(+/- 1502 )",7176,"(+/- 1616 )",2380,"(+/- 841 )",981,"(+/- 541 )",7313,"(+/- 1402 )",2617,"(+/- 1100 )",804,"(+/- 830 )"
Workers,Industry,Construction,33036,"(+/- 3722 )",17007,"(+/- 2382 )",19653,"(+/- 2939 )",24916,"(+/- 2757 )",23772,"(+/- 2481 )",24276,"(+/- 2480 )",34539,"(+/- 3808 )",22013,"(+/- 2628 )",16463,"(+/- 2617 )",30716,"(+/- 3331 )",23036,"(+/- 3477 )"
Workers,Industry,Manufacturing,20151,"(+/- 2654 )",26458,"(+/- 3463 )",39015,"(+/- 3508 )",28551,"(+/- 2791 )",29390,"(+/- 2759 )",40657,"(+/- 3162 )",27416,"(+/- 3806 )",10689,"(+/- 1638 )",39904,"(+/- 3557 )",23719,"(+/- 2651 )",12277,"(+/- 2150 )"
Workers,Industry,"Wholesale trade",8136,"(+/- 1761 )",7431,"(+/- 1662 )",6362,"(+/- 1476 )",6916,"(+/- 1334 )",5660,"(+/- 1291 )",7646,"(+/- 1674 )",9632,"(+/- 1909 )",3400,"(+/- 1079 )",4757,"(+/- 1100 )",5929,"(+/- 1442 )",3976,"(+/- 948 )"
Workers,Industry,"Retail trade",40234,"(+/- 4096 )",34739,"(+/- 3434 )",40121,"(+/- 3543 )",37525,"(+/- 3646 )",40408,"(+/- 3780 )",41816,"(+/- 3500 )",40066,"(+/- 4014 )",27160,"(+/- 3747 )",31655,"(+/- 2506 )",37638,"(+/- 3340 )",35645,"(+/- 3857 )"
Workers,Industry,"Transportation and warehousing, and utilities",17981,"(+/- 2461 )",17155,"(+/- 2906 )",20210,"(+/- 2944 )",24594,"(+/- 3152 )",17305,"(+/- 2283 )",21584,"(+/- 2830 )",18137,"(+/- 2334 )",11042,"(+/- 1869 )",13925,"(+/- 1911 )",22001,"(+/- 2839 )",16618,"(+/- 2070 )"
Workers,Industry,Information,7495,"(+/- 1532 )",5549,"(+/- 1556 )",4390,"(+/- 1203 )",4808,"(+/- 1249 )",4325,"(+/- 1196 )",5282,"(+/- 1350 )",6028,"(+/- 1256 )",11288,"(+/- 1678 )",3089,"(+/- 991 )",14562,"(+/- 2114 )",9650,"(+/- 1634 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",21761,"(+/- 2428 )",21763,"(+/- 2807 )",15841,"(+/- 2289 )",29050,"(+/- 3011 )",17040,"(+/- 2169 )",20009,"(+/- 2810 )",39878,"(+/- 4042 )",32109,"(+/- 2816 )",12079,"(+/- 2109 )",30092,"(+/- 2931 )",30131,"(+/- 3307 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",66133,"(+/- 4918 )",52131,"(+/- 4028 )",41270,"(+/- 3398 )",45153,"(+/- 3592 )",42217,"(+/- 3446 )",35393,"(+/- 3081 )",60752,"(+/- 4001 )",120501,"(+/- 5912 )",24273,"(+/- 2736 )",118413,"(+/- 6097 )",108062,"(+/- 5892 )"
Workers,Industry,"Educational services, and health care and social assistance",87048,"(+/- 4689 )",79011,"(+/- 5102 )",86549,"(+/- 4663 )",84948,"(+/- 4807 )",89517,"(+/- 4847 )",97646,"(+/- 4398 )",97310,"(+/- 6120 )",74983,"(+/- 4662 )",76406,"(+/- 4172 )",86834,"(+/- 5509 )",80225,"(+/- 5031 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",29651,"(+/- 3651 )",35714,"(+/- 3283 )",32944,"(+/- 3738 )",32889,"(+/- 3581 )",25279,"(+/- 2813 )",33798,"(+/- 3725 )",27863,"(+/- 3426 )",30418,"(+/- 2907 )",23065,"(+/- 3035 )",30385,"(+/- 3601 )",33539,"(+/- 4012 )"
Workers,Industry,"Other services, except public administration",22478,"(+/- 3359 )",16394,"(+/- 2432 )",15611,"(+/- 2433 )",21863,"(+/- 2569 )",16243,"(+/- 1979 )",18684,"(+/- 2411 )",20797,"(+/- 2453 )",30137,"(+/- 2606 )",14678,"(+/- 2089 )",19955,"(+/- 2483 )",23553,"(+/- 2338 )"
Workers,Industry,"Public administration",44264,"(+/- 3412 )",28566,"(+/- 2676 )",27205,"(+/- 3247 )",29062,"(+/- 2742 )",21803,"(+/- 2847 )",13747,"(+/- 2223 )",31820,"(+/- 3460 )",68272,"(+/- 3868 )",14260,"(+/- 2028 )",41749,"(+/- 3323 )",46386,"(+/- 3171 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",402809,"(+/- 8654 )",343508,"(+/- 7597 )",351246,"(+/- 8052 )",372464,"(+/- 8852 )",338691,"(+/- 7148 )",367714,"(+/- 6901 )",416618,"(+/- 10450 )",442993,"(+/- 9365 )",281867,"(+/- 7080 )",464610,"(+/- 8644 )",423902,"(+/- 12455 )"
Workers,"Class of Worker","Private wage and salary workers",288553,"(+/- 8527 )",251705,"(+/- 7530 )",264164,"(+/- 7885 )",281034,"(+/- 9387 )",246579,"(+/- 6495 )",291448,"(+/- 6778 )",314935,"(+/- 9256 )",309315,"(+/- 8554 )",211316,"(+/- 6479 )",353831,"(+/- 9246 )",312299,"(+/- 10848 )"
Workers,"Class of Worker","Government workers",92086,"(+/- 4862 )",75075,"(+/- 4043 )",75016,"(+/- 5018 )",73161,"(+/- 4795 )",72537,"(+/- 4906 )",53489,"(+/- 4099 )",77145,"(+/- 5500 )",109430,"(+/- 5365 )",55365,"(+/- 3962 )",87671,"(+/- 4843 )",90265,"(+/- 4509 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",21185,"(+/- 2667 )",16477,"(+/- 2550 )",11275,"(+/- 1807 )",17333,"(+/- 2395 )",19129,"(+/- 2197 )",21257,"(+/- 2605 )",23862,"(+/- 2677 )",23867,"(+/- 2762 )",14398,"(+/- 2179 )",22203,"(+/- 2724 )",20496,"(+/- 2660 )"
Workers,"Class of Worker","Unpaid family workers",985,"(+/- 594 )",251,"(+/- 238 )",791,"(+/- 563 )",936,"(+/- 754 )",446,"(+/- 438 )",1520,"(+/- 792 )",676,"(+/- 648 )",381,"(+/- 263 )",788,"(+/- 468 )",905,"(+/- 438 )",842,"(+/- 392 )"
Housing,"Housing Occupancy","Total housing units",329399,"(+/- 3579 )",320342,"(+/- 3266 )",333377,"(+/- 3820 )",338786,"(+/- 4527 )",350568,"(+/- 2979 )",339560,"(+/- 2768 )",334608,"(+/- 4591 )",353187,"(+/- 4225 )",342526,"(+/- 2799 )",309512,"(+/- 3540 )",300464,"(+/- 5110 )"
Housing,"Housing Occupancy","Occupied housing units",297988,"(+/- 4101 )",295313,"(+/- 3457 )",316733,"(+/- 3808 )",309476,"(+/- 5445 )",296644,"(+/- 4256 )",302795,"(+/- 4555 )",314081,"(+/- 5203 )",324687,"(+/- 4529 )",284060,"(+/- 4423 )",300190,"(+/- 3767 )",289494,"(+/- 5275 )"
Housing,"Housing Occupancy","Vacant housing units",31411,"(+/- 3247 )",25029,"(+/- 2736 )",16644,"(+/- 2494 )",29310,"(+/- 2981 )",53924,"(+/- 4016 )",36765,"(+/- 3898 )",20527,"(+/- 2428 )",28500,"(+/- 3452 )",58466,"(+/- 4169 )",9322,"(+/- 1724 )",10970,"(+/- 1788 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.0,"(+/- 0.4 )",0.8,"(+/- 0.5 )",1.1,"(+/- 0.4 )",0.9,"(+/- 0.5 )",0.9,"(+/- 0.4 )",1.0,"(+/- 0.4 )",0.5,"(+/- 0.3 )",0.5,"(+/- 0.4 )",1.0,"(+/- 0.4 )",0.5,"(+/- 0.3 )",0.5,"(+/- 0.3 )"
Housing,"Housing Occupancy","Rental vacancy rate",6.2,"(+/- 2.0 )",4.2,"(+/- 1.2 )",2.8,"(+/- 0.9 )",4.6,"(+/- 1.2 )",2.7,"(+/- 1.2 )",7.1,"(+/- 1.7 )",3.5,"(+/- 1.3 )",7.0,"(+/- 1.3 )",3.5,"(+/- 1.2 )",3.7,"(+/- 1.4 )",4.6,"(+/- 1.4 )"
Housing,"Housing Tenure","Occupied housing units",297988,"(+/- 4101 )",295313,"(+/- 3457 )",316733,"(+/- 3808 )",309476,"(+/- 5445 )",296644,"(+/- 4256 )",302795,"(+/- 4555 )",314081,"(+/- 5203 )",324687,"(+/- 4529 )",284060,"(+/- 4423 )",300190,"(+/- 3767 )",289494,"(+/- 5275 )"
Housing,"Housing Tenure",Owner-occupied,234282,"(+/- 4854 )",190851,"(+/- 4911 )",171002,"(+/- 4702 )",193847,"(+/- 4873 )",214425,"(+/- 4178 )",207069,"(+/- 5595 )",235489,"(+/- 5493 )",169221,"(+/- 4795 )",201253,"(+/- 4383 )",236954,"(+/- 4717 )",197777,"(+/- 5217 )"
Housing,"Housing Tenure",Renter-occupied,63706,"(+/- 3803 )",104462,"(+/- 4498 )",145731,"(+/- 4982 )",115629,"(+/- 4800 )",82219,"(+/- 4167 )",95726,"(+/- 4752 )",78592,"(+/- 4801 )",155466,"(+/- 4709 )",82807,"(+/- 3943 )",63236,"(+/- 4007 )",91717,"(+/- 4064 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.80,"(+/- 0.05 )",2.50,"(+/- 0.04 )",2.46,"(+/- 0.05 )",2.53,"(+/- 0.05 )",2.47,"(+/- 0.05 )",2.51,"(+/- 0.04 )",2.74,"(+/- 0.04 )",2.60,"(+/- 0.06 )",2.36,"(+/- 0.04 )",3.05,"(+/- 0.04 )",2.90,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.51,"(+/- 0.12 )",2.28,"(+/- 0.06 )",2.16,"(+/- 0.05 )",2.28,"(+/- 0.07 )",2.21,"(+/- 0.08 )",2.20,"(+/- 0.08 )",2.23,"(+/- 0.08 )",2.20,"(+/- 0.06 )",2.24,"(+/- 0.08 )",2.63,"(+/- 0.11 )",2.41,"(+/- 0.08 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",297988,"(+/- 4101 )",295313,"(+/- 3457 )",316733,"(+/- 3808 )",309476,"(+/- 5445 )",296644,"(+/- 4256 )",302795,"(+/- 4555 )",314081,"(+/- 5203 )",324687,"(+/- 4529 )",284060,"(+/- 4423 )",300190,"(+/- 3767 )",289494,"(+/- 5275 )"
Housing,"Year Householder Moved into Unit","Moved in 2019 or later",74876,"(+/- 3687 )",95303,"(+/- 4452 )",111514,"(+/- 5457 )",89468,"(+/- 4552 )",64968,"(+/- 4020 )",77494,"(+/- 3915 )",82371,"(+/- 4244 )",118558,"(+/- 4976 )",63684,"(+/- 3793 )",74384,"(+/- 4096 )",89220,"(+/- 4592 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2018",69354,"(+/- 4714 )",62111,"(+/- 4134 )",71222,"(+/- 4309 )",72924,"(+/- 4810 )",59201,"(+/- 3859 )",64153,"(+/- 3580 )",72022,"(+/- 4416 )",70076,"(+/- 4305 )",51059,"(+/- 3378 )",73710,"(+/- 3930 )",60014,"(+/- 3223 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",36317,"(+/- 3279 )",34800,"(+/- 2961 )",33755,"(+/- 3461 )",33124,"(+/- 2895 )",39361,"(+/- 2952 )",36349,"(+/- 3112 )",36670,"(+/- 3359 )",40193,"(+/- 3164 )",32812,"(+/- 3330 )",46158,"(+/- 3308 )",36075,"(+/- 3046 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",62169,"(+/- 3849 )",45493,"(+/- 3082 )",43787,"(+/- 3274 )",49728,"(+/- 3501 )",55891,"(+/- 3824 )",55590,"(+/- 3740 )",61709,"(+/- 4090 )",49643,"(+/- 3190 )",52616,"(+/- 3538 )",61098,"(+/- 3429 )",52529,"(+/- 3587 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",31073,"(+/- 2722 )",30967,"(+/- 2336 )",25840,"(+/- 2677 )",31042,"(+/- 2858 )",37022,"(+/- 2775 )",33008,"(+/- 2749 )",32095,"(+/- 2807 )",25378,"(+/- 2232 )",34506,"(+/- 2452 )",27507,"(+/- 2256 )",27844,"(+/- 2129 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",24199,"(+/- 2254 )",26639,"(+/- 1946 )",30615,"(+/- 2133 )",33190,"(+/- 2497 )",40201,"(+/- 2716 )",36201,"(+/- 2389 )",29214,"(+/- 2542 )",20839,"(+/- 2044 )",49383,"(+/- 2799 )",17333,"(+/- 1794 )",23812,"(+/- 1864 )"
Housing,Value,"Owner-occupied units",234282,"(+/- 4854 )",190851,"(+/- 4911 )",171002,"(+/- 4702 )",193847,"(+/- 4873 )",214425,"(+/- 4178 )",207069,"(+/- 5595 )",235489,"(+/- 5493 )",169221,"(+/- 4795 )",201253,"(+/- 4383 )",236954,"(+/- 4717 )",197777,"(+/- 5217 )"
Housing,Value,"Less than $50,000",7289,"(+/- 1188 )",5416,"(+/- 1143 )",10142,"(+/- 1813 )",6847,"(+/- 1604 )",15677,"(+/- 1958 )",9354,"(+/- 1422 )",6741,"(+/- 1552 )",1806,"(+/- 572 )",25842,"(+/- 2251 )",4685,"(+/- 1146 )",3631,"(+/- 1153 )"
Housing,Value,"$50,000 to $99,999",3855,"(+/- 1104 )",4679,"(+/- 1073 )",5068,"(+/- 1157 )",10775,"(+/- 1484 )",25678,"(+/- 2438 )",11186,"(+/- 1635 )",2987,"(+/- 873 )",598,"(+/- 311 )",43108,"(+/- 3002 )",1674,"(+/- 692 )",1440,"(+/- 620 )"
Housing,Value,"$100,000 to $149,999",6329,"(+/- 1132 )",11053,"(+/- 1662 )",12922,"(+/- 2131 )",15120,"(+/- 2373 )",26397,"(+/- 2444 )",24755,"(+/- 2337 )",6958,"(+/- 1549 )",902,"(+/- 420 )",36227,"(+/- 3113 )",1731,"(+/- 618 )",715,"(+/- 422 )"
Housing,Value,"$150,000 to $199,999",13792,"(+/- 1527 )",19563,"(+/- 2295 )",29366,"(+/- 2688 )",30227,"(+/- 3170 )",26897,"(+/- 2139 )",35660,"(+/- 3121 )",16213,"(+/- 2018 )",3453,"(+/- 989 )",30458,"(+/- 2753 )",4754,"(+/- 1331 )",2488,"(+/- 920 )"
Housing,Value,"$200,000 to $299,999",45651,"(+/- 3357 )",50004,"(+/- 3944 )",61601,"(+/- 3705 )",48592,"(+/- 3713 )",40958,"(+/- 3151 )",59847,"(+/- 3483 )",65028,"(+/- 3848 )",12828,"(+/- 1700 )",34267,"(+/- 2113 )",16203,"(+/- 2008 )",14640,"(+/- 1686 )"
Housing,Value,"$300,000 to $499,999",98206,"(+/- 4092 )",66859,"(+/- 3251 )",41628,"(+/- 2480 )",58216,"(+/- 3780 )",43513,"(+/- 3156 )",47838,"(+/- 3369 )",89239,"(+/- 4073 )",36407,"(+/- 2803 )",23443,"(+/- 2178 )",53418,"(+/- 3711 )",63422,"(+/- 3918 )"
Housing,Value,"$500,000 to $999,999",54973,"(+/- 2886 )",27783,"(+/- 2579 )",8697,"(+/- 1510 )",20496,"(+/- 2091 )",29892,"(+/- 2604 )",16048,"(+/- 1769 )",43719,"(+/- 2709 )",83199,"(+/- 3408 )",6257,"(+/- 1253 )",124315,"(+/- 3815 )",98765,"(+/- 3443 )"
