Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
Business,"Paid employees for pay period including March 12","Total for all sectors",309203,G,272309,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",121,H,522,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",100,G,138,H
Business,"Paid employees for pay period including March 12",Utilities,2286,H,939,H
Business,"Paid employees for pay period including March 12",Construction,16395,G,14375,G
Business,"Paid employees for pay period including March 12",Manufacturing,32005,G,34145,G
Business,"Paid employees for pay period including March 12","Wholesale trade",12399,G,10671,G
Business,"Paid employees for pay period including March 12","Retail trade",49520,G,47768,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",9568,H,6079,G
Business,"Paid employees for pay period including March 12",Information,9453,G,6461,G
Business,"Paid employees for pay period including March 12","Finance and insurance",19844,H,7167,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",5398,G,2977,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",18214,G,15760,H
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",5109,H,3558,G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",16211,G,10423,G
Business,"Paid employees for pay period including March 12","Educational services",11497,G,16123,H
Business,"Paid employees for pay period including March 12","Health care and social assistance",47392,G,50566,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",6851,G,6649,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",34697,G,27449,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",12112,G,10511,G
Business,"Paid employees for pay period including March 12","Industries not classified",31,J,28,J
Business,"Annual payroll ($1,000)","Total for all sectors",16987838,G,14035790,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",4871,H,31089,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",8703,G,8877,G
Business,"Annual payroll ($1,000)",Utilities,269521,H,89692,H
Business,"Annual payroll ($1,000)",Construction,1168898,G,953184,G
Business,"Annual payroll ($1,000)",Manufacturing,2133017,G,1987996,G
Business,"Annual payroll ($1,000)","Wholesale trade",1023652,G,883493,G
Business,"Annual payroll ($1,000)","Retail trade",1579075,G,1504590,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",447921,G,243184,G
Business,"Annual payroll ($1,000)",Information,858664,G,570107,G
Business,"Annual payroll ($1,000)","Finance and insurance",2065004,H,641535,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",277579,G,153364,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",1621065,G,1474149,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",477235,H,337926,G
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",709381,G,501255,G
Business,"Annual payroll ($1,000)","Educational services",452881,H,712416,H
Business,"Annual payroll ($1,000)","Health care and social assistance",2666624,G,2923196,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",157261,G,127047,G
Business,"Annual payroll ($1,000)","Accommodation and food services",661958,G,527344,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",403417,G,364540,G
Business,"Annual payroll ($1,000)","Industries not classified",1111,G,806,H
Business,"Total Establishments","Total for all sectors",19919,X,17964,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",33,X,103,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",19,X,19,X
Business,"Total Establishments",Utilities,59,X,71,X
Business,"Total Establishments",Construction,2304,X,2146,X
Business,"Total Establishments",Manufacturing,819,X,935,X
Business,"Total Establishments","Wholesale trade",869,X,777,X
Business,"Total Establishments","Retail trade",2950,X,2780,X
Business,"Total Establishments","Transportation and warehousing",425,X,408,X
Business,"Total Establishments",Information,383,X,346,X
Business,"Total Establishments","Finance and insurance",1113,X,847,X
Business,"Total Establishments","Real estate and rental and leasing",813,X,682,X
Business,"Total Establishments","Professional, scientific, and technical services",1957,X,1616,X
Business,"Total Establishments","Management of companies and enterprises",108,X,93,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",1304,X,1093,X
Business,"Total Establishments","Educational services",313,X,340,X
Business,"Total Establishments","Health care and social assistance",1912,X,1786,X
Business,"Total Establishments","Arts, entertainment, and recreation",452,X,371,X
Business,"Total Establishments","Accommodation and food services",2088,X,1728,X
Business,"Total Establishments","Other services (except public administration)",1969,X,1805,X
Business,"Total Establishments","Industries not classified",29,X,18,X

"Source: 2020 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
