,Handle,Type,Gender,FirstName,LastName,Age,Party,Experience,State,District,City
267,RepJoshHarder,Representative,M,Josh,Harder,36,D,"Venture capitalist
Professor",CA,10,
268,RepAndyHarrisMD,Representative,M,Andy,Harris,65,R,"Maryland State Senate
Anesthesiologist",MD,1,
269,RepHarshbarger,Representative,F,Diana,Harshbarger,62,R,Pharmacist,TN,1,
270,RepHartzler,Representative,F,Vicky,Hartzler,62,R,Missouri House of Representatives,MO,4,
271,RepJahanaHayes,Representative,F,Jahana,Hayes,49,D,Teacher,CT,5,
272,repkevinhern,Representative,M,Kevin,Hern,60,R,Businessman,OK,1,
273,RepHerrell,Representative,F,Yvette,Herrell,58,R,New Mexico House of Representatives,NM,2,
274,HerreraBeutler,Representative,M,Jaime,Herrera Beutler,44,R,Washington House of Representatives,WA,3,
275,CongressmanHice,Representative,F,Jody,Hice,62,R,"Radio show host
Southern Baptist pastor",GA,10,
276,RepBrianHiggins,Representative,M,Brian,Higgins,63,D,"Buffalo Common Council
New York State Assembly",NY,26,
277,RepClayHiggins,Representative,M,Clay,Higgins,61,R,Reserve Deputy Marshal of Lafayette,LA,3,
278,RepFrenchHill,Representative,M,French,Hill,65,R,Businessman,AR,2,
279,No official,Representative,M,James,Himes,56,D,"Financial executive
Greenwich Housing Authority Board",CT,4,
280,RepAshleyHinson,Representative,F,Ashley,Hinson,39,R,"Iowa House of Representatives
News anchor",IA,1,
281,RepTrey,Representative,M,Trey,Hollingsworth,39,R,CEO of Hollingsworth Capital Partners,IN,9,
282,RepHorsford,Representative,M,Steven,Horsford,49,D,"U.S. House
Nevada Senate",NV,4,
283,RepHoulahan,Representative,F,Chrissy,Houlahan,55,D,"Entrepreneur
U.S. Air Force",PA,6,
284,LeaderHoyer,Representative,M,Steny,Hoyer,83,D,"President of the Maryland State Senate
Maryland Board of Higher Education",MD,5,
285,RepRichHudson,Representative,M,Richard,Hudson,51,R,Businessman,NC,8,
286,RepHuffman,Representative,M,Jared,Huffman,58,D,California State Assembly,CA,2,
287,RepHuizenga,Representative,M,Bill,Huizenga,53,R,Michigan House of Representatives,MI,2,
288,repdarrellissa,Representative,M,Darrell,Issa,69,R,"Businessman
U.S. House",CA,50,
289,RepRonnyJackson,Representative,M,Ronny,Jackson,55,R,"Chief Medical Advisor to the President
Physician to the President
United States Navy Rear admiral",TX,13,
290,JacksonLeeTX18,Representative,F,Sheila,Jackson Lee,72,D,"Houston City Council
Municipal judge",TX,18,
291,RepJacobs,Representative,M,Chris,Jacobs,55,R,"New York State Senate
Secretary of State of New York
Erie County Clerk",NY,27,
292,RepSaraJacobs,Representative,F,Sara,Jacobs,33,D,"Nonprofit founder
Policy advisor",CA,53,
293,RepJayapal,Representative,F,Pramila,Jayapal,57,D,Washington State Senate,WA,7,
294,RepJeffries,Representative,M,Hakeem,Jeffries,52,D,New York State Assembly,NY,8,
295,RepBillJohnson,Representative,M,Bill,Johnson,68,R,United States Air Force,OH,6,
296,RepDustyJohnson,Representative,M,Dusty,Johnson,46,R,"Chief of Staff to the Governor of South Dakota
South Dakota Public Utilities Commission",SD,0,
297,RepEBJ,Representative,M,Eddie,Johnson,86,D,"Texas Senate
Nurse",TX,30,
298,RepHankJohnson,Representative,M,Hank,Johnson,68,D,"DeKalb County Commissioner
Associate Magistrate Judge",GA,4,
299,RepMikeJohnson,Representative,M,Mike,Johnson,50,R,Louisiana House of Representatives,LA,4,
300,RepMondaire,Representative,M,Mondaire,Jones,35,D,Attorney,NY,17,
301,Jim_Jordan,Representative,M,Jim,Jordan,58,R,"Ohio Senate
Ohio House of Representatives",OH,4,
302,RepDaveJoyce,Representative,M,David,Joyce,65,R,Geauga County Prosecutor,OH,14,
303,RepJohnJoyce,Representative,M,John,Joyce,65,R,Dermatologist,PA,13,
304,RepMarcyKaptur,Representative,F,Marcy,Kaptur,76,D,"Domestic Policy Advisor, Carter Adm.",OH,9,
305,RepJohnKatko,Representative,M,John,Katko,60,R,"Attorney, Prosecutor U.S. Attorney's Office",NY,24,
306,USRepKeating,Representative,M,Bill,Keating,70,D,"Massachusetts House of Representatives
Massachusetts Senate
Norfolk County District Attorney",MA,9,
307,RepFredKeller,Representative,M,Fred,Keller,57,R,Pennsylvania House of Representatives,PA,12,
308,MikeKellyPA,Representative,M,Mike,Kelly,74,R,Butler City Council,PA,16,
309,RepRobinKelly,Representative,F,Robin,Kelly,66,D,"Illinois House of Representatives
Chief of Staff to the Illinois Treasurer
Chief Administrative Officer to the Cook County President",IL,2,
310,RepTrentKelly,Representative,M,Trent,Kelly,56,R,"District attorney,
Tupelo City prosecutor
Army National Guard Colonel",MS,1,
311,RepRoKhanna,Representative,M,Ro,Khanna,46,D,"Attorney
Author
Educator",CA,17,
312,RepDanKildee,Representative,M,Dan,Kildee,64,D,Genesee County Treasurer,MI,5,
313,RepDerekKilmer,Representative,M,Derek,Kilmer,48,D,Washington State Senate,WA,6,
314,RepAndyKimNJ,Representative,M,Andy,Kim,40,D,National security adviser,NJ,3,
315,RepYoungKim,Representative,F,Young,Kim,60,R,California State Assembly,CA,39,
316,RepRonKind,Representative,M,Ron,Kind,59,D,County Prosecutor,WI,3,
317,RepKinzinger,Representative,M,Adam,Kinzinger,44,R,"McLean County Board of Commissioners
Air Force pilot",IL,16,
318,RepKirkpatrick,Representative,F,Ann,Kirkpatrick,72,D,"U.S. House
Arizona House of Representatives",AZ,2,
319,CongressmanRaja,Representative,M,Raja,Krishnamoorthi,49,D,"Public servant
Attorney",IL,8,
320,RepDavidKustoff,Representative,M,David,Kustoff,56,R,Attorney for the United States District Court for the Western District of Tennessee,TN,8,
321,RepLaHood,Representative,M,Darin,LaHood,54,R,"Illinois Senate
Prosecutor U.S. Attorney's Office
Deputy Prosecutor Tazewell County",IL,18,
322,RepLaMalfa,Representative,M,Doug,LaMalfa,62,R,"California State Senate
California State Assembly",CA,1,
323,RepConorLamb,Representative,M,Conor,Lamb,38,D,"Assistant U.S. Attorney for the Western District of Pennsylvania
U.S. Marine Corps",PA,17,
324,RepDLamborn,Representative,M,Doug,Lamborn,68,R,"President Pro Tempore of the Colorado Senate
Colorado House of Representatives",CO,5,
325,JimLangevin,Representative,M,James,Langevin,58,D,"Secretary of State of Rhode Island
Rhode Island House of Representatives",RI,2,
326,RepRickLarsen,Representative,M,Rick,Larsen,57,D,Snohomish County Council,WA,2,
327,RepJohnLarson,Representative,M,John,Larson,74,D,"Connecticut Senate
East Hartford City Council
East Hartford Board of Education",CT,1,
328,boblatta,Representative,M,Bob,Latta,66,R,"Wood County Commissioner
Ohio House of Representatives
Ohio Senate",OH,5,
329,RepLaTurner,Representative,M,Jake,LaTurner,34,R,"Kansas State Treasurer
Kansas Senate",KS,2,
330,RepLawrence,Representative,F,Brenda,Lawrence,68,D,Mayor of Southfield,MI,14,
331,RepAlLawsonJr,Representative,M,Al,Lawson,74,D,Florida Senate,FL,5,
332,RepBarbaraLee,Representative,F,Barbara,Lee,76,D,California State Assembly,CA,13,
333,RepSusieLee,Representative,F,Susie,Lee,56,D,Education advocate,NV,3,
334,RepTeresaLF,Representative,F,Teresa,Leger Fernandez,63,D,Attorney,NM,3,
335,RepDLesko,Representative,F,Debbie,Lesko,63,R,"Arizona House of Representatives
Arizona Senate
President Pro Tempore of Arizona Senate",AZ,8,
336,repjulialetlow,Representative,F,Julia,Letlow,41,R,College administrator,LA,5,
337,RepAndyLevin,Representative,M,Andy,Levin,62,D,Attorney,MI,9,
338,RepMikeLevin,Representative,M,Mike,Levin,44,D,Environmental activist,CA,49,
339,RepTedLieu,Representative,M,Ted,Lieu,53,D,"California State Senate
California State Assembly",CA,33,
340,RepZoeLofgren,Representative,F,Zoe,Lofgren,74,D,Santa Clara County Board of Supervisors,CA,19,
341,USRepLong,Representative,M,Billy,Long,67,R,Auctioneer,MO,7,
342,RepLoudermilk,Representative,M,Barry,Loudermilk,58,R,"Georgia State Senate
Georgia House of Representatives",GA,11,
343,RepLowenthal,Representative,M,Alan,Lowenthal,81,D,"California State Senate
California State Assembly",CA,47,
344,RepFrankLucas,Representative,M,Frank,Lucas,62,R,Oklahoma House of Representatives,OK,3,
345,RepBlaine,Representative,M,Blaine,Luetkemeyer,70,R,"Missouri House of Representatives
State Tourism Director",MO,3,
346,RepElaineLuria,Representative,F,Elaine,Luria,47,D,U.S. Navy Commander,VA,2,
347,RepStephenLynch,Representative,M,Stephen,Lynch,67,D,"Massachusetts Senate
Massachusetts House of Representatives",MA,8,
348,RepNancyMace,Representative,F,Nancy,Mace,44,R,South Carolina House of Representatives,SC,1,
349,RepMalinowski,Representative,M,Tom,Malinowski,57,D,"Assistant Secretary of State for Democracy, Human Rights, and Labor",NJ,7,
350,RepMalliotakis,Representative,F,Nicole,Malliotakis,42,R,New York State Assembly,NY,11,
351,RepMaloney,Representative,F,Carolyn,Maloney,76,D,New York City Council,NY,12,
352,RepSeanMaloney,Representative,M,Sean,Maloney,56,D,Attorney,NY,18,
353,RepMann,Representative,M,Tracey,Mann,45,R,"Lieutenant Governor of Kansas
Real estate agent
Businessman",KS,1,
354,RepKManning,Representative,F,Kathy,Manning,65,D,Attorney,NC,6,
355,RepThomasMassie,Representative,M,Thomas,Massie,51,R,Judge-Executive of Lewis County,KY,4,
356,RepBrianMast,Representative,M,Brian,Mast,42,R,U.S. Army Soldier,FL,18,
357,DorisMatsui,Representative,F,Doris,Matsui,78,D,Sacramento City Council,CA,6,
358,RepLucyMcBath,Representative,F,Lucy,McBath,62,D,Activist,GA,6,
359,GOPLeader,Representative,M,Kevin,McCarthy,57,R,California State Assembly,CA,23,
360,RepMcCaul,Representative,M,Michael,McCaul,60,R,"Attorney
Federal prosecutor",TX,10,
361,RepLisaMcClain,Representative,F,Lisa,McClain,56,R,Businesswoman,MI,10,
362,RepMcClintock,Representative,M,Tom,McClintock,66,R,"California Senate
California State Assembly",CA,4,
363,BettyMcCollum04,Representative,F,Betty,McCollum,68,D,"North St. Paul City Council
Minnesota House of Representatives",MN,4,
364,RepMcEachin,Representative,M,Donald,McEachin,61,D,"Virginia Senate
Virginia House of Delegates",VA,4,
365,RepMcGovern,Representative,M,James,McGovern,62,D,Congressional staff member,MA,2,
366,PatrickMcHenry,Representative,M,Patrick,McHenry,47,R,North Carolina House of Representatives,NC,10,
367,RepMcKinley,Representative,M,David,McKinley,75,R,"West Virginia House of Delegates
Businessman",WV,1,
368,RepMcNerney,Representative,M,Jerry,McNerney,71,D,Engineering executive,CA,9,
369,RepGregoryMeeks,Representative,M,Gregory,Meeks,69,D,New York State Assembly,NY,5,
370,RepMeijer,Representative,M,Peter,Meijer,34,R,Businessman,MI,3,
371,RepGraceMeng,Representative,F,Grace,Meng,47,D,New York State Assembly,NY,6,
372,RepKweisiMfume,Representative,M,Kweisi,Mfume,74,D,"Baltimore City Council
U.S. House
President of the NAACP",MD,7,
373,RepCarolMiller,Representative,F,Carol,Miller,72,R,West Virginia House of Delegates,WV,3,
374,RepMaryMiller,Representative,F,Mary,Miller,63,R,Farmer,IL,15,
375,RepMMM,Representative,F,Mariannette,Miller-Meeks,67,R,"Iowa Senate
Physician
U.S. Army Lieutenant Colonel",IA,2,
376,RepMoolenaar,Representative,M,John,Moolenaar,61,R,"Michigan Senate
Michigan House of Representatives",MI,4,
377,RepBarryMoore,Representative,M,Barry,Moore,56,R,Alabama House of Representatives,AL,2,
378,RepBlakeMoore,Representative,M,Blake,Moore,42,R,United States Foreign Service officer,UT,1,
379,RepGwenMoore,Representative,F,Gwen,Moore,71,D,"Wisconsin State Senate
Wisconsin State Assembly",WI,4,
380,teammoulton,Representative,M,Seth,Moulton,44,D,"Businessman
Activist
U.S. Marine Corps Captain",MA,6,
381,RepMrvan,Representative,M,Frank,Mrvan,53,D,North Township Trustee,IN,1,
382,RepMullin,Representative,M,Markwayne,Mullin,45,R,"Businessman
Mixed martial artist",OK,2,
383,RepGregMurphy,Representative,M,Gregory,Murphy,59,R,North Carolina House of Representatives,NC,3,
384,RepStephMurphy,Representative,F,Stephanie,Murphy,44,D,"Advisor
Educator",FL,7,
385,gracenapolitano,Representative,F,Grace,Napolitano,85,D,California State Assembly,CA,32,
386,RepRichardNeal,Representative,M,Richard,Neal,73,D,Mayor of Springfield,MA,1,
387,RepJoeNeguse,Representative,M,Joe,Neguse,38,D,"Executive Director of the Colorado Department of Regulatory Agencies
Regents of the University of Colorado",CO,2,
388,RepTroyNehls,Representative,M,Troy,Nehls,54,R,Sheriff of Fort Bend County,TX,22,
389,RepNewhouse,Representative,M,Dan,Newhouse,67,R,Washington House of Representatives,WA,4,
390,RepMarieNewman,Representative,F,Marie,Newman,58,D,"Businesswoman
Activist",IL,3,
391,DonaldNorcross,Representative,M,Donald,Norcross,63,D,"New Jersey Senate
New Jersey General Assembly",NJ,1,
392,RepRalphNorman,Representative,M,Ralph,Norman,69,R,"South Carolina House of Representatives
Real estate developer",SC,5,
393,EleanorNorton,Representative,F,Eleanor,Norton,84,D,Equal Employment Opportunity Commission Chair,DC,0,
394,JayObernolte,Representative,M,Jay,Obernolte,52,R,"California State Assembly
Video game developer",CA,8,
395,RepAOC,Representative,F,Alexandria,Ocasio-Cortez,33,D,Bartender,NY,14,
396,RepOHalleran,Representative,M,Tom,O'Halleran,76,D,Arizona Senate,AZ,1,
397,Ilhan,Representative,F,Ilhan,Omar,40,D,Minnesota House of Representatives,MN,5,
398,RepBurgessOwens,Representative,M,Burgess,Owens,71,R,"Businessman
National Football League player",UT,4,
399,CongPalazzo,Representative,M,Steven,Palazzo,52,R,Mississippi House of Representatives,MS,4,
400,FrankPallone,Representative,M,Frank,Pallone,71,D,"New Jersey Senate
Long Branch City Council",NJ,6,
401,USRepGaryPalmer,Representative,M,Gary,Palmer,68,R,Policy analyst,AL,6,
402,RepJimmyPanetta,Representative,M,Jimmy,Panetta,53,D,Deputy district attorney of Monterey County,CA,20,
403,RepChrisPappas,Representative,M,Chris,Pappas,42,D,"New Hampshire Executive Council
Treasurer of Hillsborough County
New Hampshire House of Representatives",NH,1,
404,BillPascrell,Representative,M,Bill,Pascrell,85,D,"New Jersey General Assembly
Mayor of Paterson",NJ,9,
405,RepDonaldPayne,Representative,M,Donald,Payne,63,D,"Newark Municipal Council
Essex County Freeholder",NJ,10,
406,SpeakerPelosi,Representative,F,Nancy,Pelosi,82,D,California Democratic Party Chair,CA,12,
407,TBD,Representative,F,Mary,Peltola,49,D,Alaska House of Representatives,AK,0,
408,RepGregPence,Representative,M,Greg,Pence,65,R,Businessman,IN,6,
409,RepPerlmutter,Representative,M,Ed,Perlmutter,69,D,Colorado Senate,CO,7,
410,RepScottPerry,Representative,M,Scott,Perry,60,R,"Pennsylvania House of Representatives
Businessman
U.S. Army",PA,10,
411,RepScottPeters,Representative,M,Scott,Peters,64,D,"San Diego City Council
San Diego Port Commission",CA,52,
412,RepPfluger,Representative,M,August,Pfluger,43,R,"U.S. National Security Council
United States Air Force Lieutenant colonel",TX,11,
413,RepDeanPhillips,Representative,M,Dean,Phillips,53,D,Businessman,MN,3,
414,chelliepingree,Representative,F,Chellie,Pingree,67,D,"Maine State Senate
President, Common Cause",ME,1,
415,StaceyPlaskett,Representative,F,Stacey,Plaskett,56,D,Attorney,VI,0,
416,repmarkpocan,Representative,M,Mark,Pocan,58,D,Wisconsin State Assembly,WI,2,
417,RepKatiePorter,Representative,F,Katie,Porter,48,D,"Attorney
Professor",CA,45,
418,congbillposey,Representative,M,Bill,Posey,74,R,"Florida Senate
Florida House of Representatives
Rockledge City Council",FL,8,
419,RepPressley,Representative,F,Ayanna,Pressley,48,D,Boston City Council,MA,7,
420,RepDavidEPrice,Representative,M,David,Price,82,D,"U.S. House
College professor",NC,4,
421,RepMikeQuigley,Representative,M,Mike,Quigley,64,D,Cook County Board of Commissioners,IL,5,
422,RepAmata,Representative,F,Amata,Radewagen,74,R,Political aide,AS,0,
423,RepRaskin,Representative,M,Jamie,Raskin,59,D,Maryland State Senate Majority Whip,MD,8,
424,GReschenthaler,Representative,M,Guy,Reschenthaler,39,R,"Pennsylvania Senate
Judge
U.S. Navy",PA,14,
425,RepKathleenRice,Representative,F,Kathleen,Rice,57,D,District Attorney of Nassau County,NY,4,
426,RepTomRice,Representative,M,Tom,Rice,65,R,"Attorney
Businessman
Horry County Council Chair",SC,7,
427,cathymcmorris,Representative,F,Cathy,Rodgers,53,R,Washington House of Representatives,WA,5,
428,RepHalRogers,Representative,M,Hal,Rogers,84,R,Commonwealth's Attorney for Pulaski County and Rockcastle County,KY,5,
429,RepMikeRogersAL,Representative,M,Mike,Rogers,64,R,"Calhoun County Commissioner
Alabama House of Representatives",AL,3,
430,RepJohnRose,Representative,M,John,Rose,57,R,Commissioner of Agriculture of Tennessee,TN,6,
431,RepDeborahRoss,Representative,F,Deborah,Ross,59,D,North Carolina House of Representatives,NC,2,
432,RepDavidRouzer,Representative,M,David,Rouzer,50,R,North Carolina Senate,NC,7,
433,RepChipRoy,Representative,M,Chip,Roy,50,R,First Assistant Attorney General of Texas,TX,21,
434,RepRoybalAllard,Representative,F,Lucille,Roybal-Allard,81,D,California State Assembly Public relations executive,CA,40,
435,RepRaulRuizMD,Representative,M,Raul,Ruiz,50,D,Emergency physician,CA,36,
436,Call_Me_Dutch,Representative,M,Dutch,Ruppersberger,76,D,"Baltimore County Executive
Chief of the Office of Investigative Division for Maryland's Department of Justice
Baltimore County Assistant State's Attorney",MD,2,
437,RepBobbyRush,Representative,M,Bobby,Rush,75,D,Chicago City Council,IL,1,
438,RepRutherfordFL,Representative,M,John,Rutherford,70,R,Sheriff of Duval County,FL,4,
439,RepPatRyanNY,Representative,M,Pat,Ryan,40,D,Ulster County Executive,NY,19,
440,RepTimRyan,Representative,M,Tim,Ryan,49,D,Ohio Senate,OH,13,
441,Kilili_Sablan,Representative,M,Gregorio,Sablan,67,D,Election Commission Director,MP,0,
442,GuamCongressman,Representative,M,Michael,San Nicolas,41,D,Guam Legislature,GU,0,
443,RepLindaSanchez,Representative,F,Linda,Sánchez,53,D,Attorney,CA,38,
444,RepSarbanes,Representative,M,John,Sarbanes,60,D,"Attorney
Law clerk",MD,3,
445,SteveScalise,Representative,M,Steve,Scalise,57,R,"Louisiana State Senate
Louisiana House of Representatives",LA,1,
446,RepMGS,Representative,F,Mary,Scanlon,63,D,Attorney,PA,5,
447,RepAdamSchiff,Representative,M,Adam,Schiff,62,D,"California State Senate
Assistant Prosecutor for the
United States Attorney for the Southern District of California",CA,28,
448,RepSchneider,Representative,M,Brad,Schneider,61,D,"U.S. House
Management consultant",IL,10,
449,RepSchrader,Representative,M,Kurt,Schrader,71,D,"Veterinarian
Oregon State Senate",OR,5,
450,RepKimSchrier,Representative,F,Kim,Schrier,54,D,Pediatrician,WA,8,
451,RepDavid,Representative,M,David,Schweikert,60,R,"Arizona House of Representatives
Arizona Board of Education
Arizona Board of Equalization
Maricopa County Treasurer",AZ,6,
452,AustinScottGA08,Representative,M,Austin,Scott,52,R,Georgia House of Representatives,GA,8,
453,repdavidscott,Representative,M,David,Scott,77,D,"Georgia State Senate
Georgia House of Representatives",GA,13,
454,BobbyScott,Representative,M,Bobby,Scott,75,D,"Virginia Senate
Virginia House of Delegates",VA,3,
455,RepSempolinski,Representative,M,Joe,Sempolinski,39,R,Chair of the Steuben County Republican Committee,NY,23,
456,PeteSessions,Representative,M,Pete,Sessions,67,R,U.S. House,TX,17,
457,RepTerriSewell,Representative,F,Terri,Sewell,57,D,Attorney,AL,7,
458,BradSherman,Representative,M,Brad,Sherman,68,D,California Board of Equalization,CA,30,
459,RepSherrill,Representative,F,Mikie,Sherrill,50,D,"Assistant United States Attorney for the District of New Jersey
U.S. Navy helicopter pilot",NJ,11,
460,CongMikeSimpson,Representative,M,Mike,Simpson,72,R,"Idaho House of Representatives
Blackfoot City Council",ID,2,
461,RepSires,Representative,M,Albio,Sires,71,D,"Mayor of West New York
New Jersey General Assembly",NJ,8,
462,RepSlotkin,Representative,F,Elissa,Slotkin,46,D,Assistant Secretary of Defense for International Security Affairs,MI,8,
463,RepAdamSmith,Representative,M,Adam,Smith,57,D,Washington State Senate,WA,9,
464,RepAdrianSmith,Representative,M,Adrian,Smith,51,R,"Nebraska Legislature
Gering City Council",NE,3,
465,No official,Representative,M,Christopher,Smith,69,R,Retail executive,NJ,4,
466,RepJasonSmith,Representative,M,Jason,Smith,42,R,Missouri House of Representatives,MO,8,
467,RepSmucker,Representative,M,Lloyd,Smucker,58,R,Pennsylvania Senate,PA,11,
468,RepDarrenSoto,Representative,M,Darren,Soto,44,D,"Florida Senate
Florida House of Representatives",FL,9,
469,RepSpanberger,Representative,F,Abigail,Spanberger,43,D,CIA operations officer,VA,7,
470,RepSpartz,Representative,F,Victoria,Spartz,44,R,Indiana Senate,IN,5,
471,RepSpeier,Representative,F,Jackie,Speier,72,D,"California State Senate
California State Assembly
San Mateo County Board of Supervisors",CA,14,
472,Rep_Stansbury,Representative,F,Melanie,Stansbury,43,D,New Mexico House of Representatives,NM,1,
473,RepGregStanton,Representative,M,Greg,Stanton,52,D,Mayor of Phoenix,AZ,9,
474,RepPeteStauber,Representative,M,Pete,Stauber,56,R,"St. Louis County Commission
Police lieutenant
Professional hockey player",MN,8,
475,RepSteel,Representative,F,Michelle,Steel,67,R,"Orange County Board of Supervisors
California State Board of Equalization",CA,48,
476,RepStefanik,Representative,F,Elise,Stefanik,38,R,"Civil servant
Political activist",NY,21,
477,RepBryanSteil,Representative,M,Bryan,Steil,41,R,"Congressional aide
Attorney",WI,1,
478,RepGregSteube,Representative,M,Gregory,Steube,44,R,"Florida Senate
Florida House of Representatives",FL,17,
479,RepHaleyStevens,Representative,F,Haley,Stevens,39,D,Presidential Task Force on the Auto Industry,MI,11,
480,RepChrisStewart,Representative,M,Chris,Stewart,62,R,"Author
Businessman",UT,2,
481,RepStricklandWA,Representative,F,Marilyn,Strickland,60,D,Mayor of Tacoma,WA,10,
482,RepTomSuozzi,Representative,M,Thomas,Suozzi,60,D,"County Executive of Nassau County
Mayor of Glen Cove",NY,3,
483,RepSwalwell,Representative,M,Eric,Swalwell,41,D,Dublin City Council,CA,15,
484,RepMarkTakano,Representative,M,Mark,Takano,61,D,Teacher,CA,41,
485,RepVanTaylor,Representative,M,Van,Taylor,50,R,"Texas Senate
Texas House of Representatives",TX,3,
486,RepTenney,Representative,F,Claudia,Tenney,61,R,"U.S. House
New York State Assembly",NY,22,
487,BennieGThompson,Representative,M,Bennie,Thompson,74,D,"Alderman and Mayor of Bolton
Hinds County Board of Supervisors",MS,2,
488,CongressmanGT,Representative,M,Glenn,Thompson,63,R,Chair of the Centre County Republican Committee,PA,15,
489,RepThompson,Representative,M,Mike,Thompson,71,D,California State Senate,CA,5,
490,RepTiffany,Representative,M,Thomas,Tiffany,64,R,"Wisconsin Senate
Wisconsin State Assembly",WI,7,
491,RepTimmons,Representative,M,William,Timmons,38,R,"Attorney
Entrepreneur",SC,4,
492,repdinatitus,Representative,F,Dina,Titus,72,D,"U.S. House
Nevada Senate",NV,1,
493,RepRashida,Representative,F,Rashida,Tlaib,46,D,Michigan House of Representatives,MI,13,
494,RepPaulTonko,Representative,M,Paul,Tonko,73,D,New York State Assembly,NY,20,
495,NormaJTorres,Representative,F,Norma,Torres,57,D,"California State Senate
California State Assembly
Mayor of Pomona",CA,35,
496,RepRitchie,Representative,M,Ritchie,Torres,34,D,New York City Council,NY,15,
497,RepLoriTrahan,Representative,F,Lori,Trahan,49,D,"Businesswoman, Chief of Staff to Rep. Marty Meehan",MA,3,
498,RepDavidTrone,Representative,M,David,Trone,67,D,Businessman,MD,6,
499,RepMikeTurner,Representative,M,Michael,Turner,62,R,Mayor of Dayton,OH,10,
500,RepUnderwood,Representative,F,Lauren,Underwood,36,D,Registered nurse,IL,14,
501,RepFredUpton,Representative,M,Fred,Upton,69,R,U.S. government administrator,MI,6,
502,RepDavidValadao,Representative,M,David,Valadao,45,R,"U.S. House
California State Assembly
Farmer",CA,21,
503,RepBethVanDuyne,Representative,F,Beth,Van Duyne,51,R,Mayor of Irving,TX,24,
504,RepJuanVargas,Representative,M,Juan,Vargas,61,D,"California State Senate
California State Assembly
San Diego City Council",CA,51,
505,RepVeasey,Representative,M,Marc,Veasey,51,D,Texas House of Representatives,TX,33,
506,NydiaVelazquez,Representative,F,Nydia,Velázquez,69,D,"Director, Dept. of Puerto Rican Community Affairs",NY,7,
507,RepAnnWagner,Representative,F,Ann,Wagner,60,R,U.S. Ambassador to Luxembourg,MO,2,
508,RepWalberg,Representative,M,Tim,Walberg,71,R,"U.S. House
Michigan House of Representatives",MI,7,
509,RepWaltzPress,Representative,M,Michael,Waltz,48,R,"U.S. Army
Intelligence analyst",FL,6,
510,RepDWStweets,Representative,F,Debbie,Wasserman Schultz,56,D,"Florida Senate
Florida House of Representatives
Democratic National Committee Chair",FL,23,
511,RepMaxineWaters,Representative,F,Maxine,Waters,84,D,California State Assembly,CA,43,
512,RepBonnie,Representative,F,Bonnie,Watson Coleman,77,D,New Jersey General Assembly,NJ,12,
513,TXRandy14,Representative,M,Randy,Weber,69,R,"Texas House of Representatives
Pearland City Council",TX,14,
514,RepWebster,Representative,M,Daniel,Webster,73,R,"Florida Senate
Speaker of Florida House of Representatives",FL,11,
515,PeterWelch,Representative,M,Peter,Welch,75,D,Vermont Senate President Pro Tempore,VT,0,
516,RepBradWenstrup,Representative,M,Brad,Wenstrup,64,R,Physician,OH,2,
517,RepWesterman,Representative,M,Bruce,Westerman,54,R,Arkansas House of Representatives,AR,4,
518,RepWexton,Representative,F,Jennifer,Wexton,54,D,Virginia Senate,VA,10,
519,RepSusanWild,Representative,F,Susan,Wild,65,D,Solicitor of Allentown,PA,7,
520,RepNikema,Representative,F,Nikema,Williams,44,D,"Georgia Senate
Chair of the Georgia Democratic Party",GA,5,
521,RepRWilliams,Representative,M,Roger,Williams,73,R,Secretary of State of Texas,TX,25,
522,RepWilson,Representative,F,Frederica,Wilson,80,D,"Florida Senate
Florida House of Representatives
Miami-Dade County Public Schools Board",FL,24,
523,RepJoeWilson,Representative,M,Joe,Wilson,75,R,South Carolina Senate,SC,2,
524,rep_stevewomack,Representative,M,Steve,Womack,65,R,Mayor of Rogers,AR,3,
525,RepJohnYarmuth,Representative,M,John,Yarmuth,75,D,"Newspaper publisher
Vice-president for University Relations, University of Louisville",KY,3,
526,RepLeeZeldin,Representative,M,Lee,Zeldin,42,R,New York Senate,NY,1,
527,GovernorKayIvey,Governor,F,Kay,Ivey,78,R,"Lieutenant Governor, State Treasurer, Alabama Commission on Higher Education Director of Government Affairs, Alabama Development Office Assistant Director, Alabama House Reading Clerk",AL,,
528,GovDunleavy,Governor,M,Mike,Dunleavy,61,R,"Alaska Senate, Matanuska-Susitna Borough Board President",AK,,
529,na,Governor,M,Lemanu,Peleti,73,D,"Lieutenant Governor, American Samoa Senate, Major in the United States Army",AS,,
530,dougducey,Governor,M,Doug,Ducey,58,R,State Treasurer,AZ,,
531,AsaHutchinson,Governor,M,Asa,Hutchinson,71,R,"U.S. Under Secretary of Homeland Security, Administrator of the U.S. Drug Enforcement Administration, U.S. House, State Republican Party Chair, U.S. Attorney",AR,,
532,CAgovernor,Governor,M,Gavin,Newsom,55,D,"Lieutenant Governor, Mayor of San Francisco, San Francisco Board of Supervisors, San Francisco Parking and Traffic Commission",CA,,
533,GovofCO,Governor,M,Jared,Polis,47,D,"U.S. House, Colorado State Board of Education",CO,,
534,GovNedLamont,Governor,M,Ned,Lamont,68,D,"Chair of the State Investment Advisory Council, Greenwich Board of Estimate and Taxation, Greenwich Board of Selectmen",CT,,
